Name,Institution,Country
"AAMAAS, Borgar",Center for International Climate and Environmental Research Oslo,Norway
"ABE-OUCHI, Ayako",University of Tokyo,Japan
"ABIODUN, Babatunde",University of Cape Town,South Africa
"ABRAHAM, Libu",Qatar Meteorological Department,Qatar
"ACHUTARAO, Krishna Mirle",Indian Institute of Technology,India
"ADEDOYIN, Akintayo John",University of Botswana,Botswana
"ADLER, Robert F.",University of Maryland,USA
"AHLSTRÖM, Anders",Lund University,Sweden
"ALDRIAN, Edvin","Agency for Meteorology, Climatology and Geophysics",Indonesia
"ALDRIN, Magne",Norwegian Computing Center and University of Oslo,Norway
"ALEXANDER, Lisa V.",University of New South Wales,Australia
"ALLAN, Richard P.",University of Reading,UK
"ALLAN, Robert",Met Office Hadley Centre,UK
"ALLEN, Myles R.",University of Oxford,UK
"ALLEN, Simon K.","IPCC WGI TSU, University of Bern",Switzerland
"ALLISON, Ian",Antarctic Climate and Ecosystems Cooperative Research Centre,Australia
"AMBRIZZI, Tércio",University of Sao Paulo,Brazil
"AN, Soon-Il",Yonsei University,Republic of Korea
"ANAV, Alessandro",University of Exeter,UK
"ANCHUKAITIS, Kevin",Woods Hole Oceanographic Institution,USA
"ANDERSON, Bruce",Boston University,USA
"ANDREWS, Oliver",University of East Anglia,UK
"ANDREWS, Timothy",Met Office Hadley Centre,UK
"AOKI, Shigeru",Hokkaido University,Japan
"AOYAMA, Michio",Meteorological Research Institute,Japan
"ARAKAWA, Osamu",University of Tsukuba,Japan
"ARBLASTER, Julie",Bureau of Meteorology,Australia
"ARCHER, David",University of Chicago,USA
"ARENDT, Anthony A.",University of Alaska Fairbanks,USA
"ARORA, Vivek",Environment Canada,Canada
"ARRITT, Raymond",Iowa State University,USA
"ARTAXO, Paulo",University of Sao Paulo,Brazil
"BAEHR, Johanna",University of Hamburg,Germany
"BAHR, David B.",University of Colorado Boulder,USA
"BALA, Govindasamy",Indian Institute of Science,India
"BALAN SAROJINI, Beena",University of Reading,UK
"BALDWIN, Mark",University of Exeter,UK
"BAMBER, Jonathan",University of Bristol,UK
"BARINGER, Molly","National Oceanic and Atmospheric Administration, Atlantic Oceanographic and Meteorological Laboratory",USA
"BARLOW, Mathew",University of Massachusetts,USA
"BARRIOPEDRO, David",Universidad Complutense de Madrid,Spain
"BARTHOLY, Judit",Eötvös Loránd University,Hungary
"BARTLEIN, Patrick J.",University of Oregon,USA
"BATES, Nicholas R.",Bermuda Biological Station,Bermuda
"BEER, Jürg",Eawag - Swiss Federal Institute of Aquatic Science and Technology,Switzerland
"BELLOUIN, Nicolas",University of Reading,UK
"BENEDETTI, Angela",European Centre for Medium-Range Weather Forecasts,UK
"BENITO, Gerardo",Consejo Superior de Investigaciones Cientificas,Spain
"BEYERLE, Urs",ETH Zurich,Switzerland
"BIASUTTI, Michela",Columbia University,USA
"BINDOFF, Nathaniel L.",University of Tasmania,Australia
"BINER, Sébastien",Ouranos Consortium on Regional Climatology and Adaptation to Climate Change,Canada
"BITZ, Cecilia M.",University of Washington,USA
"BLAKE, Donald R.",University of California Irvine,USA
"BODAS-SALCEDO, Alejandro",Met Office Hadley Centre,UK
"BOER, George J.",Environment Canada,Canada
"BOJARIU, Roxana",National Meteorological Administration,Romania
"BONAN, Gordon",National Center for Atmospheric Research,USA
"BONY, Sandrine","Laboratoire de Météorologie Dynamique, Institut Pierre Simon Laplace",France
"BOOTH, Ben B.B.",Met Office Hadley Centre,UK
"BOPP, Laurent","Laboratoire des Sciences du Climat et de l’Environnement, Institut Pierre Simon Laplace",France
"BORGES, Alberto Vieira",Université de Liège,Belgium
"BOUCHER, Olivier","Laboratoire de Météorologie Dynamique, Institut Pierre Simon Laplace",France
"BOUSQUET, Philippe","Laboratoire des Sciences du Climat et de l’Environnement, Institut Pierre Simon Laplace",France
"BOUWMAN, Lex",PBL Netherlands Environmental Assessment Agency,Netherlands
"BOX, Jason E.",Geological Survey of Denmark and Greenland,Denmark
"BOYER, Timothy","National Oceanic and Atmospheric Administration, National Oceanographic Data Center",USA
"BRACONNOT, Pascale","Laboratoire des Sciences du Climat et de l’Environnement, Institut Pierre Simon Laplace",France
"BRAUER, Achim",GFZ German Research Centre for Geosciences,Germany
"BRÉON, François-Marie","Laboratoire des Sciences du Climat et de l’Environnement, Institut Pierre Simon Laplace",France
"BRETHERTON, Christopher",University of Washington,USA
"BROMWICH, David H.",Ohio State University,USA
"BRÖNNIMANN, Stefan",University of Bern,Switzerland
"BROOKS, Harold E.","National Oceanic and Atmospheric Administration, National Severe Storms Laboratory",USA
"BROVKIN, Victor",Max Planck Institute for Meteorology,Germany
"BROWN, Josephine",Bureau of Meteorology,Australia
"BROWN, Ross",Environment Canada,Canada
"BROWNE, Oliver",University of Edinburgh,UK
"BRUHWILER, Lori M.","National Oceanic and Atmospheric Administration, Earth System Research Laboratory",USA
"BRUTEL-VUILMET, Claire","Laboratoire de Glaciologie et Géophysique de l`Environnement, Université Joseph Fourier",France
"BYRNE, Robert H.",University of South Florida,USA
"CAI, Wenju",CSIRO Marine and Atmospheric Research,Australia
"CALDEIRA, Kenneth",Carnegie Institution for Science,USA
"CAMERON-SMITH, Philip",Lawrence Livermore National Laboratory,USA
"CAMILLONI, Ines",Universidad de Buenos Aires,Argentina
"CAMPOS, Edmo",University of Sao Paulo,Brazil
"CANADELL, Josep",CSIRO Marine and Atmospheric Research,Australia
"CANE, Mark",Columbia University,USA
"CAO, Long",Zhejiang University,China
"CARRASCO, Jorge",Direccion Meteorologica de Chile,Chile
"CARSON, Mark",University of Hamburg,Germany
"CARTER, Tim",Finnish Environment Institute,Finland
"CARVALHO, Leila V.",University of California Santa Barbara,USA
"CATTO, Jennifer",Monash University,Australia
"CAVALCANTI, Iracema F.A.",National Institute for Space Research,Brazil
"CAZENAVE, Anny",Laboratoire d’Etudes en Géophysique et Océanographie Spatiales,France
"CHADWICK, Robin",Met Office Hadley Centre,UK
"CHAMBERS, Don",University of South Florida,USA
"CHANG, Ping",Texas A&M University,USA
