Chapter,Title,Role,Name,Institution,Country
Chapter 2,Observations: Atmosphere and Surface,Coordinating Lead Author,Dennis L. Hartmann,University of Washington,USA
Chapter 2,Observations: Atmosphere and Surface,Coordinating Lead Author,Albert M.G. Klein Tank,Royal Netherlands Meteorological Institute,Netherlands
Chapter 2,Observations: Atmosphere and Surface,Coordinating Lead Author,Matilde Rusticucci,University of Buenos Aires,Argentina
,,,,,
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Lisa V. Alexander,University of New South Wales,Australia
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Stefan Brönnimann,University of Bern,Switzerland
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Yassine Abdul-Rahman Charabi,Sultan Qaboos University,Oman
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Frank J. Dentener,"European Commission, Joint Research Center",EU
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Edward J. Dlugokencky,National Oceanic and Atmospheric Administration,USA
Chapter 2,Observations: Atmosphere and Surface,Lead Author,David R. Easterling,National Oceanic and Atmospheric Administration,USA
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Alexey Kaplan,Columbia University,USA
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Brian J. Soden,University of Miami,USA
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Peter W. Thorne,NOAA and Nansen Environmental and Remote Sensing Center,USA/Norway
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Martin Wild,ETH Zurich,Switzerland
Chapter 2,Observations: Atmosphere and Surface,Lead Author,Panmao Zhai,China Meteorological Administration,China
,,,,,
Chapter 2,Observations: Atmosphere and Surface,Review Editor,Jim Hurrell,National Center for Atmospheric Research,USA
Chapter 2,Observations: Atmosphere and Surface,Review Editor,José Marengo,National Institute for Space Research,Brazil
Chapter 2,Observations: Atmosphere and Surface,Review Editor,Fredolin Tangang,National University of Malaysia,Malaysia
Chapter 2,Observations: Atmosphere and Surface,Review Editor,Pedro Viterbo,Instituto de Meteorologia,Portugal
,,,,,
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Robert Adler,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Richard Allan,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Robert Allan,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Donald Blake,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Owen Cooper,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Aiguo Dai,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Robert Davis,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Sean Davis,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Markus Donat,,Australia
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Vitali Fioletov,,Canada
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Erich Fischer,,Switzerland
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Leopold Haimberger,,Austria
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Ben Ho,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,John Kennedy,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Elizabeth Kent,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Stefan Kinne,,Germany
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,James Kossin,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Norman Loeb,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Carl Mears,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Christopher Merchant,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Steve Montzka,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Colin Morice,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Cathrine Lund Myhre,,Norway
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Joel Norris,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,David Parker,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Bill Randel,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Andreas Richter,,Germany
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Matthew Rigby,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Ben Santer,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Dian Seidel,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Tom Smith,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,David B. Stephenson,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Ryan Teuling,,Netherlands
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Junhong Wang,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Xiaolan Wang,,Canada
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Ray Weiss,,USA
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Kate Willett,,UK
Chapter 2,Observations: Atmosphere and Surface,Contributing Author,Simon Wood,,UK
