#,Chapter,Role,Name (Country)
for Policymakers,,Drafting Author,Lisa V. Alexander (Australia)
for Policymakers,,Drafting Author,Simon K. Allen (Switzerland)
for Policymakers,,Drafting Author,Nathaniel L. Bindoff (Australia)
for Policymakers,,Drafting Author,François-Marie Bréon (France)
for Policymakers,,Drafting Author,John A. Church (Australia)
for Policymakers,,Drafting Author,Ulrich Cubasch (Germany)
for Policymakers,,Drafting Author,Seita Emori (Japan)
for Policymakers,,Drafting Author,Piers Forster (UK)
for Policymakers,,Drafting Author,Pierre Friedlingstein (UK)
for Policymakers,,Drafting Author,Nathan Gillett (Canada)
for Policymakers,,Drafting Author,Jonathan M. Gregory (UK)
for Policymakers,,Drafting Author,Dennis L. Hartmann (USA)
for Policymakers,,Drafting Author,Eystein Jansen (Norway)
for Policymakers,,Drafting Author,Krishna Kumar Kanikicharla (India)
for Policymakers,,Drafting Author,Ben Kirtman (USA)
for Policymakers,,Drafting Author,Reto Knutti (Switzerland)
for Policymakers,,Drafting Author,Peter Lemke (Germany)
for Policymakers,,Drafting Author,Jochem Marotzke (Germany)
for Policymakers,,Drafting Author,Valérie Masson-Delmotte (France)
for Policymakers,,Drafting Author,Gerald Meehl (USA)
for Policymakers,,Drafting Author,Igor I. Mokhov (Russian Federation)
for Policymakers,,Drafting Author,Shilong Piao (China)
for Policymakers,,Drafting Author,Gian-Kasper Plattner (Switzerland)
for Policymakers,,Drafting Author,Dahe Qin (China)
for Policymakers,,Drafting Author,Venkatachalam Ramaswamy (USA)
for Policymakers,,Drafting Author,David Randall (USA)
for Policymakers,,Drafting Author,Monika Rhein (Germany)
for Policymakers,,Drafting Author,Maisa Rojas (Chile)
for Policymakers,,Drafting Author,Christopher Sabine (USA)
for Policymakers,,Drafting Author,Drew Shindell (USA)
for Policymakers,,Drafting Author,Thomas F. Stocker (Switzerland)
for Policymakers,,Drafting Author,Lynne D. Talley (USA)
for Policymakers,,Drafting Author,David G. Vaughan (UK)
for Policymakers,,Drafting Author,Shang-Ping Xie (USA)
,,,
for Policymakers,,Draft Contributing Author,Myles R. Allen (UK)
for Policymakers,,Draft Contributing Author,Olivier Boucher (France)
for Policymakers,,Draft Contributing Author,Don Chambers (USA)
for Policymakers,,Draft Contributing Author,Jens Hesselbjerg Christensen (Denmark)
for Policymakers,,Draft Contributing Author,Philippe Ciais (France)
for Policymakers,,Draft Contributing Author,Peter U. Clark (USA)
for Policymakers,,Draft Contributing Author,Matthew Collins (UK)
for Policymakers,,Draft Contributing Author,Josefino C. Comiso (USA)
for Policymakers,,Draft Contributing Author,Viviane Vasconcellos de Menezes (Australia)
for Policymakers,,Draft Contributing Author,Richard A. Feely (USA)
for Policymakers,,Draft Contributing Author,Thierry Fichefet (Belgium)
for Policymakers,,Draft Contributing Author,Arlene M. Fiore (USA)
for Policymakers,,Draft Contributing Author,Gregory Flato (Canada)
for Policymakers,,Draft Contributing Author,Jan Fuglestvedt (Norway)
for Policymakers,,Draft Contributing Author,Gabriele C. Hegerl (UK)
for Policymakers,,Draft Contributing Author,Paul J. Hezel (Belgium)
for Policymakers,,Draft Contributing Author,Gregory C. Johnson (USA)
for Policymakers,,Draft Contributing Author,Georg Kaser (Austria)
for Policymakers,,Draft Contributing Author,Vladimir Kattsov (Russian Federation)
for Policymakers,,Draft Contributing Author,John Kennedy (UK)
for Policymakers,,Draft Contributing Author,Albert M.G. Klein Tank (Netherlands)
for Policymakers,,Draft Contributing Author,Corinne Le Quéré (UK)
for Policymakers,,Draft Contributing Author,Gunnar Myhre (Norway)
for Policymakers,,Draft Contributing Author,Timothy Osborn (UK)
for Policymakers,,Draft Contributing Author,Antony J. Payne (UK)
for Policymakers,,Draft Contributing Author,Judith Perlwitz (USA)
for Policymakers,,Draft Contributing Author,Scott B. Power (Australia)
for Policymakers,,Draft Contributing Author,Michael Prather (USA)
for Policymakers,,Draft Contributing Author,Stephen R.Rintoul (Australia)
for Policymakers,,Draft Contributing Author,Joeri Rogelj (Switzerland)
for Policymakers,,Draft Contributing Author,Matilde Rusticucci (Argentina)
for Policymakers,,Draft Contributing Author,Michael Schulz (Germany)
for Policymakers,,Draft Contributing Author,Jan Sedláček (Switzerland)
for Policymakers,,Draft Contributing Author,Peter A. Stott (UK)
for Policymakers,,Draft Contributing Author,Rowan Sutton (UK)
for Policymakers,,Draft Contributing Author,Peter W. Thorne (USA/Norway)
for Policymakers,,Draft Contributing Author,Donald Wuebbles (USA)
