Chapter,Title,Role,Name,Institution,Country
SPM,Summary for Policymakers,Drafting Author,Lisa V. Alexander,University of New South Wales,Australia
SPM,Summary for Policymakers,Drafting Author,Simon K. Allen,"IPCC WGI TSU, University of Bern",Switzerland
SPM,Summary for Policymakers,Drafting Author,Nathaniel L. Bindoff,University of Tasmania,Australia
SPM,Summary for Policymakers,Drafting Author,François-Marie Bréon,Laboratoire des Sciences du Climat et de l'Environnement,France
SPM,Summary for Policymakers,Drafting Author,John A. Church,CSIRO Marine and Atmospheric Research,Australia
SPM,Summary for Policymakers,Drafting Author,Ulrich Cubasch,Freie Universität Berlin,Germany
SPM,Summary for Policymakers,Drafting Author,Seita Emori,National Institute for Environmental Studies,Japan
SPM,Summary for Policymakers,Drafting Author,Piers Forster,University of Leeds,UK
SPM,Summary for Policymakers,Drafting Author,Pierre Friedlingstein,University of Exeter,UK
SPM,Summary for Policymakers,Drafting Author,Nathan Gillett,Environment Canada,Canada
SPM,Summary for Policymakers,Drafting Author,Jonathan M. Gregory,University of Reading and Met Office Hadley Centre,UK
SPM,Summary for Policymakers,Drafting Author,Dennis L. Hartmann,University of Washington,USA
SPM,Summary for Policymakers,Drafting Author,Eystein Jansen,University of Bergen,Norway
SPM,Summary for Policymakers,Drafting Author,Krishna Kumar Kanikicharla,Indian Institute of Tropical Meteorology,India
SPM,Summary for Policymakers,Drafting Author,Ben Kirtman,University of Miami,USA
SPM,Summary for Policymakers,Drafting Author,Reto Knutti,ETH Zurich,Switzerland
SPM,Summary for Policymakers,Drafting Author,Peter Lemke,Alfred Wegener Institute for Polar and Marine Research,Germany
SPM,Summary for Policymakers,Drafting Author,Jochem Marotzke,Max Planck Institute for Meteorology,Germany
SPM,Summary for Policymakers,Drafting Author,Valérie Masson-Delmotte,Laboratoire des Sciences du Climat et de l'Environnement,France
SPM,Summary for Policymakers,Drafting Author,Gerald Meehl,National Center for Atmospheric Research,USA
SPM,Summary for Policymakers,Drafting Author,Igor I. Mokhov,A.M. Obukhov Institute of Atmospheric Physics,Russian Federation
SPM,Summary for Policymakers,Drafting Author,Shilong Piao,Peking University,China
