#,Chapter,Role,Name (Country)
Summary,,Coordinating Lead Author,Thomas F. Stocker (Switzerland)
Summary,,Coordinating Lead Author,Dahe Qin (China)
Summary,,Coordinating Lead Author,Gian-Kasper Plattner (Switzerland)
,,,
Summary,,Lead Author,Lisa V. Alexander (Australia)
Summary,,Lead Author,Simon K. Allen (Switzerland)
Summary,,Lead Author,Nathaniel L. Bindoff (Australia)
Summary,,Lead Author,François-Marie Bréon (France)
Summary,,Lead Author,John A. Church (Australia)
Summary,,Lead Author,Ulrich Cubasch (Germany)
Summary,,Lead Author,Seita Emori (Japan)
Summary,,Lead Author,Piers Forster (UK)
Summary,,Lead Author,Pierre Friedlingstein (UK)
Summary,,Lead Author,Nathan Gillett (Canada)
Summary,,Lead Author,Jonathan M. Gregory (UK)
Summary,,Lead Author,Dennis L. Hartmann (USA)
Summary,,Lead Author,Eystein Jansen (Norway)
Summary,,Lead Author,Krishna Kumar Kanikicharla (India)
Summary,,Lead Author,Ben Kirtman (USA)
Summary,,Lead Author,Reto Knutti (Switzerland)
Summary,,Lead Author,Peter Lemke (Germany)
Summary,,Lead Author,Jochem Marotzke (Germany)
Summary,,Lead Author,Valérie Masson-Delmotte (France)
Summary,,Lead Author,Gerald Meehl (USA)
Summary,,Lead Author,Igor I. Mokhov (Russian Federation)
Summary,,Lead Author,Shilong Piao (China)
Summary,,Lead Author,Venkatachalam Ramaswamy (USA)
Summary,,Lead Author,David Randall (USA)
Summary,,Lead Author,Monika Rhein (Germany)
Summary,,Lead Author,Maisa Rojas (Chile)
Summary,,Lead Author,Christopher Sabine (USA)
Summary,,Lead Author,Drew Shindell (USA)
Summary,,Lead Author,Lynne D. Talley (USA)
Summary,,Lead Author,David G. Vaughan (UK)
Summary,,Lead Author,Shang-Ping Xie (USA)
,,,
Summary,,Review Editor,Sylvie Joussaume (France)
Summary,,Review Editor,Joyce Penner (USA)
Summary,,Review Editor,Fredolin Tangang (Malaysia)
,,,
Summary,,Contributing Author,Myles R. Allen (UK)
Summary,,Contributing Author,Olivier Boucher (France)
Summary,,Contributing Author,Don Chambers (USA)
Summary,,Contributing Author,Jens Hesselbjerg Christensen (Denmark)
Summary,,Contributing Author,Philippe Ciais (France)
Summary,,Contributing Author,Peter U. Clark (USA)
Summary,,Contributing Author,Matthew Collins (UK)
Summary,,Contributing Author,Josefino C. Comiso (USA)
Summary,,Contributing Author,Viviane Vasconcellos de Menezes (Australia)
Summary,,Contributing Author,Richard A. Feely (USA)
Summary,,Contributing Author,Thierry Fichefet (Belgium)
Summary,,Contributing Author,Gregory Flato (Canada)
Summary,,Contributing Author,Jesús Fidel González Rouco (Spain)
Summary,,Contributing Author,Ed Hawkins (UK)
Summary,,Contributing Author,Paul J. Hezel (Belgium)
Summary,,Contributing Author,Gregory C. Johnson (USA)
Summary,,Contributing Author,Simon A. Josey (UK)
Summary,,Contributing Author,Georg Kaser (Austria)
Summary,,Contributing Author,Albert M.G. Klein Tank (Netherlands)
Summary,,Contributing Author,Janina Körper (Germany)
Summary,,Contributing Author,Gunnar Myhre (Norway)
Summary,,Contributing Author,Timothy Osborn (UK)
Summary,,Contributing Author,Scott B. Power (Australia)
Summary,,Contributing Author,Stephen R.Rintoul (Australia)
Summary,,Contributing Author,Joeri Rogelj (Switzerland)
Summary,,Contributing Author,Matilde Rusticucci (Argentina)
Summary,,Contributing Author,Jan Sedláček (Switzerland)
Summary,,Contributing Author,Michael Schulz (Germany)
Summary,,Contributing Author,Peter A. Stott (UK)
Summary,,Contributing Author,Rowan Sutton (UK)
Summary,,Contributing Author,Peter W. Thorne (USA/Norway)
Summary,,Contributing Author,Donald Wuebbles (USA)
