Chapter,Title,Role,Name,Institution,Country
Technical Summary,,Coordinating Lead Author,Thomas F. Stocker,"Co-Chair IPCC WGI, University of Bern",Switzerland
Technical Summary,,Coordinating Lead Author,Dahe Qin,"Co-Chair IPCC WGI, China Meteorological Administration",China
Technical Summary,,Coordinating Lead Author,Gian-Kasper Plattner,"IPCC WGI TSU, University of Bern",Switzerland
,,,,,
Technical Summary,,Lead Author,Lisa V. Alexander,University of New South Wales,Australia
Technical Summary,,Lead Author,Simon K. Allen,"IPCC WGI TSU, University of Bern",Switzerland
Technical Summary,,Lead Author,Nathaniel L. Bindoff,University of Tasmania,Australia
Technical Summary,,Lead Author,François-Marie Bréon,Laboratoire des Sciences du Climat et de l'Environnement,France
Technical Summary,,Lead Author,John A. Church,CSIRO Marine and Atmospheric Research,Australia
Technical Summary,,Lead Author,Ulrich Cubasch,Freie Universität Berlin,Germany
Technical Summary,,Lead Author,Seita Emori,National Institute for Environmental Studies,Japan
Technical Summary,,Lead Author,Piers Forster,University of Leeds,UK
Technical Summary,,Lead Author,Pierre Friedlingstein,University of Exeter,UK
Technical Summary,,Lead Author,Nathan Gillett,Environment Canada,Canada
Technical Summary,,Lead Author,Jonathan M. Gregory,University of Reading and Met Office Hadley Centre,UK
Technical Summary,,Lead Author,Dennis L. Hartmann,University of Washington,USA
Technical Summary,,Lead Author,Eystein Jansen,University of Bergen,Norway
Technical Summary,,Lead Author,Krishna Kumar Kanikicharla,Indian Institute of Tropical Meteorology,India
Technical Summary,,Lead Author,Ben Kirtman,University of Miami,USA
Technical Summary,,Lead Author,Reto Knutti,ETH Zurich,Switzerland
Technical Summary,,Lead Author,Peter Lemke,Alfred Wegener Institute for Polar and Marine Research,Germany
Technical Summary,,Lead Author,Jochem Marotzke,Max Planck Institute for Meteorology,Germany
Technical Summary,,Lead Author,Valérie Masson-Delmotte,Laboratoire des Sciences du Climat et de l'Environnement,France
Technical Summary,,Lead Author,Gerald Meehl,National Center for Atmospheric Research,USA
Technical Summary,,Lead Author,Igor I. Mokhov,A.M. Obukhov Institute of Atmospheric Physics,Russian Federation
Technical Summary,,Lead Author,Shilong Piao,Peking University,China
Technical Summary,,Lead Author,Venkatachalam Ramaswamy,National Oceanic and Atmospheric Administration,USA
Technical Summary,,Lead Author,David Randall,Colorado State University,USA
Technical Summary,,Lead Author,Monika Rhein,University of Bremen,Germany
Technical Summary,,Lead Author,Maisa Rojas,University of Chile,Chile
Technical Summary,,Lead Author,Christopher Sabine,National Oceanic and Atmospheric Administration,USA
Technical Summary,,Lead Author,Drew Shindell,NASA Goddard Institute for Space Studies,USA
Technical Summary,,Lead Author,Lynne D. Talley,Scripps Institution of Oceanography,USA
Technical Summary,,Lead Author,David G. Vaughan,British Antarctic Survey,UK
Technical Summary,,Lead Author,Shang-Ping Xie,Scripps Institution of Oceanography,USA
,,,,,
Technical Summary,,Review Editor,Sylvie Joussaume,Laboratoire des Sciences du Climat et de l'Environnement,France
Technical Summary,,Review Editor,Joyce Penner,University of Michigan,USA
Technical Summary,,Review Editor,Fredolin Tangang,National University of Malaysia,Malaysia
,,,,,
Technical Summary,,Contributing Author,Myles R. Allen,,UK
Technical Summary,,Contributing Author,Olivier Boucher,,France
Technical Summary,,Contributing Author,Don Chambers,,USA
Technical Summary,,Contributing Author,Jens Hesselbjerg Christensen,,Denmark
Technical Summary,,Contributing Author,Philippe Ciais,,France
Technical Summary,,Contributing Author,Peter U. Clark,,USA
Technical Summary,,Contributing Author,Matthew Collins,,UK
Technical Summary,,Contributing Author,Josefino C. Comiso,,USA
Technical Summary,,Contributing Author,Viviane Vasconcellos de Menezes,,Australia
Technical Summary,,Contributing Author,Richard A. Feely,,USA
Technical Summary,,Contributing Author,Thierry Fichefet,,Belgium
Technical Summary,,Contributing Author,Gregory Flato,,Canada
Technical Summary,,Contributing Author,Jesús Fidel González Rouco,,Spain
Technical Summary,,Contributing Author,Ed Hawkins,,UK
Technical Summary,,Contributing Author,Paul J. Hezel,,Belgium
Technical Summary,,Contributing Author,Gregory C. Johnson,,USA
Technical Summary,,Contributing Author,Simon A. Josey,,UK
Technical Summary,,Contributing Author,Georg Kaser,,Austria
Technical Summary,,Contributing Author,Albert M.G. Klein Tank,,Netherlands
Technical Summary,,Contributing Author,Janina Körper,,Germany
Technical Summary,,Contributing Author,Gunnar Myhre,,Norway
Technical Summary,,Contributing Author,Timothy Osborn,,UK
Technical Summary,,Contributing Author,Scott B. Power,,Australia
Technical Summary,,Contributing Author,Stephen R.Rintoul,,Australia
Technical Summary,,Contributing Author,Joeri Rogelj,,Switzerland
Technical Summary,,Contributing Author,Matilde Rusticucci,,Argentina
Technical Summary,,Contributing Author,Jan Sedláček,,Switzerland
Technical Summary,,Contributing Author,Michael Schulz,,Germany
Technical Summary,,Contributing Author,Peter A. Stott,,UK
Technical Summary,,Contributing Author,Rowan Sutton,,UK
Technical Summary,,Contributing Author,Peter W. Thorne,,USA/Norway
Technical Summary,,Contributing Author,Donald Wuebbles,,USA
