"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.2","0.5","0.6","1","0.5","0.7","0.6","1.5","2.7","0.1","0.3","0.3","0.5","","",
"Afghanistan","AFG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","4","2","5","1","0","1","1","0","0","1","0","0","0.2","1","0","0","0","1.2","2.8","3.9","4","3.8","6.6","11.7","5.5","7.7","","",
"Angola","AGO","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","1","2","3","3","2","2.9","1","2.6","0.8","3.4","4.4","5","4.6","1.1","2.6","3.5","2.6","3.2","2.2","6.2","6.9","6","","",
"Albania","ALB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","1","2","11","6","15","8","12","17","15.1","18.6","10.4","14.5","15.9","6.7","10.3","16.8","8.9","7.3","9","10.2","12.3","13.5","8","18.3","26.9","","",
"Andean Region","ANR","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","2671","2675","2978","3234","3216","3194","3077","3108","3376","3509.3","3470.6","3595.5","3722.1","3861.7","4048.7","4204.1","4294.5","4595.1","4735.4","4954.9","5247.7","5647.7","6099.4","6580.6","7046.8","7754.9","","",
"United Arab Emirates","ARE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","13","20","23","30","33","57","77","109","98","120.2","143.1","151.6","155.5","129.9","144.7","156","163.3","178.3","210.2","229.3","229.6","214","255.5","264.8","276.1","323.5","","",
"Argentina","ARG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","892","","","","1190","1459","1475","1423","1518","1627","1499","1526","1585","1747","1967.2","2287.2","2450.8","2550.7","2635.8","2846.1","2930.7","3178.1","2919.8","2981.6","3058.4","3264","3364.3","3567.1","3655.2","3767.6","3862.8","","",
"Armenia","ARM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","21","165","178","166","197.9","172.3","165.9","163.9","175.4","156.7","172.8","184.1","191.2","179.9","179.5","174.8","190.7","164.2","183.4","184.6","","",
"American Samoa","ASM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0.5","0.3","0.8","0.5","0","0.1","0.2","","",
"Australia","AUS","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","8138","","","","8247","10121","9831","9896","10730","10664","10742","11452","11929","12695","13125.4","13623.3","13815.7","14307.4","14341.1","14588.6","14484","14255.2","14933.6","15588.9","15974.4","17217.1","17833.8","18776.5","18932","19516.7","20602.6","","",
"Austria","AUT","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","2160","","","","2179","2342","2271","2241","2675","2690","2756","3047","3051","3177","3425","3646.2","3947.4","4074","4157.8","4257.1","4479.5","4460","4692.1","4716","4567.9","4614.3","4827.2","4815.6","4833.2","4922.8","5102.5","","",
"Azerbaijan","AZE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","","","15","197","189","139.1","118.2","85.8","92","65.7","78.6","67.9","78.1","110.3","110.1","115.9","116.4","96.8","100.2","150.9","144.7","148.7","","",
