Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,20433.6541088167,20834.9397101237,22566.6821576324,23302.8319880055,24015.4206122701,25921.2821405392,27549.3457319106,24639.9353260156,24289.1415161326,25354.7824741086,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.0893085764,3497.9131265263,4217.4004116817,5343.1227767619,6320.9718780469,7168.3987095681,7151.5737681373,7751.169371822,9127.6116990443,11819.6457899758,12377.7138585391,10372.3271798169,9611.2380578375,8023.3456268222,7729.3233640243,7775.0275073073,10362.1677498842,12615.0521783631,14305.2096423903,15166.912581061,18876.7301903679,19530.8420614121,20541.7731272609,16508.8749149607,16226.9701802536,18460.0066061368,19043.8352940747,18421.6888284091,18996.441222614,19347.1110672469,17334.2756700025,18599.4153888345,20326.9001004177,25355.2671797143,29372.1667374519,31268.9667449795,34484.7008637747,39922.8901210414,46418.4154673278,,,,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,61.2891320598,61.3040930583,59.7986933232,80.4230020659,83.7948118143,103.0891031117,140.1383832401,163.7007886269,131.2214359256,131.3136212248,158.7642309287,161.7095159979,137.0236875628,144.8505998375,175.6255239333,188.5521200934,199.5466136324,226.5788854058,250.0076409976,278.9397782945,276.2977513546,268.3465596489,,,,,,,,,,,,,,,,,,,,115.3125095049,185.9592901284,198.2877991381,220.0562878087,252.4078924768,275.3509409048,373.5914162185,376.9776698689,450.659239045,561.1976174848,613.9791915995,687.5813677152,678.3478881329
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,750.7219569946,681.9084598089,772.2105077966,813.9609409598,923.5829011715,992.8728709937,1144.6596373566,525.2677821105,464.7843425948,345.6891601504,416.3200958162,604.4394354068,597.9317813542,490.5820148599,455.4139458172,655.6294946264,621.1959300885,839.5045121078,920.1011758136,1229.3429875698,1706.5436158079,2440.6317161064,3412.7189979656,4596.2684309432,3988.6835572765,4218.6491255738,5159.23366604,5539.3469320952,5668.1167988246
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,662.5200534326,662.9147906802,719.1572968618,699.3842907895,676.56673252,723.4096116319,639.4638985292,348.71132796,218.4921624465,380.5273709507,619.0649226991,760.559358125,951.1320912925,697.5945647198,871.893653915,1104.7435530651,1193.4662231939,1335.1410080661,1458.1287560103,1863.2038345772,2476.1158855103,2798.9496326701,3076.9798440009,3638.7108130404,4422.6924459822,4175.7793489637,4175.1202392654,4556.144341652,4406.1163784169,4652.3513950622
Andean Region,ANR,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,293.6210244547,317.1257672436,336.8792940451,380.3737635138,446.3374524783,553.3263600918,1015.8307783411,1088.2998684027,1306.6851226293,1463.5286147223,1553.0169467677,1986.8482319548,2589.3187983063,2698.9909214806,2395.9124714317,2176.1255879969,2109.6014760187,2010.9966258282,1851.3612213583,1916.5708283832,1792.8889928837,1831.3030976201,1989.728858115,1905.6533780516,2005.1419809717,1978.8218340129,1974.5565967233,2058.2822392935,2225.104267352,2316.5462530428,2204.2764867315,2332.5069552942,2617.3744117189,2517.1411937044,2499.1893498157,2754.5260723447,3168.5521196582,3795.8702407855,4410.8463445166,5045.4959104052,6253.284173563,5268.4092866562,6060.8312191161,7042.9571358802,7626.6697163599,7709.9491885502
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27631.8985401645,30817.2633828884,34371.4628949095,28742.855354213,33716.7240835592,42961.8382150634,45232.6335281834,40339.2718734664,35218.0579741799,32731.507235934,30138.8863490181,23788.110756089,24019.6440095658,22543.0962331629,24289.9421357646,28066.149918578,27018.926378943,26944.7548737053,26224.1490533804,26568.4899320413,28020.0854141076,29776.1600121965,30218.1755039743,27482.9828984103,29183.0504343053,34476.2854230194,32984.7423721857,34062.4257350159,36906.1998942909,40403.988167934,43533.8917822307,45554.2194039788,44488.649858533,46402.6447688597,33012.8151199481,34048.5173453316,39057.8370571808,41691.6950339426,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1148.1696129805,844.7250240084,1165.7851638794,1271.415566369,1265.7773446738,1057.3280680499,1136.1259245338,1323.7079045359,1317.1869889513,1366.1180737277,1401.3248915396,2083.8118828854,2824.4276659927,2011.4214369841,1932.1031070755,2111.6213627217,2128.1160825658,2499.9566431264,2736.8973776956,2755.7444276657,2908.2509285388,3532.4504728357,2646.4066594618,2914.1545111905,3602.1791828324,3554.877803108,3979.6371263972,2382.2172357493,4332.6563871079,5736.0204650078,6824.9970851877,6971.1422454629,9065.6495241784,8973.3213470564,9348.6424000406,9939.7532746414,10028.8119345958,9405.7903562738,9329.1137563173,8732.4660633636,3285.026170818,4134.5020403497,4784.6918928246,5767.6570119762,6783.7139746899,8384.1877122817,10232.9590809902,9456.8163136556,11460.3761475933,13693.7037865724,14679.9252351628,14760.2049325569
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.6806899965,589.0029482239,368.9168367934,356.5073514422,399.7512025223,455.5502760862,503.2319696202,522.5220720402,608.3366487308,596.505996304,621.4248263189,692.3188255333,779.892841685,924.5821548293,1182.0973596488,1625.3969042944,2126.0895659071,3079.1521874095,3916.7381073829,2913.5741433858,3124.784854125,3421.7045092461,3353.9731251312,3504.7667584895
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
