#,Chapter,Role,Name,"Institution, Country"
TS,Technical Summary,Coordinating Lead Author,D.L. Albritton,"National Oceanographic and Atmospheric Administration (NOAA), USA"
TS,Technical Summary,Coordinating Lead Author,L.G. Meira Filho,"Agencia Espacial Brasileira, Brazil"
,,,,
TS,Technical Summary,Lead Author,Ulrich Cubasch,"Max-Planck Institute for Meteorology, Germany"
TS,Technical Summary,Lead Author,X. Dai,"IPCC WGI Technical Support Unit, UK/National Climate Center, China"
TS,Technical Summary,Lead Author,Yihui Ding,"China Meteorological Administration, China"
TS,Technical Summary,Lead Author,David J. Griggs,"Met Office, United Kingdom"
TS,Technical Summary,Lead Author,Bruce Charles Hewitson,"University of Cape Town, South Africa"
TS,Technical Summary,Lead Author,Richard A. Houghton,"Woods Hole Research Center, USA"
TS,Technical Summary,Lead Author,I.S.A Isaksen,"University of Oslo, Norway"
TS,Technical Summary,Lead Author,Thomas R. Karl,"National Oceanographic and Atmospheric Administration (NOAA), USA"
TS,Technical Summary,Lead Author,Mack McFarland,"DuPont Fluoroproducts, USA"
TS,Technical Summary,Lead Author,V. Meleshko,"Voeikov Main Geophysical Observatory, Russian Federation"
TS,Technical Summary,Lead Author,John F. B. Mitchell,"Met Office, United Kingdom"
TS,Technical Summary,Lead Author,M. Noguer,"Met Office, United Kingdom"
TS,Technical Summary,Lead Author,B.S. Nyenzi,"Zimbabwe Drought Monitoring Centre, Zimbabwe"
TS,Technical Summary,Lead Author,Michael Oppenheimer,"Environmental Defense Fund, USA"
TS,Technical Summary,Lead Author,Joyce E. Penner,"University of Michigan, USA"
TS,Technical Summary,Lead Author,S. Pollonais,"Environment Management Authority, Trinidad and Tobago"
TS,Technical Summary,Lead Author,Thomas F. Stocker,"University of Bern, Switzerland"
TS,Technical Summary,Lead Author,Kevin E. Trenberth,"National Center for Atmospheric Research (NCAR), USA"
,,,,
TS,Technical Summary,Contributing Author,Myles R. Allen,"Rutherford Appleton Laboratory, United Kingdom"
TS,Technical Summary,Contributing Author,Alphonsus Baede,"Royal Netherlands Meteorological Institute (KNMI), The Netherlands"
TS,Technical Summary,Contributing Author,John A. Church,"Commonwealth Scientific and Industrial Research Organization (CSIRO), Australia"
TS,Technical Summary,Contributing Author,D.H. Ehhalt,"Institut fur Chemie der KFA Julich GmbH, Germany"
TS,Technical Summary,Contributing Author,Christopher K. Folland,"Met Office, United Kingdom"
TS,Technical Summary,Contributing Author,Filippo Giorgi,"Abdus Salam International Centre for Theoretical Physics, Italy"
TS,Technical Summary,Contributing Author,K. Gregory,"Centre for Business and the Environment, USA"
TS,Technical Summary,Contributing Author,James M. Haywood,"Met Office, United Kingdom"
TS,Technical Summary,Contributing Author,Joanna I. House,"Max-Planck Institute for Biogeochemistry, Germany"
TS,Technical Summary,Contributing Author,Mike Hulme,"University of East Anglia, United Kingdom"
TS,Technical Summary,Contributing Author,V.J. Jaramillo,"Universidad Nacional Autonoma de Mexico (UNAM), Mexico"
TS,Technical Summary,Contributing Author,A. Jayaraman,"Physical Research Laboratory, India"
TS,Technical Summary,Contributing Author,C.A. Johnson,"IPCC WGI Technical Support Unit, UK"
TS,Technical Summary,Contributing Author,Sylvie Joussaume,"Institut Pierre Simon Laplace (IPSL), France"
TS,Technical Summary,Contributing Author,David J. Karoly,"Monash University, Australia"
TS,Technical Summary,Contributing Author,Haroon Kheshgi,"Exxon Mobil Corporation, USA"
TS,Technical Summary,Contributing Author,C. Le Quiero,"Max-Planck Institute for Biogeochemistry, Germany"
TS,Technical Summary,Contributing Author,K. Maskell,"IPCC WGI Technical Support Unit, UK"
TS,Technical Summary,Contributing Author,Luis Jose Mata,"Universidad Central Venezuela, Venezuela"
TS,Technical Summary,Contributing Author,Bryant J. McAvaney,"Bureau of Meteorology, Australia"
TS,Technical Summary,Contributing Author,Linda O. Mearns,"National Center for Atmospheric Research (NCAR), USA"
TS,Technical Summary,Contributing Author,Gerald A. Meehl,"National Center for Atmospheric Research (NCAR), USA"
TS,Technical Summary,Contributing Author,B. Moore III,"University of New Hampshire, USA"
TS,Technical Summary,Contributing Author,R.K. Mugara,"Zambia Meteorological Department, Zambia"
TS,Technical Summary,Contributing Author,Michael Prather,"University of California Irvine, USA"
TS,Technical Summary,Contributing Author,I. Colin Prentice,"Max-Planck Institute for Biogeochemistry, Germany"
TS,Technical Summary,Contributing Author,Venkatachalam Ramaswamy,"National Oceanographic and Atmospheric Administration (NOAA), USA"
TS,Technical Summary,Contributing Author,Sarah C.B. Raper,"University of East Anglia, United Kingdom"
TS,Technical Summary,Contributing Author,"Michael James ""Jim"" Salinger","National Institute of Water and Atmospheric Research, New Zealand"
TS,Technical Summary,Contributing Author,Robert (Bob) J. Scholes,"Council for Scientific and Industrial Research (CSIR), South Africa"
TS,Technical Summary,Contributing Author,Susan Solomon,"National Oceanographic and Atmospheric Administration (NOAA), USA"
TS,Technical Summary,Contributing Author,Ronald J. Stouffer,"National Oceanographic and Atmospheric Administration (NOAA), USA"
TS,Technical Summary,Contributing Author,S.-W. Wang,"Peking University, China"
TS,Technical Summary,Contributing Author,Robert T. Watson,"World Bank, USA"
TS,Technical Summary,Contributing Author,K.S. Yap,"Malaysian Meteorological Service, Malaysia"
,,,,
TS,Technical Summary,Review Editor,Fortunat Joos,"University of Bern, Switzerland"
TS,Technical Summary,Review Editor,A. Ramirez-Rojas,"Universidad Central Venezuela, Venezuela"
TS,Technical Summary,Review Editor,John M.R. Stone,"Environment Canada, Canada"
TS,Technical Summary,Review Editor,John Zillman,"Bureau of Meteorology, Australia"
,,,,
1,The Climate System: an Overview,Coordinating Lead Author,Alphonsus Baede,"Royal Netherlands Meteorological Institute (KNMI), The Netherlands"
,,,,
1,The Climate System: an Overview,Lead Author,Epiphane Dotou Ahlonsou,"Benin National Meteorological Service, Benin"
1,The Climate System: an Overview,Lead Author,Yihui Ding,"China Meteorological Administration, China"
1,The Climate System: an Overview,Lead Author,David Schimel,"Max-Planck Institute for Biogeochemistry, Germany"
