Chapter,Role,Name (Country)
,,
Summary For Policy Makers,Lead Author,Qazi Z. Ahmad (Bangladesh)
Summary For Policy Makers,Lead Author,Oleg A. Anisimov (Russian Federation)
Summary For Policy Makers,Lead Author,Nigel Arnell (United Kingdom)
Summary For Policy Makers,Lead Author,Ross D. Brown (Canada)
Summary For Policy Makers,Lead Author,Ian Burton (Canada)
Summary For Policy Makers,Lead Author,Maximiliano Campos (Costa Rica)
Summary For Policy Makers,Lead Author,Osvaldo F. Canziani (Argentina)
Summary For Policy Makers,Lead Author,Timothy Carter (Finland)
Summary For Policy Makers,Lead Author,Stewart J. Cohen (Canada)
Summary For Policy Makers,Lead Author,Paul Desanker (USA)
Summary For Policy Makers,Lead Author,David Easterling (USA)
Summary For Policy Makers,Lead Author,B. Blair Fitzharris (New Zealand)
Summary For Policy Makers,Lead Author,Donald L. Forbes (Canada)
Summary For Policy Makers,Lead Author,Habiba Gitay (Australia)
Summary For Policy Makers,Lead Author,Andrew Githeko (Kenya)
Summary For Policy Makers,Lead Author,Patrick Gonzalez (USA)
Summary For Policy Makers,Lead Author,Duane J. Gubler (USA)
Summary For Policy Makers,Lead Author,Shreekant Gupta (India)
Summary For Policy Makers,Lead Author,Andrew Haines (United Kingdom)
Summary For Policy Makers,Lead Author,Hideo Harasawa (Japan)
Summary For Policy Makers,Lead Author,Jarle Inge Holten (Norway)
Summary For Policy Makers,Lead Author,Bubu Pateh Jallow (The Gambia)
Summary For Policy Makers,Lead Author,Philip D. Jones (United Kingdom)
Summary For Policy Makers,Lead Author,Zbigniew Kundzewicz (N/A)
Summary For Policy Makers,Lead Author,Murari Lal (India)
Summary For Policy Makers,Lead Author,Emilio Lebre La Rovere (Brazil)
Summary For Policy Makers,Lead Author,Neil A. Leary (USA)
Summary For Policy Makers,Lead Author,Rik Leemans (The Netherlands)
Summary For Policy Makers,Lead Author,Chunzhen Liu (China)
Summary For Policy Makers,Lead Author,Christopher H.D. Magadza (Zimbabwe)
Summary For Policy Makers,Lead Author,Andrew C. Manning (USA)
Summary For Policy Makers,Lead Author,Luis Jose Mata (Venezuela)
Summary For Policy Makers,Lead Author,James J. McCarthy (USA)
Summary For Policy Makers,Lead Author,Roger McLean (Australia)
Summary For Policy Makers,Lead Author,Anthony J. McMichael (United Kingdom)
Summary For Policy Makers,Lead Author,Kathleen Miller (USA)
Summary For Policy Makers,Lead Author,Evan Mills (USA)
Summary For Policy Makers,Lead Author,M. Monirul Qader Mirza (Canada)
Summary For Policy Makers,Lead Author,Daniel Murdiyarso (Indonesia)
Summary For Policy Makers,Lead Author,Leonard Nurse (Barbados)
Summary For Policy Makers,Lead Author,Camille Parmesan (USA)
Summary For Policy Makers,Lead Author,Martin Parry (United Kingdom)
Summary For Policy Makers,Lead Author,Jonathan Patz (USA)
Summary For Policy Makers,Lead Author,Olga Pilifosova (Kazakhstan)
Summary For Policy Makers,Lead Author,A. Barrie Pittock (Australia)
Summary For Policy Makers,Lead Author,Lynn K. Price (USA)
Summary For Policy Makers,Lead Author,Terry L. Root (USA)
Summary For Policy Makers,Lead Author,Cynthia Rosenzweig (USA)
Summary For Policy Makers,Lead Author,Jose Sarukhan (Mexico)
Summary For Policy Makers,Lead Author,H.-J. Schellnhuber (Germany)
Summary For Policy Makers,Lead Author,T.L. Schneider (Germany)
Summary For Policy Makers,Lead Author,Robert (Bob) J. Scholes (South Africa)
Summary For Policy Makers,Lead Author,D. Scott (N/A)
Summary For Policy Makers,Lead Author,Graham Sem (Samoa)
Summary For Policy Makers,Lead Author,Barry Smit (Canada)
Summary For Policy Makers,Lead Author,Doug M. Smith (United Kingdom)
Summary For Policy Makers,Lead Author,Brent Sohngen (USA)
Summary For Policy Makers,Lead Author,Alla Tsyban (Russian Federation)
Summary For Policy Makers,Lead Author,Jean-Pascal van Ypersele (Belgium)
Summary For Policy Makers,Lead Author,Pier Vellinga (The Netherlands)
Summary For Policy Makers,Lead Author,Richard A. Warrick (New Zealand)
Summary For Policy Makers,Lead Author,Thomas J. Wilbanks (USA)
Summary For Policy Makers,Lead Author,Alistair Woodward (New Zealand)
Summary For Policy Makers,Lead Author,David Wratt (New Zealand)
