Chapter,Role,Name (Country)
,,
Technical Summary,Lead Author,Qazi Z. Ahmad (Bangladesh)
Technical Summary,Lead Author,Oleg A. Anisimov (Russian Federation)
Technical Summary,Lead Author,Nigel Arnell (United Kingdom)
Technical Summary,Lead Author,Ross D. Brown (Canada)
Technical Summary,Lead Author,Maximiliano Campos (Costa Rica)
Technical Summary,Lead Author,Timothy Carter (Finland)
Technical Summary,Lead Author,Stewart J. Cohen (Canada)
Technical Summary,Lead Author,Paul Desanker (USA)
Technical Summary,Lead Author,David J. Dokken (USA)
Technical Summary,Lead Author,David Easterling (USA)
Technical Summary,Lead Author,B. Blair Fitzharris (New Zealand)
Technical Summary,Lead Author,Habiba Gitay (Australia)
Technical Summary,Lead Author,Andrew Githeko (Kenya)
Technical Summary,Lead Author,Sujata Gupta (India)
Technical Summary,Lead Author,Hideo Harasawa (Japan)
Technical Summary,Lead Author,Bubu Pateh Jallow (The Gambia)
Technical Summary,Lead Author,Zbigniew Kundzewicz (N/A)
Technical Summary,Lead Author,Murari Lal (India)
Technical Summary,Lead Author,Neil A. Leary (USA)
Technical Summary,Lead Author,Emilio Lebre La Rovere (Brazil)
Technical Summary,Lead Author,Chunzhen Liu (China)
Technical Summary,Lead Author,Christopher H.D. Magadza (Zimbabwe)
Technical Summary,Lead Author,Luis Jose Mata (Venezuela)
Technical Summary,Lead Author,Roger McLean (Australia)
Technical Summary,Lead Author,Anthony J. McMichael (United Kingdom)
Technical Summary,Lead Author,Kathleen Miller (USA)
Technical Summary,Lead Author,Evan Mills (USA)
Technical Summary,Lead Author,M. Monirul Qader Mirza (Canada)
Technical Summary,Lead Author,Daniel Murdiyarso (Indonesia)
Technical Summary,Lead Author,Leonard Nurse (Barbados)
Technical Summary,Lead Author,Camille Parmesan (USA)
Technical Summary,Lead Author,Martin Parry (United Kingdom)
Technical Summary,Lead Author,Olga Pilifosova (Kazakhstan)
Technical Summary,Lead Author,A. Barrie Pittock (Australia)
Technical Summary,Lead Author,Lynn K. Price (USA)
Technical Summary,Lead Author,Terry L. Root (USA)
Technical Summary,Lead Author,Cynthia Rosenzweig (USA)
Technical Summary,Lead Author,Jose Sarukhan (Mexico)
Technical Summary,Lead Author,H.-J. Schellnhuber (Germany)
Technical Summary,Lead Author,T.L. Schneider (Germany)
Technical Summary,Lead Author,D. Scott (N/A)
Technical Summary,Lead Author,Graham Sem (Samoa)
Technical Summary,Lead Author,Barry Smit (Canada)
Technical Summary,Lead Author,Doug M. Smith (United Kingdom)
Technical Summary,Lead Author,Alla Tsyban (Russian Federation)
Technical Summary,Lead Author,Pier Vellinga (The Netherlands)
Technical Summary,Lead Author,Richard A. Warrick (New Zealand)
Technical Summary,Lead Author,W. White (USA)
Technical Summary,Lead Author,David Wratt (New Zealand)
,,
,,
Technical Summary,Review Editor,Andrew C. Manning (USA)
Technical Summary,Review Editor,Carlos A. Nobre (Brazil)
