Name,"Institution, Country"
A. Ackerman,"National Aeronautics and Space Administration (NASA), USA"
Anthony O. Adegbulugbe,"Obafemi Awolowo University, Nigeria"
Anil Agarwal,"Indian Institute of Technology Delhi, India"
Dilip Ahuja,"National Institute of Advanced Studies, India"
Grace Akumu,"Climate Network Africa, Kenya"
Majid Al-Moneef,"King Saud University, Saudi Arabia"
Joseph M. Alcamo,"University of Kassel, Germany"
Lisa Alexander,"Met Office, United Kingdom"
E. Alsema,"University of Utrecht, The Netherlands"
Lee Ann,"N/A, N/A"
Michael J. Apps,"Natural Resources Canada, Canada"
H. Audus,"International Energy Agency, United Kingdom"
T. Banuri,"Stockholm Environment Institute Boston, USA"
Terry Barker,"University of Cambridge, United Kingdom"
Scott Barrett,"London Business School, United Kingdom"
Igor Alexeyevich Bashmakov,"Tsentr po Effektivnomu Ispolzovanlu Energii, Russian Federation"
S. Bernow,"Tellus Institute, USA"
Lenny S. Bernstein,"International Petroleum Industry Environmental Conservation Association (IPIECA), USA"
D.K. Biswas,"Ministry of Environment and Forests, India"
Kornelis Blok,"Ecofys, The Netherlands"
P. Bohm,"Stockholm University, Sweden"
C. Bohringer,"Institute of Energy Economics and the Rational Use of Energy, Germany"
Ranjan K. Bose,"Tata Energy Research Institute (TERI), India"
Daniel H. Bouille,"Fundacion Bariloche, Argentina"
John Byrne,"University of Delaware, USA"
Eduardo Calvo Buendia,"Comision Nac.de Cambio Clim., Peru"
Carlo Carraro,"University of Venice, Italy"
Carlos Clemente Cerri,"University of Sao Paulo, Brazil"
M.J. Chadwick,"Personal, United Kingdom"
Li Changsheng,"University New Hampshire, USA"
R. Christ,"IPCC Secretariat, Switzerland"
John M. Christensen,"Risoe National Laboratory, Denmark"
Oyvind Christophersen,"Ministry of Environment Norway, Norway"
Luis A. Cifuentes,"Pontificia Universidad Catolica de Chile, Chile"
Robert Costanza,"University of Maryland, USA"
Philippe J. Crabbé,"University of Ottawa, Canada"
P. Criqui,"Institut d'Economie et de Politique de l'Energie, France"
Zhou Dadi,"Energy Research Institute, China"
Ogunlade R. Davidson,"University of Cape Town, South Africa"
D.L. Davis,"Carnegie Mellon University, USA"
J. Davison,"International Energy Agency, United Kingdom"
J. De Beer,"Ecofys, The Netherlands"
H.J.M. De Vries,"National Institute for Public Health and the Environment (RIVM), The Netherlands"
Andrew Dearing,"World Business Council for Sustainable Development, Switzerland"
Bouwe Dijkstra,"University of Heidelberg, Germany"
Thomas E. Downing,"University of Oxford, United Kingdom"
James Edmonds,"N/A, N/A"
Knut Einar,"N/A, N/A"
Brian S. Fisher,"Australian Bureau of Agricultural and Resource Economics (ABARE), Australia"
Brian Flannery,"Exxon Mobil Corporation, USA"
E. Fortin,"Centre international de recherche sur l'environnement et le développement (CIRED), France"
P. Freund,"International Energy Agency, United Kingdom"
T. Fujimori,"Japan Forest Technical Ass., Japan"
Carlos Gay Garcia,"Universidad Nacional Autonoma de Mexico (UNAM), Mexico"
Luis J. Geng,"United Nations Development Programme (UNDP), Peru"
Alexander Golub,"Center for Environmental Economics, Russian Federation"
David L. Greene,"Oak Ridge National Laboratory, USA"
Jonathan M. Gregory,"Met Office, United Kingdom"
Michael Grubb,"Imperial College London, United Kingdom"
Shreekant Gupta,"University of Delhi, India"
Erik Haites,"Margaree Consultants Inc., Canada"
Alex Hall,"N/A, N/A"
Kirsten Halsnaes,"Risoe National Laboratory, Denmark"
Robinson Hans,"N/A, N/A"
Jochen Harnisch,"Ecofys, Germany"
Thomas C. Heller,"Stanford University, USA"
Deborah Herbert,"University of British Columbia, Canada"
Olav Hohmeyer,"University of Flensburg, Germany"
E. Holt,"Climate Technology Initiative, USA"
Jean-Charles Hourcade,"Centre international de recherche sur l'environnement et le développement (CIRED), France"
H. Imura,"Kyushu University, Japan"
Hisashi Ishitani,"University of Tokyo, Japan"
A.B. Jaffe,"Brandeis University, USA"
G. Jannuzzi,"N/A, N/A"
H. Henry Janzen,"Agriculture and Agri-Food Canada (AAFC), Canada"
T. Jaszay,"Budapest University of Technology and Economics, Hungary"
M. Jefferson,"Global Energy & Environmental Consultants, United Kingdom"
Catrinus J. Jepma,"University of Groningen, The Netherlands"
Kejun Jiang,"Energy Research Institute, China"
Eberhard Jochem,"Fraunhofer Institute for Systems and Innovation Research, Germany"
Richels John,"N/A, N/A"
Sivan Kartha,"Tellus Institute, USA"
Takao Kashiwagi,"Tokyo University of Agriculture & Technology, Japan"
P.E. Kauppi,"University of Helsinki, Finland"
D. Keith,"Harvard University, USA"
Nathaniel Keohane,"Harvard University, USA"
Haroon Kheshgi,"Exxon Mobil Corporation, USA"
Ashok Khosla,"Development Alternatives, India"
A. Kollmus,"Tufts University, USA"
Anja Kollmuss,"N/A, N/A"
Olga N. Krankina,"Oregon State University, USA"
Alan J. Krupnick,"Resources for the Future, USA"
Lambert Kuijpers,"Technical University Eindhoven, The Netherlands"
Snorre Kverndokk,"Frischsenteret, Norway"
A. Lanza,"International Energy Agency, France"
Emilio Lebre La Rovere,"Federal University of Rio de Janeiro, Brazil"
Hoesung Lee,"Korea Energy Economics Institute, South Korea"
Robert Lempert,"RAND Corporation, USA"
S.J. Lennon,"Eskom, South Africa"
Mark D. Levine,"Lawrence Berkeley National Laboratory, USA"
Junfeng Li,"Energy Research Institute, China"
J. Liski,"European Forest Institute, Finland"
L. Lorentsen,"Ministry of Finance, Norway"
R. Loulou,"McGill University, Canada"
W.R. Makundi,"Lawrence Berkeley National Laboratory, USA"
Ton Manders,"Centraal Planbureau (CPB), The Netherlands"
Anil Markandya,"University of Bath, United Kingdom"
Gregg Marland,"Oak Ridge National Laboratory, USA"
Omar Masera,"Universidad Nacional Autonoma de Mexico (UNAM), Mexico"
Yuzuru Matsuoka,"Kyoto University, Japan"
D.L. Mauzerall,"Princeton University, USA"
Shakespeare Maya,"N/A, N/A"
Mack McFarland,"DuPont Fluoroproducts, USA"
Bert Metz,"National Institute for Public Health and the Environment (RIVM), The Netherlands"
I. Meyer,"Potsdam Institute for Climate Impact Research, Germany"
Klaus Michael Meyer-Abich,"Universitaet Essen, Germany"
Klaus Michael,"N/A, N/A"
Laurie Michaelis,"Oxford Centre for the Environment Ethics & Society (OCEES), United Kingdom"
