#,Chapter,Role,Name (Country)
ANNEX II,Glossary,Editorial Board Co-Chair,John Agard (Trinidad and Tobago)
ANNEX II,Glossary,Editorial Board Co-Chair,E. Lisa F. Schipper (Sweden)
,,,
ANNEX II,Glossary,Editorial Board,Joern Birkmann (Germany)
ANNEX II,Glossary,Editorial Board,Maximiliano Campos (Costa Rica)
ANNEX II,Glossary,Editorial Board,Carolina Dubeux (Brazil)
ANNEX II,Glossary,Editorial Board,Yukihiro Nojiri (Japan)
ANNEX II,Glossary,Editorial Board,Lennart Olsson (Sweden)
ANNEX II,Glossary,Editorial Board,Balgis Osman-Elasha (Sudan)
ANNEX II,Glossary,Editorial Board,Mark Pelling (UK)
ANNEX II,Glossary,Editorial Board,Michael J. Prather (USA)
ANNEX II,Glossary,Editorial Board,Marta G. Rivera-Ferre (Spain)
ANNEX II,Glossary,Editorial Board,Oliver C. Ruppel (Namibia)
ANNEX II,Glossary,Editorial Board,Asbury Sallenger (USA)
ANNEX II,Glossary,Editorial Board,Kirk R. Smith (USA)
ANNEX II,Glossary,Editorial Board,Asuncion L. St. Clair (Norway)
,,,
ANNEX II,Glossary,TSU Facilitation,Katharine J. Mach (USA)
ANNEX II,Glossary,TSU Facilitation,Michael D. Mastrandrea (USA)
ANNEX II,Glossary,TSU Facilitation,T. Eren Bilir (USA)
