#,Chapter,Role,Name (Country)
08,Urban areas,Coordinating Lead Author,Aromar Revi (India)
08,Urban areas,Coordinating Lead Author,David Satterthwaite (United Kingdom)
,,,
08,Urban areas,Lead Author,Fernando Aragón-Durand (Mexico)
08,Urban areas,Lead Author,Jan Corfee-Morlot (United States / OECD)
08,Urban areas,Lead Author,Robert B. R. Kiunsi (United Republic of Tanzania)
08,Urban areas,Lead Author,Mark Pelling (United Kingdom)
08,Urban areas,Lead Author,Debra Roberts (South Africa)
08,Urban areas,Lead Author,William Solecki (United States)
,,,
08,Urban areas,Review Editor,John Balbus (United States)
08,Urban areas,Review Editor,Omar-Dario Cardona (Colombia)
,,,
08,Urban areas,Volunteer Chapter Scientist,Alice Sverdlik (United States)
,,,
08,Urban areas,Contributing Author,Jo da Silva (United Kingdom)
08,Urban areas,Contributing Author,David Dodman (Jamaica)
08,Urban areas,Contributing Author,Andrew Maskrey (United Kingdom)
08,Urban areas,Contributing Author,Sumetee Pahwa Gajjar (India)
08,Urban areas,Contributing Author,Rafael Tuts (Belgium)
