Chapter,Title,Role,Name,Institution,Country
Chapter 09,Rural areas,Coordinating Lead Author,Purnamita Dasgupta,"Institute of Economic Growth, University of Delhi Enclave",India
Chapter 09,Rural areas,Coordinating Lead Author,John Morton,"Natural Resources Institute, University of Greenwich",United Kingdom
,,,,,
Chapter 09,Rural areas,Lead Author,David Dodman,International Institute for Environment and Development (IIED) / University College London,Jamaica
Chapter 09,Rural areas,Lead Author,Barış Karapınar,Bogazici University,Turkey / Switzerland
Chapter 09,Rural areas,Lead Author,Francisco Meza,Pontificia Universidad Catolica de Chile,Chile
Chapter 09,Rural areas,Lead Author,Marta Rivera-Ferre,University of Vic-Central University of Catalonia,Spain
Chapter 09,Rural areas,Lead Author,Aissa Toure Sarr,International Fund for Agricultural Development (IFAD),Senegal
Chapter 09,Rural areas,Lead Author,Katharine Vincent,"Kulima Integrated Development Solutions,  University Witwatersrand Johannesburg",South Africa
,,,,,
Chapter 09,Rural areas,Review Editor,Edward R. Carr,University of South Carolina,United States
Chapter 09,Rural areas,Review Editor,Nirivololona Raholijao,Madagascar National Meteorological Office,Madagascar
,,,,,
Chapter 09,Rural areas,Volunteer Chapter Scientist,Hauke Broecker,Deutsche Gesellschaft fuer Internationale Zusammenarbeit (GIZ),Germany
,,,,,
Chapter 09,Rural areas,Contributing Author,Ashish Aggarwal,,India
Chapter 09,Rural areas,Contributing Author,Netra Chhetri,,United States / Nepal
Chapter 09,Rural areas,Contributing Author,Tracy Cull,,South Africa
Chapter 09,Rural areas,Contributing Author,Jose Gustavo Feres,,Brazil
Chapter 09,Rural areas,Contributing Author,Jeremy Haggar,,United Kingdom
Chapter 09,Rural areas,Contributing Author,George Hutchinson,,United Kingdom
Chapter 09,Rural areas,Contributing Author,Feliu López-i-Gelats,,Spain
Chapter 09,Rural areas,Contributing Author,Megan Mills-Novoa,,United States
Chapter 09,Rural areas,Contributing Author,Nandan Nawn,,India
Chapter 09,Rural areas,Contributing Author,Catherine Norman,,United States
Chapter 09,Rural areas,Contributing Author,Andreas Scheba,,Austria
Chapter 09,Rural areas,Contributing Author,Tetsuji Tanaka,,Japan
