#,Chapter,Role,Name (Country)
22,Africa,Coordinating Lead Author,Isabelle Niang (Senegal)
22,Africa,Coordinating Lead Author,Oliver Ruppel (Namibia)
,,,
22,Africa,Lead Author,Mohamed Abdrabo (Egypt)
22,Africa,Lead Author,Ama Essel (Ghana)
22,Africa,Lead Author,Christopher Lennard (South Africa)
22,Africa,Lead Author,Jonathan Padgham (United States)
22,Africa,Lead Author,Penny Urquhart (South Africa)
,,,
22,Africa,Review Editor,Pauline Dube (Botswana)
22,Africa,Review Editor,Neil Leary (United States)
,,,
22,Africa,Volunteer Chapter Scientist,Lena Schulte-Uebbing (Germany)
,,,
22,Africa,Contributing Author,Ibidun Adelekan (Nigeria)
22,Africa,Contributing Author,Sally Archibald (South Africa)
22,Africa,Contributing Author,Michael  Balinga (Cameroon)
22,Africa,Contributing Author,Armineh Barkhordarian (Germany)
22,Africa,Contributing Author,Jane Battersby (South Africa)
22,Africa,Contributing Author,Eren Bilir (United States)
22,Africa,Contributing Author,Marshall Burke (United States)
22,Africa,Contributing Author,Mohammed Chahed (Tunisia)
22,Africa,Contributing Author,Monalisa Chatterjee (United States / India)
22,Africa,Contributing Author,Chineke Theo Chidiezie (Nigeria)
22,Africa,Contributing Author,Katrien Descheemaeker (Netherlands)
22,Africa,Contributing Author,Houria Djoudi (Algeria)
22,Africa,Contributing Author,Kristie L. Ebi (United States)
22,Africa,Contributing Author,Papa Demba Fall (Senegal)
22,Africa,Contributing Author,Ricardo Fuentes-Nieva (Mexico)
22,Africa,Contributing Author,Rebecca Garland (South Africa)
22,Africa,Contributing Author,Fatou Ndey Gaye (Gambia)
22,Africa,Contributing Author,Emiola Gbobaniyi (Nigeria)
22,Africa,Contributing Author,Patrick Gonzalez (United States)
22,Africa,Contributing Author,Blane Harvey (United Kingdom)
22,Africa,Contributing Author,Mary Hayden (United States)
22,Africa,Contributing Author,Andreas Hemp (Germany)
22,Africa,Contributing Author,Karim Hilmi (Morocco)
22,Africa,Contributing Author,Guy Jobbins (United Kingdom)
22,Africa,Contributing Author,Jennifer Johnson (United States)
22,Africa,Contributing Author,David Lobell (United States)
22,Africa,Contributing Author,Bruno Locatelli (France)
22,Africa,Contributing Author,Eva Ludi (United Kingdom)
22,Africa,Contributing Author,Jane Mukarugwiza Olwoch (South Africa)
22,Africa,Contributing Author,Lars Otto Naess (Norway / United Kingdom)
22,Africa,Contributing Author,Mzime R. Ndebele-Murisa (Zimbabwe)
22,Africa,Contributing Author,Aminata Ndiaye (Senegal)
22,Africa,Contributing Author,Andrew Newsham (United Kingdom)
22,Africa,Contributing Author,Sirra Njai (Gambia)
22,Africa,Contributing Author,Johnson Ndi Nkem (Cameroon)
22,Africa,Contributing Author,Pieter Pauw (Netherlands)
22,Africa,Contributing Author,Emilia Pramova (Bulgaria)
22,Africa,Contributing Author,Marie-Louise Rakotondrafara (Madagascar)
22,Africa,Contributing Author,Clionadh Raleigh (Ireland)
22,Africa,Contributing Author,Debra Roberts (South Africa)
22,Africa,Contributing Author,Carla Roncoli (United States)
22,Africa,Contributing Author,Michael Henry Schleyer (South Africa)
22,Africa,Contributing Author,Lena Schulte-Uebbing (Germany)
22,Africa,Contributing Author,Roland Schulze (South Africa)
22,Africa,Contributing Author,Hussen Seid (Ethiopia)
22,Africa,Contributing Author,Sheona Shackleton (South Africa)
22,Africa,Contributing Author,Mxolisi Shongwe (Swaziland)
22,Africa,Contributing Author,Dáithí Stone (Canada / South Africa / US)
22,Africa,Contributing Author,David Thomas (United Kingdom)
22,Africa,Contributing Author,Aissa  Toure Sarr (Senegal)
22,Africa,Contributing Author,Okoro Ugochukwu (Nigeria)
22,Africa,Contributing Author,Dike Victor (Nigeria)
22,Africa,Contributing Author,Katharine Vincent (South Africa)
22,Africa,Contributing Author,Koko Warner (Germany)
22,Africa,Contributing Author,Sidat Yaffa (Gambia)
