#,Chapter,Role,Name (Country)
23,Europe Supplementary Material,Coordinating Lead Author,R. Sari Kovats (UK)
23,Europe Supplementary Material,Coordinating Lead Author,Riccardo Valentini (Italy)
,,,
23,Europe Supplementary Material,Lead Author,Laurens M. Bouwer (Netherlands)
23,Europe Supplementary Material,Lead Author,Elena Georgopoulou (Greece)
23,Europe Supplementary Material,Lead Author,Daniela Jacob (Germany)
23,Europe Supplementary Material,Lead Author,Eric Martin (France)
23,Europe Supplementary Material,Lead Author,Mark Rounsevell (UK)
23,Europe Supplementary Material,Lead Author,Jean-Francois Soussana (France)
,,,
23,Europe Supplementary Material,Contributing Author,Martin Beniston (Switzerland)
23,Europe Supplementary Material,Contributing Author,Maria Vincenza Chiriacò (Italy)
23,Europe Supplementary Material,Contributing Author,Philippe Cury (France)
23,Europe Supplementary Material,Contributing Author,Michael Davies (UK)
23,Europe Supplementary Material,Contributing Author,Paula Harrison (UK)
23,Europe Supplementary Material,Contributing Author,Olaf Jonkeren (Netherlands)
23,Europe Supplementary Material,Contributing Author,Mark Koetse (Netherlands)
23,Europe Supplementary Material,Contributing Author,Markus Lindner (Finland)
23,Europe Supplementary Material,Contributing Author,Andreas Matzarakis (Greece/Germany)
23,Europe Supplementary Material,Contributing Author,Reinhard Mechler (Austria)
23,Europe Supplementary Material,Contributing Author,Annette Menzel (Germany)
23,Europe Supplementary Material,Contributing Author,Marc Metzger (UK)
23,Europe Supplementary Material,Contributing Author,Luca Montanarella (Italy)
23,Europe Supplementary Material,Contributing Author,Antonio Navarra (Italy)
23,Europe Supplementary Material,Contributing Author,Juliane Petersen (Germany)
23,Europe Supplementary Material,Contributing Author,Martin Price (UK)
23,Europe Supplementary Material,Contributing Author,Boris Revich (Russian Federation)
23,Europe Supplementary Material,Contributing Author,Piet Rietveld (Netherlands)
23,Europe Supplementary Material,Contributing Author,Cristina Sabbioni (Italy)
23,Europe Supplementary Material,Contributing Author,Yannis Sarafidis (Greece)
23,Europe Supplementary Material,Contributing Author,Vegard Skirbekk (Austria)
23,Europe Supplementary Material,Contributing Author,Donatella Spano (Italy)
23,Europe Supplementary Material,Contributing Author,Jan E. Vermaat (Netherlands)
23,Europe Supplementary Material,Contributing Author,Paul Watkiss (UK)
23,Europe Supplementary Material,Contributing Author,Meriwether Wilson (UK)
23,Europe Supplementary Material,Contributing Author,Thomasz Zylicz (Poland)
,,,
23,Europe Supplementary Material,Review Editor,Lucka Kajfez Bogataj (Slovenia)
23,Europe Supplementary Material,Review Editor,Roman Corobov (Moldova)
23,Europe Supplementary Material,Review Editor,Ramón Vallejo (Spain)
