#,Chapter,Name (Country)
CR,Coral Reefs,Jean-Pierre Gattuso (France)
CR,Coral Reefs,Ove Hoegh-Guldberg (Australia)
CR,Coral Reefs,Hans-Otto Pörtner (Germany)
,,
EA,Ecosystem-Based Approaches to Adaptation— Emerging Opportunities,Rebecca Shaw (USA)
EA,Ecosystem-Based Approaches to Adaptation— Emerging Opportunities,Jonathan Overpeck (USA)
EA,Ecosystem-Based Approaches to Adaptation— Emerging Opportunities,Guy Midgley (South Africa)
,,
GC,Gender and Climate Change,Katharine Vincent (South Africa)
GC,Gender and Climate Change,Petra Tschakert (U.S.A.)
GC,Gender and Climate Change,Jon Barnett (Australia)
GC,Gender and Climate Change,Marta G. Rivera-Ferre (Spain)
GC,Gender and Climate Change,Alistair Woodward (New Zealand)
,,
HS,Heat Stress and Heat Waves,Lennart Olsson (Sweden)
HS,Heat Stress and Heat Waves,Dave Chadee (Trinidad and Tobago)
HS,Heat Stress and Heat Waves,Ove Hoegh-Guldberg (Australia)
HS,Heat Stress and Heat Waves,Michael Oppenheimer (USA)
HS,Heat Stress and Heat Waves,John Porter (Denmark)
HS,Heat Stress and Heat Waves,Hans-O. Pörtner (Germany)
HS,Heat Stress and Heat Waves,David Satterthwaite (UK)
HS,Heat Stress and Heat Waves,Kirk R. Smith (USA)
HS,Heat Stress and Heat Waves,Maria Isabel Travasso (Argentina)
HS,Heat Stress and Heat Waves,Petra Tschakert (USA)
,,
KR,"A Selection of the Hazards, Key Vulnerabilities, Key Risks, and Emergent Risks Identified in the WGII Contribution to the Fifth Assessment Report","Birkmann, Joern (Germany)"
KR,"A Selection of the Hazards, Key Vulnerabilities, Key Risks, and Emergent Risks Identified in the WGII Contribution to the Fifth Assessment Report",Rachel Licker (USA)
KR,"A Selection of the Hazards, Key Vulnerabilities, Key Risks, and Emergent Risks Identified in the WGII Contribution to the Fifth Assessment Report",Michael Oppenheimer (USA)
KR,"A Selection of the Hazards, Key Vulnerabilities, Key Risks, and Emergent Risks Identified in the WGII Contribution to the Fifth Assessment Report",Maximiliano Campos (Costa Rica)
