Chapter,Title,Role,Name (Country)
SPM,Summary for Policymakers,Drafting Author,Christopher B. Field (USA)
SPM,Summary for Policymakers,Drafting Author,Vicente R. Barros (Argentina)
SPM,Summary for Policymakers,Drafting Author,Michael D. Mastrandrea (USA)
SPM,Summary for Policymakers,Drafting Author,Katharine J. Mach (USA)
SPM,Summary for Policymakers,Drafting Author,Mohamed A.-K. Abdrabo (Egypt)
SPM,Summary for Policymakers,Drafting Author,W. Neil Adger (UK)
SPM,Summary for Policymakers,Drafting Author,Yury A. Anokhin (Russian Federation)
SPM,Summary for Policymakers,Drafting Author,Oleg A. Anisimov (Russian Federation)
SPM,Summary for Policymakers,Drafting Author,Douglas J. Arent (USA)
SPM,Summary for Policymakers,Drafting Author,Jonathon Barnett (Australia)
SPM,Summary for Policymakers,Drafting Author,Virginia R. Burkett (USA)
SPM,Summary for Policymakers,Drafting Author,Rongshuo Cai (China)
SPM,Summary for Policymakers,Drafting Author,Monalisa Chatterjee (USA/India)
SPM,Summary for Policymakers,Drafting Author,Stewart J. Cohen (Canada)
SPM,Summary for Policymakers,Drafting Author,Wolfgang Cramer (Germany/France)
SPM,Summary for Policymakers,Drafting Author,Purnamita Dasgupta (India)
SPM,Summary for Policymakers,Drafting Author,Debra J. Davidson (Canada)
SPM,Summary for Policymakers,Drafting Author,Fatima Denton (Gambia)
SPM,Summary for Policymakers,Drafting Author,Petra Döll (Germany)
SPM,Summary for Policymakers,Drafting Author,Kirstin Dow (USA)
SPM,Summary for Policymakers,Drafting Author,Yasuaki Hijioka (Japan)
SPM,Summary for Policymakers,Drafting Author,Ove Hoegh-Guldberg (Australia)
SPM,Summary for Policymakers,Drafting Author,Richard G. Jones (UK)
SPM,Summary for Policymakers,Drafting Author,Roger N. Jones (Australia)
SPM,Summary for Policymakers,Drafting Author,Roger L. Kitching (Australia)
SPM,Summary for Policymakers,Drafting Author,R. Sari Kovats (UK)
SPM,Summary for Policymakers,Drafting Author,Joan Nymand Larsen (Iceland)
SPM,Summary for Policymakers,Drafting Author,Erda Lin (China)
SPM,Summary for Policymakers,Drafting Author,David B. Lobell (USA)
SPM,Summary for Policymakers,Drafting Author,Iñigo J. Losada (Spain)
SPM,Summary for Policymakers,Drafting Author,Graciela O. Magrin (Argentina)
SPM,Summary for Policymakers,Drafting Author,José A. Marengo (Brazil)
SPM,Summary for Policymakers,Drafting Author,Anil Markandya (Spain)
SPM,Summary for Policymakers,Drafting Author,Bruce A. McCarl (USA)
SPM,Summary for Policymakers,Drafting Author,Roger F. McLean (Australia)
SPM,Summary for Policymakers,Drafting Author,Linda O. Mearns (USA)
SPM,Summary for Policymakers,Drafting Author,Guy F. Midgley (South Africa)
SPM,Summary for Policymakers,Drafting Author,Nobuo Mimura (Japan)
SPM,Summary for Policymakers,Drafting Author,John F. Morton (UK)
SPM,Summary for Policymakers,Drafting Author,Isabelle Niang (Senegal)
SPM,Summary for Policymakers,Drafting Author,Ian R. Noble (Australia)
SPM,Summary for Policymakers,Drafting Author,Leonard A. Nurse (Barbados)
SPM,Summary for Policymakers,Drafting Author,Karen L. O’Brien (Norway)
SPM,Summary for Policymakers,Drafting Author,Taikan Oki (Japan)
SPM,Summary for Policymakers,Drafting Author,Lennart Olsson (Sweden)
SPM,Summary for Policymakers,Drafting Author,Michael Oppenheimer (USA)
SPM,Summary for Policymakers,Drafting Author,Jonathan T. Overpeck (USA)
SPM,Summary for Policymakers,Drafting Author,Joy J. Pereira (Malaysia)
SPM,Summary for Policymakers,Drafting Author,Elvira S. Poloczanska (Australia)
SPM,Summary for Policymakers,Drafting Author,John R. Porter (Denmark)
SPM,Summary for Policymakers,Drafting Author,Hans-O. Pörtner (Germany)
SPM,Summary for Policymakers,Drafting Author,Michael J. Prather (USA)
SPM,Summary for Policymakers,Drafting Author,Roger S. Pulwarty (USA)
SPM,Summary for Policymakers,Drafting Author,Andy Reisinger (New Zealand)
SPM,Summary for Policymakers,Drafting Author,Aromar Revi (India)
SPM,Summary for Policymakers,Drafting Author,Patricia Romero-Lankao (Mexico)
SPM,Summary for Policymakers,Drafting Author,Oliver C. Ruppel (Namibia)
SPM,Summary for Policymakers,Drafting Author,David E. Satterthwaite (UK)
SPM,Summary for Policymakers,Drafting Author,Daniela N. Schmidt (UK)
SPM,Summary for Policymakers,Drafting Author,Josef Settele (Germany)
SPM,Summary for Policymakers,Drafting Author,Kirk R. Smith (USA)
SPM,Summary for Policymakers,Drafting Author,Dáithí A. Stone (Canada/South Africa/USA)
SPM,Summary for Policymakers,Drafting Author,Avelino G. Suarez (Cuba)
SPM,Summary for Policymakers,Drafting Author,Petra Tschakert (USA)
SPM,Summary for Policymakers,Drafting Author,Riccardo Valentini (Italy)
SPM,Summary for Policymakers,Drafting Author,Alicia Villamizar (Venezuela)
SPM,Summary for Policymakers,Drafting Author,Rachel Warren (UK)
SPM,Summary for Policymakers,Drafting Author,Thomas J. Wilbanks (USA)
SPM,Summary for Policymakers,Drafting Author,Poh Poh Wong (Singapore)
SPM,Summary for Policymakers,Drafting Author,Alistair Woodward (New Zealand)
SPM,Summary for Policymakers,Drafting Author,Gary W. Yohe (USA)
