"Group","Chapter","Role","Name","Institution/Country"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Lead Author","R. T. Watson","NASA Headquarters, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Lead Author","H. Rodhe","University of Stockholm, Sweden"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Lead Author","H. Oeschger","Physics Institute, University of Bern, Switzerland"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Lead Author","U. Siegenthaler","Physics Institute, University of Bern, Switzerland"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","M. Andreae","Max Planck Institute fur Chemie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R. Charlson","University of Washington, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R. Cicerone","University of California, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","J. Coakley","Oregon State University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R. G. Derwent","Harwell Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","J. Elkins","NOAA Environmental Research Laboratories, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","F. Fehsenfeld","NOAA Aeronomy Laboratory, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","P. Fraser","CSIRO Division of Atmospheric Research, Australia"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R. Gammon","University of Washington, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","H. Grassl","Max Planck Institut fur Meteorologie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R. Harriss","University of New Hampshire, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","M. Heimann","Max Planck Institut fur Meteorologie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R.A. Houghton","Woods Hole Research Centre, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","V. Kirchhoff","Atmospheric and Space Science, INEP, Brazil"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","G. Kohlmaier","Institut fur Physikahsche und Theoretisch Chemie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","S.Lai","Physical Research Laboratory, India"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","P. Liss","University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","J. Logan","Harvard University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","R.J. Luxmoore","Oak Ridge National Laboratory, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","L. Merlivat","University of Pans, France"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","K. Minami","National Institute of Agro-Environmental Sciences, Japan"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","G. Pearman","CSIRO Division of Atmospheric Research, Australia"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","S. Penkett","University of East Anglia, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","D. Raynaud","Laboratoire de Glaciologie et Geophysique de l'Environment, CNRS, France"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","E. Sanhueza","Max Planck Institute fur Chemie, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","P. Simon","Institute for Space Aeronomy, Belgium"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","W. Su","Research Centie for Eco-Environmental Science, Academy of Sciences, China"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","B. Svensson","University of Agricultural Sciences, Sweden"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","A. Thompson","NASA Goddard Space Flight Center, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","P. Vitousek","Stanford University, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","M. Whitfield","Plymouth Marine Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","P. Winkler","German Weather Service, FRG"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 1","Contributor","S. Wofsy","Harvard University, USA"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Lead Author","K.P. Shine","University of Reading, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Lead Author","R.G. Derwent","Harwell Laboratory, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Lead Author","D.J. Wuebbles","Lawrence Livermore National Laboratory, USA"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Lead Author","J-J. Morcrette","ECMWF, UK"
,,,,
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Contributor","A.J. Apling","Global Atmosphere Division, Department of the Environment, UK"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Contributor","J.P. Blanchet","Atmospheric Enivironment Service, Canada"
"CONTRIBUTORS TO IPCC WG1 REPORT","SECTION 2","Contributor","R. Charlson","University of Washington, USA"
