#,Chapter,Role,Name,"Institution, Country"
TS,Technical Summary,Lead Author,D.L. Albritton,"National Oceanographic and Atmospheric Administration (NOAA), USA"
TS,Technical Summary,Lead Author,Bert Bolin,"N/A, Sweden"
TS,Technical Summary,Lead Author,B. Callander,"IPCC WGI Technical Support Unit, UK"
TS,Technical Summary,Lead Author,Kenneth L. Denman,"Institute of Ocean Sciences, Canada"
TS,Technical Summary,Lead Author,Robert E. Dickinson,"University of Arizona, USA"
TS,Technical Summary,Lead Author,W.L. Gates,"Lawrence Livermore National Laboratory, USA"
TS,Technical Summary,Lead Author,H. Grassl,"World Meteorological Organization (WMO), Switzerland"
TS,Technical Summary,Lead Author,Michael Grubb,"Royal Institute of International Affairs, United Kingdom"
TS,Technical Summary,Lead Author,N. Harris,"European Ozone Research Coordinating Unit, United Kingdom"
TS,Technical Summary,Lead Author,J.T. Houghton,"N/A, United Kingdom"
TS,Technical Summary,Lead Author,P. Jonas,"University of Manchester Institute of Science and Technology (UMIST), United Kingdom"
TS,Technical Summary,Lead Author,A. Kattenberg,"Royal Netherlands Meteorological Institute (KNMI), The Netherlands"
TS,Technical Summary,Lead Author,Gordon McBean,"Environment Canada, Canada"
TS,Technical Summary,Lead Author,Mack McFarland,"United Nations Environment Programme (UNEP), Kenya"
TS,Technical Summary,Lead Author,G. Meira,"Agencia Espacial Brasileira, Brazil"
TS,Technical Summary,Lead Author,J.M. Melillo,"Woods Hole Oceanographic Institution, USA"
TS,Technical Summary,Lead Author,Neville Nicholls,"Bureau of Meteorology, Australia"
TS,Technical Summary,Lead Author,Laban J. Ogallo,"University of Nairobi, Kenya"
TS,Technical Summary,Lead Author,Michael Oppenheimer,"Environmental Defense Fund, USA"
TS,Technical Summary,Lead Author,Michael Prather,"University of California Irvine, USA"
TS,Technical Summary,Lead Author,Benjamin D. Santer,"Lawrence Livermore National Laboratory, USA"
TS,Technical Summary,Lead Author,David Schimel,"National Center for Atmospheric Research (NCAR), USA"
TS,Technical Summary,Lead Author,Keith P. Shine,"University of Reading, United Kingdom"
TS,Technical Summary,Lead Author,Kevin E. Trenberth,"National Center for Atmospheric Research (NCAR), USA"
TS,Technical Summary,Lead Author,R. Wanick,"University of Waikato, New Zealand"
TS,Technical Summary,Lead Author,Robert T. Watson,"Office of Science and Technology Policy (OSTP), USA"
TS,Technical Summary,Lead Author,John Zillman,"Bureau of Meteorology, Australia"
,,,,
1,The Climate System: an Overview,Coordinating Lead Author,Kevin E. Trenberth,"National Center for Atmospheric Research (NCAR), USA"
,,,,
1,The Climate System: an Overview,Lead Author,J.T. Houghton,"N/A, United Kingdom"
1,The Climate System: an Overview,Lead Author,G. Meira,"Agencia Espacial Brasileira, Brazil"
,,,,
2,Radiative Forcing of Climate Change,Coordinating Lead Author,D.L. Albritton,"National Oceanographic and Atmospheric Administration (NOAA), USA"
2,Radiative Forcing of Climate Change,Coordinating Lead Author,P. Jonas,"University of Manchester Institute of Science and Technology (UMIST), United Kingdom"
2,Radiative Forcing of Climate Change,Coordinating Lead Author,Michael Prather,"University of California Irvine, USA"
2,Radiative Forcing of Climate Change,Coordinating Lead Author,David Schimel,"National Center for Atmospheric Research (NCAR), USA"
2,Radiative Forcing of Climate Change,Coordinating Lead Author,Keith P. Shine,"University of Reading, United Kingdom"
,,,,
2,Radiative Forcing of Climate Change,Lead Author,D. Alves,"National Institute for Space Research (INPE), Brazil"
2,Radiative Forcing of Climate Change,Lead Author,R. Charlson,"University of Washington, USA"
