"Name, Country"
"Robert T. Watson, USA"
"M.C. Zinyowera, Zimbabwe"
"Richard H. Moss, USA"
"Roberto Acosta Moreno, Cuba"
"Sharad Adhikary, Nepal"
"Michael Adler, USA"
"Shardul Agrawala, India"
"Adrian Guillermo Aguilar, Mexico"
"Saiyed Al-Khouli, Saudi Arabia"
"Barbara Allen-Diaz, USA"
"Mitsuru Ando, Japan"
"Rigoberto Andressen, Venezuela"
"B.W. Ang, Singapore"
"Nigel Arnell, UK"
"Anne Arquit-Niederberger, Switzerland"
"Walter Baethgen, Uruguay"
"Bryson Bates, Australia"
"Martin Beniston, Switzerland"
"Rosina Bierbaum, USA"
"Luitzen Bijlsma, The Netherlands"
"Michel Boko, Republic of Benin"
"Bert Bolin, Sweden"
"Suzanne Bolton, USA"
"Evelyne Bravo, Venezuela"
"Sandra Brown, USA"
"Peter Bullock, UK"
"Melvin Cannell, UK"
"Osvaldo Canziani, Argentina"
"Rodolfo Carcavallo, Argentina"
"Carlos Clemente Cerri, Brazil"
"William Chandler, USA"
"Fred Cheghe, Kenya"
"Chunzhen Liu, China"
"Vernon Cole, USA"
"Wolfgang Cramer, Germany"
"Rex Victor Cruz, Philippines"
"Ogunlade Davidson, Sierra Leone"
"Ehrlich Desa, India"
"Deying Xu, China"
"Sandra Diaz, Argentina"
"Andrew Dlugolecki, Scotland"
"James Edmonds, USA"
"John Everett, USA"
"Andreas Fischlin, Switzerland"
"Blair Fitzharris, New Zealand"
"Douglas Fox, USA"
"Jaafar Friaa, Tunisia"
"Alexander Rauja Gacuhi, Kenya"
"Wojciech Galinski, Poland"
"Habiba Gitay, Australia"
"Peter Groffman, USA"
"Arnulf Grubler, Austria"
"Howard Gruenspecht, USA"
"Steven Hamburg, USA"
"Timm Hoffman, South Africa"
"Jarle Inge Holten, Norway"
"Hisashi Ishitani, Japan"
"Venugopalan Ittekkot, Germany"
"Thomas Johansson, Sweden"
"Zdzislaw Kaczmarek, Poland"
"Takao Kashiwagi, Japan"
"Miko Kirschbaum, Australia"
"Paul Komor, USA"
"Andrei Krovnin, Russian Federation"
"Richard Klein, The Netherlands"
"Shashi Kulshrestha, India"
"Herbert Lang, Switzerland"
"Henry Le Houerou, France"
"Rik Leemans, The Netheriands"
"Mark Levine, USA"
"Lin Erda, China"
"Daniel Lluch-Belda, Mexico"
"Michael MacCracken, USA"
"John Magnuson, USA"
"Gabriel Mailu, Kenya"
"Joseph Mworia Maitima, Kenya"
"Gregg Marland, USA"
"Kathy Maskell, UK"
"Roger McLean, Australia"
"Anthony McMichael, Australia/UK"
"Laurie Michaelis, France"
"Ed Miles, USA"
"William Moomaw, USA"
"Roberto Moreira, Brazil"
"Patrick Mulholland, USA"
"Nebojsa Nakicenovic, Austria"
"Robert Nicholls, UK"
"Shuzo Nishioka, Japan"
"Ian Noble, Australia"
"Leonard Nurse, Barbados"
"Rispa Odongo, Kenya"
"Ryousuke Ohashi, Japan"
"Ezekiel Okemwa, Kenya"
"Mats Oquist, Sweden"
"Martin Parry, UK"
"Martha Perdomo, Venezuela"
"Michel Petit, France"
"Warren Piver, USA"
"P.S. Ramakrishnan, India"
"N.H. Ravindranath, India"
"John Reilly, USA"
"Arthur Riedacker, France"
"Hans-Holger Rogner, Canada"
"Jayant Sathaye, USA"
"Dieter Sauerbeck, Germany"
"Michael Scott, USA"
"Subodh Sharma, India"
"David Shriner, USA"
"S.K. Sinha, India"
"Jim Skea, UK"
"Allen Solomon, USA"
"Eugene Stakhiv, USA"
"Oedon Starosolszky, Hungary"
"Su Jilan, China"
"Avelino Suarez, Cuba"
"Bo Svensson, Sweden"
"Hidekazu Takakura, Japan"
"Melissa Taylor, USA"
"Lucien Tessier, France"
"Dennis Tirpak, USA"
"Tran Viet Lien, Vietnam"
"Jean-Paul Troadec, France"
"Hiroshi Tsukamoto, Japan"
"Itsuya Tsuzaka, Japan"
"Pier Vellinga, The Netherlands"
"Ted Williams, USA"
"Patrick Young, USA"
"Youyu Xie, China"
"Zhou Fengqi, China"
