Name,"Institution, Country"
A. Aaheim,"University of Oslo, Norway"
A.N. Achanta,"Tata Energy Research Institute (TERI), India"
Majid Al-Moneef,"King Saud University, Saudi Arabia"
A. Amano,"Kwansei Gakuin University, Japan"
K.J. Arrow,"Stanford University, USA"
M. Asaduzzaman,"Bangladesh Institute of Development Studies (BIDS), Bangladesh"
P.G. Babu,"Indira Gandhi Institute of Development Research, India"
T. Banuri,"Sustainable Development Policy Institute, Pakistan"
Scott Barrett,"London Business School, United Kingdom"
P. Bohm,"Stockholm University, Sweden"
John Byrne,"University of Delaware, USA"
William U. Chandler,"Battelle Institute, USA"
G. Chichilnisky,"Columbia University, USA"
W.R. Cline,"Institute for International Economics, USA"
Ogunlade R. Davidson,"University of Sierra Leone, Sierra Leone"
H. Dowlatabadi,"Carnegie Mellon University, USA"
James Edmonds,"Pacific Northwest National Laboratory, USA"
Samuel Fankhauser,"Global Environment Facility, USA"
S. Faucheux,"Universite de Versailles, France"
D. Finon,"Institut d'Economie et de Politique de l'Energie, France"
Brian S. Fisher,"Australian Bureau of Agricultural and Resource Economics (ABARE), Australia"
G. Froger,"Universite de Versailles, France"
F. Gassmann,"Paul Scherrer Institute, Switzerland"
H. Geller,"American Council for an Energy Efficient Economy, USA"
J. Goldemberg,"University of Sao Paulo, Brazil"
Michael Grubb,"Royal Institute of International Affairs, United Kingdom"
H.I. Haites,"Margaree Consultants Inc., Canada"
Kirsten Halsnaes,"Risoe National Laboratory, Denmark"
W. Hediger,"Paul Scherrer Institute, Switzerland"
C.A. Hendriks,"Institute for Prospective Technologies, Spain"
M. Hinchy,"Australian Bureau of Agricultural and Resource Economics (ABARE), Australia"
M. Hoel,"University of Oslo, Norway"
K. Hogan,"U.S. Environmental Protection Agency (EPA), USA"
S.W. Hong,"Construction and Economy Research Institute of Korea, South Korea"
Jean-Charles Hourcade,"Centre international de recherche sur l'environnement et le développement (CIRED), France"
M. Jaccard,"Simon Fraser University, Canada"
U.K. Jacobson,"University of Michigan, USA"
M. Jefferson,"World Energy Council, United Kingdom"
Catrinus J. Jepma,"University of Groningen, The Netherlands"
Sally Kane,"National Oceanographic and Atmospheric Administration (NOAA), USA"
S. Kavi Kumar,"Indira Gandhi Institute of Development Research, India"
A. Kolesov,"Tsentr po Effektivnomu Ispolzovanlu Energii, Russian Federation"
I. Krause,"International Project for Sustainable Energy Paths, USA"
M. Kuroda,"Keio University, Japan"
G. Leach,"Stockholm Environment Institute, Sweden"
Emilio Lebre La Rovere,"Federal University of Rio de Janeiro, Brazil"
K.G. Maler,"N/A, N/A"
R.S. Maya,"Southern Center for Energy and Environment, Zimbabwe"
P. Meier,"IDEA Inc., USA"
I. Mintzer,"University of Maryland, USA"
Wd. Montgomery,"N/A, USA"
J.K.E. Mubazi,"Makerere University, Uganda"
Mohan Munasinghe,"World Bank, Sri Lanka"
P.M. Nastari,"Fundacao Getulio Vargas, Brazil"
R.K. Pachauri,"Tata Energy Research Institute (TERI), India"
Jyoti K. Parikh,"Indira Gandhi Institute of Development Research, India"
Kirit S. Parikh,"Indira Gandhi Institute of Development Research, India"
Edward Parson,"Harvard University, USA"
D.W. Pearce,"Centre for Social and Economic Research on the Global Environment (CSERGE), United Kingdom"
S.C. Peck,"Electric Power Research Institute (EPRI), USA"
S.A. Pegov,"Russian Federation Academy of Sciences, Russian Federation"
G.J. Pillet,"Paul Scherrer Institute, Switzerland"
A. Qureshi,"Climate Institute, USA"
John M. Reilly,"U.S. Department of Agriculture, USA"
K.R. Richards,"Pacific Northwest National Laboratory, USA"
Richard G. Richels,"Electric Power Research Institute (EPRI), USA"
John B. Robinson,"University of British Columbia, Canada"
E.V. Rocheva,"Institute of Global Climate and Ecology, Russian Federation"
J. Rotmans,"National Institute for Public Health and the Environment (RIVM), The Netherlands"
R. Saha,"N/A, N/A"
W. Sassin,"Forschungszentrum Jülich, Germany"
L. Schrattenholzer,"International Institute for Applied Systems Analysis (IIASA), Austria"
Roger Sedjo,"Resources for the Future, USA"
R.G. Shackleton,"U.S. Environmental Protection Agency (EPA), USA"
A. Shah,"World Bank, USA"
X. Shaoxiong,"Ministry of Power Industry, China"
Priyadarshi R. Shukla,"Indian Institute of Management, India"
D. Siniscalco,"Fondazione Eni Enrico Mattei (FEEM), Italy"
Youba Sokona,"ENDA - TM Programme-Energie., Senegal"
R. Squitieri,"N/A, N/A"
Robert N. Stavins,"Harvard University, USA"
J. Stiglitz,"Council of Economic Advisors, USA"
P. Sturm,"Organization for Economic Cooperation and Development (OECD), France"
C.E. Suarez,"Fundacion Bariloche, Argentina"
Karl E. Taylor,"Lawrence Livermore National Laboratory, USA"
T.J. Teisberg,"Teisberg Associates, USA"
S. Thorpe,"Australian Bureau of Agricultural and Resource Economics (ABARE), Australia"
Richard S.J. Tol,"Vrije Universiteit,Amsterdam, The Netherlands"
A. Tudini,"ISTAT, Italy"
A. Van der Veen,"University of Twente, The Netherlands"
Pier Vellinga,"Vrije Universiteit,Amsterdam, The Netherlands"
John P. Weyant,"Stanford University, USA"
Farhana Yamin,"Foundation for International Environmental Law and Development, United Kingdom"
