Country,Name,Institution
ALBANIA,E. Demiraj,"Hydrometeorological Institute, Academy of Sciences"
,,
AUSTRALIA,J. Daley,Business Council of Australia
AUSTRALIA,T. Weir,Department of Primary Industries and Energy
,,
AUSTRIA,T. Balabanov,Institute for Advanced Studies
AUSTRIA,P.V. Gilli,"Institut für Wärmetechnik, TU Graz"
AUSTRIA,I. Ismail,Organization of Petroleum Exporting Countries
AUSTRIA,B. Okogu,Organization of Petroleum Exporting Countries
AUSTRIA,Y. Sinyak,International Institute for Applied Systems Analysis
AUSTRIA,J. van de Vate,International Atomic Energy Agency
AUSTRIA,D. Victor,International Institute for Applied Systems Analysis
,,
BANGLADESH,M. Asaduzzaman,Bangladesh Institute of Developmental Studies
,,
BELGIUM,J. Delbeke,Commission of the European Communities
BELGIUM,J. Dreze,Center for Operations Research and Econometrics
BELGIUM,G. Koopman,European Commission
BELGIUM,M. Mors,European Commission
BELGIUM,C. Pimenta,Globe E.C.
,,
BRAZIL,J. Moreira,Biomass Users Network
BRAZIL,L.P. Rosa,COPPE/UFRJ
BRAZIL,R. Schaeffer,COPPE/UFRJ
,,
BULGARIA,A. Yotova,Bulgarian Academy of Sciences
,,
CANADA,N. Beaudoin,"Environment Canada, Global Air Issues Branch"
CANADA,F.K. Hare,University of Toronto
CANADA,M. Jaccard,Simon Fraser University
CANADA,J. Last,University of Ottawa
CANADA,R. Pocklington,Bedford Institute of Oceanography
CANADA,J. Robinson,University of British Columbia
CANADA,G. Wall,University of Waterloo
,,
CHILE,E. Figueroa,"CENRE, University of Chile"
,,
CHINA,D. Yihui,Chinese Academy of Meteorological Sciences
,,
DENMARK,K. Halsnæs,"UNEP Collaborating Centre on Energy and Environment, RISØ National Laboratory"
DENMARK,B. Sørensen,"Bøskilde University, Physics Department"
,,
FRANCE,G. Bernier,Organization for Economic Cooperation and Development
FRANCE,C. Blondin,METEO FRANCE
FRANCE,J.Y. Caneill,"Electricite de France, Direction des Etudes et Recherches"
FRANCE,S. Faucheux,Université de Versailles
FRANCE,J.-C. Hourcade,CIRED/CNRS
FRANCE,P. Sturm,Organisation for Economic Co-operation and Development
,,
GERMANY,J. Blank,Westfälische Wilhelms-Universität Münster
GERMANY,H. Gottinger,IIEEM
GERMANY,P. Henneike,Wuppertal Institut
GERMANY,E. Jochem,Fraunhofer-Institut für Systemtechnik und Innovationsforschung
GERMANY,M. Leimbach,Potsdam-Institut for Climate Impact Research
GERMANY,R. Pethig,Universität-Gesamthochschule Siegen
GERMANY,W. Strobele,Westfälische Wilhelms-Universität Münster
,,
GREECE,D. Katochianou,Centre of Planning and Economic Research
,,
