Chapter,Role,Name (Country)
Estimating the Costs of Mitigating Greenhouse Gases,Coordinating Lead Author,Jean-Charles Hourcade (France)
,,
Estimating the Costs of Mitigating Greenhouse Gases,Coordinating Lead Author,Richard G. Richels (USA)
Estimating the Costs of Mitigating Greenhouse Gases,Coordinating Lead Author,John B. Robinson (Canada)
,,
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,William U. Chandler (USA)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Ogunlade R. Davidson (Sierra Leone)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,James Edmonds (USA)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,D. Finon (France)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Michael Grubb (United Kingdom)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Kirsten Halsnaes (Denmark)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,K. Hogan (USA)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,M. Jaccard (Canada)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,F. Krause
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Emilio Lebre La Rovere (Brazil)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,W.D. Montgomery
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,P.M. Nastari (Brazil)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,A. Pegov
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,K.R. Richards (USA)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,L. Schrattenholzer (Austria)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,D. Siniscalco (Italy)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Priyadarshi R. Shukla (India)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,Youba Sokona (Senegal)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,P. Sturm (France)
Estimating the Costs of Mitigating Greenhouse Gases,Lead Author,A. Tudini (Italy)
,,
Estimating the Costs of Mitigating Greenhouse Gases,Contributing Author,Karl E. Taylor (USA)
