#,Chapter,Role,Name
9,A Review of Mitigation Cost Studies,Convening Author,J.C. HOURCADE
,,,
9,A Review of Mitigation Cost Studies,Principal Lead Author,K. HALSNAES
9,A Review of Mitigation Cost Studies,Principal Lead Author,M. JACCARD
9,A Review of Mitigation Cost Studies,Principal Lead Author,W D. MONTGOMERY
9,A Review of Mitigation Cost Studies,Principal Lead Author,R. RICHELS
9,A Review of Mitigation Cost Studies,Principal Lead Author,J. ROBINSON
9,A Review of Mitigation Cost Studies,Principal Lead Author,P.R. SHUKLA
9,A Review of Mitigation Cost Studies,Principal Lead Author,P. STURM
,,,
9,A Review of Mitigation Cost Studies,Lead Author,W. CHANDLER
9,A Review of Mitigation Cost Studies,Lead Author,O. DAVIDSON
9,A Review of Mitigation Cost Studies,Lead Author,J. EDMONDS
9,A Review of Mitigation Cost Studies,Lead Author,D. FINON
9,A Review of Mitigation Cost Studies,Lead Author,K. HOGAN
9,A Review of Mitigation Cost Studies,Lead Author,F. KRAUSE
9,A Review of Mitigation Cost Studies,Lead Author,A. KOLESOV
9,A Review of Mitigation Cost Studies,Lead Author,E. LA ROVERE
9,A Review of Mitigation Cost Studies,Lead Author,P. NASTARI
9,A Review of Mitigation Cost Studies,Lead Author,A. PEGOV
9,A Review of Mitigation Cost Studies,Lead Author,K. RICHARDS
9,A Review of Mitigation Cost Studies,Lead Author,L. SCHRATTENHOLZER
9,A Review of Mitigation Cost Studies,Lead Author,R. SHACKLETON
9,A Review of Mitigation Cost Studies,Lead Author,Y. SOKONA
9,A Review of Mitigation Cost Studies,Lead Author,A. TUDINI
9,A Review of Mitigation Cost Studies,Lead Author,J. WEYANT
