"Country","Name","Institution, Department"
"Argentina","Vicente Barros","University of Buenos Aires, Department of Atmospheric Sciences"
"Argentina","Marcelo Cabido","Universidad Nacional de Córdoba (CONICET), Instituto Multidisciplinario de Biología Vegetal"
"Argentina","Osvaldo F. Canziani","Instituto de Estudios e Investigaciones (IEIMA) "
"Argentina","Rodolfo Carcavallo","Department of Entomology"
"Argentina","Sandra Diaz","Universidad Nacional de Córdoba (CONICET), Instituto Multidisciplinario de Biología Vegetal "
"Argentina","Gillermo Funes","Universidad Nacional de Córdoba (CONICET), Cátedra de Biogeografía "
"Argentina","Juan Carlos Labraga","Universidad Nacional de Córdoba (CONICET) "
"Argentina","Carlos A. Rinaldi","Instiuto Antarctico Argentino"
"Argentina","Walter M. Vargas","University of Buenos Aires (IEIMA) "
"Argentina","Ernesto F. Viglizzo","Universidad Nacional de Córdoba (CONICET)"
,,
"Austria","Klaus Radunsky","Austrian Federal Environmental Agency"
"Austria","Shokri Ghanem","Organization of the Petroleum Exporting Countries"
,,
"Australia","N. Abel","CSIRO Wildlife and Ecology"
"Australia","M.P. Austin","CSIRO Wildlife and Ecology"
"Australia","S. Barlow","Bureau of Resource Sciences"
"Australia","M. Barson","Bureau of Resource Sciences"
"Australia","Bryson Bates","CSIRO"
"Australia","P. Beggs","Macquarie University"
"Australia","D. Bennett","Hassall and Associates"
"Australia","D. Black","NSW Dept. of Land and Water Conservation"
"Australia","R. Braaf","Macquarie University"
"Australia","R. Braithwaite","CSIRO Tourism Research Program"
"Australia","R. Buxton","CSIRO Wildlife and Ecology"
"Australia","J. Carter","Queensland Department of Natural Resources"
"Australia","J. Conroy","University of Western Sydney"
"Australia","Elizabeth Curran","Bureau of Meteorology "
"Australia","S. Davies","University of Adelaide"
"Australia","L. Dobes","Bureau of Transport and Communication Economics "
"Australia","Terry Done","Australian Institute of Marine Science"
"Australia","M. Finlayson","Environmental Research Institute "
"Australia","Roger M. Gifford","CSIRO"
"Australia","Angela Gillman","Environment Australia"
"Australia","Habiba Gitay","Australian National University "
"Australia","Dean Graetz","CSIRO Office of Space Science and Applications"
"Australia","N. Hall","Australian Bureau of Agricultural and Resource Economics"
"Australia","Kevin Hennessy","CSIRO Atmospheric Research"
"Australia","N. Holbrook","Macquarie University"
"Australia","David Hopley","James Cook University"
"Australia","Mark Howden","Bureau of Resource Sciences"
"Australia","B. Hunt","CSIRO Atmospheric Research"
"Australia","W. Kininmonth","Bureau of Meteorology National Climate Centre "
"Australia","Miko Kirschbaum","CSIRO Forestry and Forest Products"
"Australia","T. Koslow","CSIRO Division of Fisheries"
"Australia","S. Lake","Monash University"
"Australia","S. Li","Macquarie University"
"Australia","J. Lutze","CSIRO Plant Industry"
"Australia","N. Marshman","Technical Services Australia (RTZ/CRA)"
"Australia","Gregory M. McKeon","Queensland Department of Natural Resources "
"Australia","Roger McLean","Australian Defence Force Academy"
"Australia","Heather McMaster","Macquarie University"
"Australia","R.E. McMurtrie","University of NSW"
"Australia","A. Moore","CSIRO Plant Industry"
"Australia","Neville Nicholls","Bureau of Meteorology Research Centre"
"Australia","Ian Noble","Australian National University"
"Australia","A. Norton","Charles Sturt University"
"Australia","W. Osborne","University of Canberra"
"Australia","Barrie Pittock","CSIRO Climate Impact Group"
"Australia","Neil Plummer","National Climate Centre"
"Australia","P. Reyenga","Bureau of Resource Sciences"
"Australia","H. Ross","Australian National University"
"Australia","H. Schaap","Electricity Supply Association"
"Australia","D. Smith","Australian National University"
"Australia","M. Stafford Smith","CSIRO Wildlife and Ecology"
"Australia","W. Steffen","GCTE Core Project Office"
"Australia","R. Suppiah","CSIRO Atmospheric Research"
"Australia","Robert Sutherst","CSIRO Division of Entomology"
"Australia","R. Taplin","Macquarie University "
