Role,Name (Country)
Edited by,MARUFU C. ZINYOWERA (ZIMBABWE)
Edited by,BUBU P. JALLOW (THE GAMBIA)
Edited by,R. SHAKESPEARE MAYA (ZIMBABWE)
Edited by,H.W.O OKOTH-OGENDO (KENYA)
,
Lead Author,L.F. Awosika (Nigeria)
Lead Author,E.S. Diop (Senegal)
Lead Author,T.E. Downing (UK)
Lead Author,M. El-Raey (Egypt)
Lead Author,D. Le Sueur (South Africa)
Lead Author,C.H.D. Magadza (Zimbabwe)
Lead Author,S. Tourďż˝ (Cote d'Ivoire)
Lead Author,C. Vogel (South Africa)
,
Contributor,E.L. Edroma (Uganda)
Contributor,A. Joubert (South Africa)
Contributor,W. Marume (Zimbabwe)
Contributor,S.L. Unganai (Zimbabwe)
Contributor,D. Yates (USA)
