"Role","Name (Country)"
"Edited by","DAVID S. SHRINER (USA) "
"Edited by","ROGER B. STREET (CANADA) "
,
"Lead Author","R. Ball (USA) "
"Lead Author","D. D'Amours (Canada) "
"Lead Author","K. Duncan (Canada) "
"Lead Author","D. Kaiser (USA) "
"Lead Author","A. Maarouf (Canada) "
"Lead Author","L. Mortsch (Canada) "
"Lead Author","P. Mulholland (USA) "
"Lead Author","R. Neilson (USA) "
"Lead Author","J.A. Patz (USA) "
"Lead Author","J.D. Scheraga (USA) "
"Lead Author","J.G. Titus (USA) "
"Lead Author","H. Vaughan (Canada) "
"Lead Author","M. Weltz (USA) "
,
"Contributor","R. Adams (USA) "
"Contributor","R. Alig (USA) "
"Contributor","J. Andrey (Canada) "
"Contributor","M. Apps (Canada) "
"Contributor","M. Brklacich (Canada) "
"Contributor","D. Brooks (USA) "
"Contributor","A.W. Diamond (Canada) "
"Contributor","A. Grambsch (USA) "
"Contributor","D. Goodrich (USA) "
"Contributor","L. Joyce (USA) "
"Contributor","M.R. Kidwell (Canada) "
"Contributor","G. Koshida (Canada) "
"Contributor","J. Legg (Canada) "
"Contributor","J. Malcolm (Canada) "
"Contributor","D.L. Martell (Canada) "
"Contributor","R.J. Norby (USA) "
"Contributor","H.W. Polley (USA) "
"Contributor","W.M. Post (USA) "
"Contributor","M.J. Sale (USA) "
"Contributor","M. Scott (USA)"
"Contributor","B. Sohngen (USA) "
"Contributor","B. Stocks (Canada) "
"Contributor","W. Van Winkle (USA) "
"Contributor","S. Wullschleger (USA) "
