Role;Name (Country);Member of the Modeling Teams;;
Coordinating Lead Author;Nebojsa Nakicenovic (Austria);;;
;;;;
Lead Author;Joseph Alcamo (Germany);;;
Lead Author;Gerald Davis (United Kingdom);;;
Lead Author;Bert de Vries (The Netherlands);1;;
Lead Author;Joergen Fenhann (Denmark);;;
Lead Author;Stuart Gaffin (United States);;;
Lead Author;Kenneth Gregory (United Kingdom);;;
Lead Author;Amulf Griibler (IIASA);;;
Lead Author;Tae Yong Jung (Republic of Korea);;;
Lead Author;Tom Kram (The Netherlands);;;
Lead Author;Emilio Lebre La Rovere (Brazil);;;
Lead Author;Laurie Michaelis (United Kingdom);;;
Lead Author;Shunsuke Mori (Japan);1;;
Lead Author;Tsuneyuki Morita (Japan);;;
Lead Author;William Pepper (United States);1;;
Lead Author;Hugh Pitcher (United States);1;;
Lead Author;Lynn Price (United States);;;
Lead Author;Keywan Riahi (IIASA);1;;
Lead Author;Alexander Roehrl (IIASA);1;;
Lead Author;Hans-Holger Rogner (IAEA);;;
Lead Author;Alexei Sankovski (United States) ;1;;
Lead Author;Michael Schlesinger (United States);;;
Lead Author;Priyadarshi Shukla (India);;;
Lead Author;Steven Smith (United States);;;
Lead Author;Robert Swart (The Netherlands);;;
Lead Author;Sascha van Rooijen (The Netherlands);;;
Lead Author;Nadejda Victor (United States);;;
Lead Author;Zhou Dadi (China);;;
;;;;
Contributing Author;Dennis Anderson (United Kingdom);;;
Contributing Author;Johannes Bollen (The Netherlands);1;;
Contributing Author;Lex Bouwman (The Netherlands);;;
Contributing Author;Ogunlade Davidson (IPCC);;;
Contributing Author;Jae Edmonds (United States);;;
Contributing Author;Christopher Elvidge (United States);;;
Contributing Author; Michel den Elzen (The Netherlands);1;;
Contributing Author;Kejun Jiang (China);1;;
Contributing Author;Anne Johnson (United States);;;
Contributing Author;Eric Kreileman (The Netherlands);1;;
Contributing Author;Mathew Luhanga (Tanzania);;;
Contributing Author;Nicolette Manson (United States);;;
Contributing Author;Toshihiko Masui (Japan);1;;
Contributing Author;Alan McDonald (IIASA);;;
Contributing Author;Douglas McKay (United Kingdom);;;
Contributing Author;Bert Metz (IPCC);;;
Contributing Author;Leena Srivastava (India);;;
Contributing Author;Cees Volkers (The Netherlands);;;
Contributing Author;Robert Watson (IPCC);;;
Contributing Author;John Weyant (United States);;;
Contributing Author;Ernst Worrell (United States);;;
Contributing Author;Xiaoshi Xing (United States);;;
;;;;
Review Editor;Eduardo Calvo (Peru);;;
Review Editor;Michael Chadwick (United Kingdom);;;
Review Editor;Yukio Ishiumi (Japan);;; 
Review Editor;Jyoti Parikh (India);;;
;;;;
Report Editor;Nebojsa Nakicenovic (Austria);;;
Report Editor;Robert Swart (The Netherlands);;;
