"Country","Name","Institution"
"Argentina","Jorge Frangi","Universidad Nacional de la Plata"
"Argentina","Carlos Scopa","Centro de Recursos Naturales CRN-INTA"
,,
"Australia","Michele Barson","Bureau of Rural Sciences, Agriculture, Fisheries and Forestry "
"Australia","Josep. Canadell","GCTE International Project Office"
"Australia","Ian Carruthers","Department of the Environment, Sport and Territories"
"Australia","Graham Farquhar","Australian National University"
"Australia","Beverley Henry","Department of Natural Resources"
"Australia","Mark Howden","Bureau of Rural Sciences, Agriculture, Fisheries and Forestry "
"Australia","Mark Jackson","The Carbon Store Pty Ltd."
"Australia","Rod Keenan","Bureau of Rural Sciences, Agriculture, Fisheries and Forestry "
"Australia","Miko Kirschbaum","CSIRO"
"Australia","Warren Lang","National Association of Forest Industries"
"Australia","Ian Noble","Australian National University "
"Australia","Mike Read","University of Melbourne"
"Australia","Penny Reyenga","Bureau of Rural Sciences, Agriculture, Fisheries and Forestry "
"Australia","Robert Vincin","Emission Traders Int'l Pty Ltd."
,,
"Austria","Klaus Radunsky","Federal Environment Agency"
"Austria","Ewald Rametsteiner","Liaison Unit of the Ministerial Conference on the Protection of Forests in Europe"
"Austria","Bernhard Schlamadinger","Joanneum Research"
"Austria","Anatoly Shvidenko","International Institute for Applied Systems Analysis"
"Austria","Traude Wollansky","Federal Ministry for the Environment, Youth and Family Affairs"
,,
"Belgium","Danny Croon","European Confederation of Woodworking Industries"
"Belgium","Cecile Dargnies-Peirce","European Commission"
"Belgium","Stephan Singer","World Wildlife Federation"
"Belgium","Oswald van Cleemput","University of Ghent"
"Belgium","Dieter Schoene","European Commission"
"Belgium","Guy Van Steertegem","European Confederation of Woodworking Industries"
"Belgium","Marianne Wenning","European Commission"
,,
"Benin ","Epiphane Dotou Ahlonsou","Service Météorologique National"
,,
"Brazil","Carlos Clemente Cerri","Universidade de Sao Paolo"
"Brazil","Philip M. Fearnside","Instituto Nacional de Pesquisas da Amazonia"
"Brazil","Luiz Gylvan Meira Filho","Ministry of Science and Technology of Brazil"
"Brazil","Jose D.G. Miguez","Ministerio da Ciencia e Tecnologia, Esplanada dos Ministerios"
"Brazil","Niro Higuchi","INTA"
"Brazil","Thelma Krug","National Institute for Space Research"
"Brazil","Warwick Manfrinato","University of Sao Paulo"
"Brazil","Carlos A. Nobre","CPTEC-INPE "
"Brazil","Newton Paciornik","Ministry of Science and Technology of Brazil"
"Brazil","Laura Tetti","Uniao da Agroindustria Canavierira do Estado de Sao Paulo"
,,
"Canada","Michael Apps","Northern Forest Centre"
"Canada","M. Banjaree","Agriculture and Agri-Food Canada"
"Canada","James P. Bruce","Canadian Climate Program Board"
"Canada","Julian Dumanski","Agriculture Canada"
"Canada","Henry Janzen","Agriculture and Agri-Food Canada"
"Canada","Werner Kurz","ESSA Technologies Ltd."
"Canada","R. Lemke","Agriculture and Agri-Food Canada"
"Canada","C.W. Lindwall","Agriculture and Agri-Food Canada"
"Canada","Gordon McBean","Meteorological Service of Canada"
"Canada","B.M. McConkey","Agriculture and Agri-Food Canada"
"Canada","Fernando Selles","Agriculture and Agri-Food Canada"
"Canada","John Stewart","University of Saskatchewan (retired)"
"Canada","John M.R. Stone","Policy, Program and International Affairs Directorate"
"Canada","Martin von Mirbach","Centre for Forest and Environmental Studies"
,,
"Chile","Aqiles Neuenschwander","Agrarian Innovation Foundation (FIA), Ministry of Agriculture"
,,
"China","Lin Erda","Agrometeorology Institute"
"China","Wen Kegang","China Meteorological Administration"
"China","Deying Xu","Chinese Academy of Forestry"
,,
"Denmark","Frans Richard Bach","National Forest and Nature Agency"
"Denmark","Jesper Gundermann","Danish Energy Agency"
,,
"Finland","Erkki J. Jatila","Finnish Meteorological Institute"
"Finland","Timo Karjalainen","European Forest Institute"
"Finland","Pirkko Kortelainen","Finnish Environment Institute"
"Finland","Gert Jan Nabuurs","Institute Forestry and Natural Research"
,,
"France","Jean-Christophe Calvet","Meteo-France/CNRM"
"France","Philippe Ciais","LSCE/DSM"
"France","Marc Gillet","Mission Interministerielle de l'Effet de Serre"
"France","Paul-Antoine Lacour","AFOCEL"
"France","Arthur Riedacker","Mission Interministerielle de l'Effet de Serre"
"France","Nicolas Viovy","LSCE"
,,
"Gambia","Bubu Pateh Jallow","Department of Water Resources"
,,
"Germany","Klaus Boswald","PrimaKlima"
"Germany","Peter Burschel","Lehrstuhl fur Waldbau und Forsteinrichtung"
"Germany","Wolfgang P. Cramer","Potsdam Institute for Climate Impact Research"
"Germany","Harald Kohl","Federal Ministry of the Environment, Nature Conservation and Nuclear Safety"
"Germany","Rainer Matyssek","Technical University of Munich"
"Germany","Martina Mund","Max Planck Institute for Biogeochemistry"
"Germany","Dieter R. Sauerbeck","Counsellor to the German Federal Ministry of the Environment"
"Germany","Ernst-Detlef Schulze","University of Bayreuth"
"Germany","Eveline Trines","UNFCCC Secretariat"
"Germany","Jelle G. van Minnen","University of Kassel"
"Germany","Michael Weber","Lehrstuhl für Waldbau und Forsteinrichtung der Ludwig-Maximilians Universität München"
"Germany","Christian Wirth","Max-Plank-Institut fur Biogeochemie"
,,
"Iceland","Halldor Thorgeirsson","Ministry for the Environment"
,,
"India","M.R. Hubert","Shabnam Resources"
"India","Kilaparti Ramakrishna","Woods Hole Research Center"
"India","N.H. Ravindranath","Indian Institute of Sciences"
"India","Tejpal Singh","Tata Energy Research Institute"
"India","P. Sudha","Centre for Ecological Sciences"
"India","Raman Sukumar","Indian Institute of Science"
,,
"Indonesia","A. Ngaloken Gintings","Forest Product and SocioeconomicResearch and Development Centre"
"Indonesia","Nur Masripatin","Forest Planning Agency/Ministry of Forestry and Estate Crops"
"Indonesia","Daniel Murdiyarso","BIOTROP-GCTE"
"Indonesia","Reider Persson","Center for International Forestry Research"
,,
"Italy","Lorenzo Ciccarese","ANPA, National Environmental Protection Agency"
"Italy","Louise Fresco","Food and Agriculture Organization"
"Italy","Domenico Gaudioso","ANPA, National Environmental Protection Agency"
"Italy","Antonio Lumicisi","Ministry of the Environment"
"Italy","Riccardo Valentini","University of Tuscia - DISAFRI"
,,
"Japan ","Masahiro Amano","Forestry and Forest Products Research Institute"
"Japan ","Mariko Handa","Parks and Recreation Foundation"
"Japan ","Gen Inoue","National Institute for Environment Study"
"Japan ","Kyoko Kawasaka","Citizens Alliance for Saving the Atmosphere and the Earth"
"Japan ","Hirofumi Kazuno","Ministry of Foreign Affairs"
"Japan ","Katsuyuki Minami","National Institute of Agro-Environmental Sciences"
"Japan ","Osamu Mizuno","Environment Agency of Japan"
"Japan ","Yasuhisa Tanaka","Ministry of Agriculture, Forestry and Fisheries"
"Japan ","Toshihiko Yagi","Citizens Alliance for Saving the Atmosphere and the Earth"
"Japan ","Yoshiki Yamagata","National Institute for Environmental Studies"
"Japan ","Hironobu Yokota","Environment Agency of Japan"
,,
"Kenya","Pedro Sanchez","ICRAF"
,,
"Malaysia","Faizal Parish","Global Environment Centre"
,,
"Mexico","Francisco Giner de los Rios","National Institute of Ecology"
"Mexico","Julia Martinez","National Institute of Ecology"
