Role,Name (Institution)
Author,Robert T. Watson
Author,Ian R. Noble
Author,Bert Bolin
Author,N.H. Ravindranath
Author,David J. Verardo
Author,David J. Dokken
,
Edited by,Robert T. Watson (The World Bank)
Edited by,Ian R. Noble (Australian National University)
Edited by,Bert Bolin (University of Stockholm)
Edited by,N.H. Ravindranath (Indian Institute of Science)
Edited by,David J. Verardo (IPCC Working Group II Technical Support Unit)
Edited by,David J. Dokken (University Corporation for Atmospheric Research)
