"Section","Chapter","Role","Name","Institution, Country"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change",,"Section Coordinator","Bert Metz","Co-Chair IPCC Working Group III, The Netherlands"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change",,"Section Coordinator","Kilaparti Ramakrishna","Woods Hole Research Center, USA"
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Coordinating Lead Author","Sergio C. Trindade","SE2T International, USA"
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Lead Author","Toufiq Siddiqi","Global Environment and Energy in the 21st Century (GEE-21), USA"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Lead Author","Eric Martinot","The World Bank, USA"
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Contributing Author","Richard J.T. Klein","Potsdam Institute for Climate Impact Research (PIK), Germany"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Contributing Author","Mary-Rene Dempsey-Clifford","Department of Public Enterprise, Government of Ireland, Ireland"
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Review Editor","Li Liyan","State Planning Commission , China"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 1: Managing Technological Change in Support of the Climate Change Convention: A Framework for Decision Making","Review Editor","Roberto Schaeffer","Federal University of Rio de Janeiro, Brazil"
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Coordinating Lead Author","Mark Radka UNEP ","UNEP, France"
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Lead Author","Jacqueline Aloisi de Larderel ","UNEP, France"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Lead Author","J.P. Abeeku Brew-Hammond ","KITE, Ghana"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Lead Author","Xu Huaqing ","Center for Energy Environment and Climate Change Research, China "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Julia Benn ","OECD, France"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Woodrow W. Clark, Jr. ","Aalborg University, Denmark "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Andrew Dearing ","World Business Council for Sustainable Development, Switzerland "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Kevin Fay ","______, USA"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Doug McKay ","Shell International Ltd., United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Paul Metz ","European Business Council for a Sustainable Energy Future, The Netherlands "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","K.P. Nyati ","Confederation of Indian Industry, India "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Contributing Author","Luiz Pinguelli Rosa ","Federal University of Rio de Janeiro, Brazil "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Review Editor","Prodipto Ghosh ","Asian Development Bank, The Philippines "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 2: Trends in Technology Transfer","Review Editor","Ramon Pichs-Madruga ","Centro de Investigaciones de Economía Mundial (CIEM), Cuba "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Coordinating Lead Author","Michael Grubb ","Imperial College, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Coordinating Lead Author","Kilaparti Ramakrishna ","Woods Hole Research Center, USA "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Raekwon Chung ","Ministry of Foreign Affairs and Trade , South Korea "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Jan Corfee-Morlot ","OECD, Paris "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Michael Gollin ","VENABLE, BAETJER, HOWARD & CIVILETTI, LLP , USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Patricia Iturregui ","Consejo Nacional de Medio Ambiente, Peru "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Jorge Leiva ","Ozone Layer Protection Program, Chile "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Atiq Rahman ","Bangladesh Centre for Advanced Studies (BCAS), Bangladesh "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Terence Thorn ","Enron Corp., USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Lead Author","Gerardo Trueba Gonzalez","Ministerio de Ciencia TecnologÌa y Medio Ambiente (CITMA), Cuba "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Review Editor","Woodrow W. ClarkJr. ","Aalborg University, Denmark "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 3: International Agreements and Legal Structures","Review Editor","Richard Odingo ","University of Nairobi, Kenya "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Coordinating Lead Author","Merylyn McKenzie Hedger","University of Oxford, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Coordinating Lead Author","Eric Martinot ","The World Bank, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Coordinating Lead Author","Tongroj Onchan ","Thailand Environment Institute, Thailand "
,,,,
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Dilip Ahuja ","Global Environment Facility Secretariat, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Weerawat Chantanakome","Thailand Research Fund (TRF), Thailand "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Michael Grubb ","Imperial College, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Joyeeta Gupta ","Institute for Environmental Studies, The Netherlands "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Thomas C. Heller ","Stanford University, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Li Junfeng ","Energy Research Institute, China "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Mark Mansley ","Claros Consulting, United Kingdom "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Charles Mehl ","______, Thailand"
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Bhaskhar Natarajan ","India-Canada Environment Facility (ICEF), India "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","Theodore Panayotou ","Harvard University, USA "
"Section I: Framework for Analysis: Technology Transfer to address Climate Change","Chapter 4: Enabling Environments for Technology Transfer","Lead Author","John Turkson ","UNEP Collaborating Centre on Energy and Environment, Denmark "
