"Chapter","Role","Name","Institution, Country"
"Technical Summary","Co-ordinating Lead Author","Edward Rubin","Carnegie Mellon University, United States"
"Technical Summary","Co-ordinating Lead Author","Leo Meyer","TSU IPCC Working Group III, Netherlands Environment Assessment Agency (MNP), Netherlands"
"Technical Summary","Co-ordinating Lead Author","Heleen de Coninck","TSU IPCC Working Group III, Energy research Centre of the Netherlands (ECN), Netherlands"
,,,
"Technical Summary","Lead Author","Juan Carlos Abanades","Instituto Nacional del Carbon (CSIC), Spain"
"Technical Summary","Lead Author","Makoto Akai ","National Institute of Advanced Industrial Science and Technology, Japan "
"Technical Summary","Lead Author","Sally Benson ","Lawrence Berkeley National Laboratory, United States "
"Technical Summary","Lead Author","Ken Caldeira ","Carnegie Institution of Washington, United States "
"Technical Summary","Lead Author","Peter Cook ","Cooperative Research Centre for Greenhouse Gas Technologies (CO2CRC), Australia "
"Technical Summary","Lead Author","Ogunlade Davidson","Co-chair IPCC Working Group III, Faculty of Engineering, University of Sierra Leone, Sierra Leone"
"Technical Summary","Lead Author","Richard Doctor ","Argonne National Laboratory, United States "
"Technical Summary","Lead Author","James Dooley ","Battelle, United States "
"Technical Summary","Lead Author","Paul Freund ","______, United Kingdom"
"Technical Summary","Lead Author","John Gale ","IEA Greenhouse Gas R&D Programme, United Kingdom "
"Technical Summary","Lead Author","Wolfgang Heidug ","Shell International Exploration and Production B.V., Netherlands (Germany) "
"Technical Summary","Lead Author","Howard Herzog ","MIT, United States "
"Technical Summary","Lead Author","David Keith ","University of Calgary, Canada "
"Technical Summary","Lead Author","Marco Mazzotti ","ETH Swiss Federal Institute of Technology Zurich, Switzerland (Italy) "
"Technical Summary","Lead Author","Bert Metz ","Co-chair IPCC Working Group III, Netherlands Environment Assessment Agency (MNP), Netherlands"
"Technical Summary","Lead Author","Balgis Osman-Elasha ","Higher Council for Environment and Natural Resources, Sudan "
"Technical Summary","Lead Author","Andrew Palmer ","University of Cambridge, United Kingdom "
"Technical Summary","Lead Author","Riitta Pipatti ","Statistics Finland, Finland "
"Technical Summary","Lead Author","Koen Smekens ","Energy research Centre of the Netherlands (ECN), Netherlands (Belgium) "
"Technical Summary","Lead Author","Mohammad Soltanieh ","Environmental Research Centre, Dept. of Environment, Climate Change Office, Iran "
"Technical Summary","Lead Author","Kelly (Kailai) Thambimuthu ","Centre for Low Emission Technology, CSIRO, Australia (Australia and Canada) "
"Technical Summary","Lead Author","Bob van der Zwaan ","Energy research Centre of the Netherlands (ECN), The Netherlands "
,,,
"Technical Summary","Review Editor","Ismail El Gizouli ","IPCC WGIII vice-chair, Higher Council for Environment & Natural Resources, Sudan "
,,,
"Chapter 1: Introduction","Co-ordinating Lead Author","Paul Freund","United Kingdom"
,,,
"Chapter 1: Introduction","Lead Author","Anthony Adegbulugbe ","Centre of Energy Research and Development, Nigeria "
"Chapter 1: Introduction","Lead Author","Øyvind Christophersen ","Norwegian Pollution Control Authority, Norway "
"Chapter 1: Introduction","Lead Author","Hisashi Ishitani ","School of Media and Governance, Keio University, Japan "
"Chapter 1: Introduction","Lead Author","William Moomaw ","Tufts University, The Fletcher School of Law and Diplomacy, United States "
"Chapter 1: Introduction","Lead Author","Jose Moreira ","University of Sao Paulo, National Reference Center on Biomass (CENBIO), Brazil "
,,,
"Chapter 1: Introduction","Review Editor","Eduardo Calvo ","IPCC vice-chair WGIII, Peru "
