Name,Institution,Country
"ACHUTARAO, Krishna Mirle",Lawrence Livermore National Laboratory,USA
"ADLER, Robert F.",National Aeronautics and Space Administration (NASA),USA
"ALEXANDER, Lisa",Met Office,United Kingdom
"ALEXANDERSSON, Hans",Swedish Meteorological and Hydrological Institute,Sweden
"ALLAN, Richard",University of Reading,United Kingdom
"ALLEN, Myles R.",University of Oxford,United Kingdom
"ALLEY, Richard B.",Pennsylvania State University,USA
"ALLISON, Ian",Australian Antarctic Division,Australia
"AMBENJIE, Peter",Kenya Meteorological Department,Kenya
"AMMANN, Caspar",National Center for Atmospheric Research (NCAR),USA
"ANDRONOVA, Natalia",University of Michigan,USA
"ANNAN, James",Frontier Research Center for Global Change,Japan
"ANTONOV, John",National Oceanographic and Atmospheric Administration (NOAA),USA
"ARBLASTER, Julie",National Center for Atmospheric Research (NCAR),USA
"ARCHER, David",University of Chicago,USA
"ARORA, Vivek",Environment Canada,Canada
"ARRITT, Raymond",Iowa State University,USA
"ARTALE, Vincenzo",Italian National Agency for New Technologies Energy and the Environment (ENEA),Italy
"ARTAXO, Paulo",University of Sao Paulo,Brazil
"AUER, Ingeborg",Central Institute for Meteorology and Geodynamics,Austria
"AUSTIN, John",National Oceanographic and Atmospheric Administration (NOAA),USA
"BAEDE, Alphonsus",Royal Netherlands Meteorological Institute (KNMI),The Netherlands
"BAKER, David",National Center for Atmospheric Research (NCAR),USA
"BALDWIN, Mark P.",Northwest Research Associates,USA
"BARNOLA, Jean-Marc",Laboratoire de Glaciologie et Géophysique de l'Environnement (LGGE),France
"BARRY, Roger G.",University of Colorado,USA
"BATES, Nicholas R.",Bermuda Institute of Ocean Sciences,Bermuda
"BAUER, Eva",Potsdam Institute for Climate Impact Research,Germany
"BENESTAD, Rasmus",Norwegian Meteorological Institute,Norway
"BENISTON, Martin",University of Geneva,Switzerland
"BERGER, André",Université Catholique de Louvain,Belgium
"BERNTSEN, Terje",Center for International Climate and Environment (CICERO),Norway
"BERRY, Joseph A.",Carnegie Institute of Washington,USA
"BETTS, Richard A.",Met Office,United Kingdom
"BIERCAMP, Joachim",Deutsches Klimarechenzentrum,Germany
"BINDOFF, Nathaniel L.",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"BITZ, Cecilia M.",University of Washington,USA
"BLATTER, Heinz",ETH Zurich,Switzerland
"BODEKER, Greg",National Institute of Water and Atmospheric Research,New Zealand
"BOJARIU, Roxana",National Institute of Meteorology and Hydrology (NIMH),Romania
"BONAN, Gordon B.",National Center for Atmospheric Research (NCAR),USA
"BONFILS, Céline",Univerity of California Merced,USA
"BONY, Sandrine",Institut Pierre Simon Laplace (IPSL),France
"BOONE, Aaron",Météo-France,France
"BOONPRAGOB, Kansri",Ramkhamhaeng University,Thailand
"BOUCHER, Olivier",Met Office,United Kingdom
"BOUSQUET, Philippe",Institut Pierre Simon Laplace (IPSL),France
"BOX, Jason E.",Ohio State University,USA
"BOYER, Tim",National Oceanographic and Atmospheric Administration (NOAA),USA
"BRACONNOT, Pascale",Institut Pierre Simon Laplace (IPSL),France
"BRADY, Esther",National Center for Atmospheric Research (NCAR),USA
"BRASSEUR, Guy",National Center for Atmospheric Research (NCAR),USA
"BRETHERTON, Christopher",University of Washington,USA
"BRIFFA, Keith R.",University of East Anglia,United Kingdom
"BROCCOLI, Anthony J.",Rutgers University,USA
"BROCKMANN, Patrick",Institut Pierre Simon Laplace (IPSL),France
"BROMWICH, David H.",Ohio State University,USA
"BROVKIN, Victor",Potsdam Institute for Climate Impact Research,Germany
"BROWN, Ross D.",Environment Canada,Canada
"BUJA, Lawrence",National Center for Atmospheric Research (NCAR),USA
"BUSUIOC, Aristita",National Meteorological Administration,Romania
"CADULE, Patricia",Institut Pierre Simon Laplace (IPSL),France
"CAI, Wenju",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"CAMILLONI, Inés",Universidad de Buenos Aires,Argentina
"CANADELL, Josep",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"CARRASCO, Jorge",Centro de Estudios Cientificos (CECS),Chile
"CASSOU, Christophe",Centre National de la Recherche Scientifique (CNRS),France
"CAYA, Daniel",Consortium Ouranos,Canada
"CAYAN, Daniel R.",University of California San Diego,USA
"CAZENAVE, Anny",Laboratoire d'Etudes en Géophysique et Océanographie Spatiale (LEGOS),France
"CHAMBERS, Don",University of Texas-Austin,USA
"CHANDLER, Mark",Columbia University,USA
"CHANG, Edmund K.",State University of New York Stony Brook,USA
"CHAO, Ben",National Aeronautics and Space Administration (NASA),USA
"CHEN, A. Anthony",University of the West Indies,Jamaica
"CHEN, Zhenlin",China Meteorological Administration,China
"CHIDTHAISONG, Amnat",King Mongkut's University of Technology,Thailand
"CHRISTENSEN, Jens Hesselbjerg Krishna",Danish Meteorological Institute,Denmark
"CHRISTIAN, James",Fisheries and Oceans Canada,Canada
"CHRISTY, John R.",University of Alabama Huntsville,USA
"CHURCH, John A.",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"CIAIS, Philippe",Institut Pierre Simon Laplace (IPSL),France
"CLARK, Deborah A.",University of Missouri-St. Louis,USA
"CLARKE, G.K.C.",University of British Columbia,Canada
"CLAUSSEN, Martin",Potsdam Institute for Climate Impact Research,Germany
"CLEMENT, Amy",University of Miami,USA
"COGLEY, J. Graham",Trent University,Canada
"COLE, Julia",University of Arizona,USA
"COLLIER, Mark",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"COLLINS, Matthew",Met Office,United Kingdom
