Name,Institution,Country
"ABEKU, Tarekegn",London School of Hygiene and Tropical Medicine,United Kingdom
"ABUODHA, Pamela",University of Wollongong,Australia
"ADESINA, Francis",Obafemi Awolowo University,Nigeria
"ADGER, Neil",University of East Anglia,United Kingdom
"AGARD, John",University of the West Indies,Trinidad and Tobago
"AGGARWAL, Pramod",Indian Agricultural Research Institute,India
"AGNEW, Maureen",University of East Anglia,United Kingdom
"AGOLI-AGBO, Micheline",University of Abomey-Calavi,Benin
"AGRAWALA, Shardul",Organization for Economic Cooperation and Development (OECD),France
"AGRICOLE, Will",National Meteorological Service,Seychelles
"AHMAD, Qazi Z.",Bangladesh Unnayan Parishad (BUP),Bangladesh
"AKHTAR, Rais",Jawaharlal Nehru University,India
"ALAM, Mozaharul",Bangladesh Centre for Advanced Studies (BCAS),Bangladesh
"ALCAMO, Joseph M.",University of Kassel,Germany
"ALLALI, Abdelkader",Ministry of Agriculture Rural Development and Fishing,Morocco
"ANDREY, Jean",University of Waterloo,Canada
"ANDRONOVA, Natalia",University of Michigan,USA
"ANISIMOV, Oleg A.",State Hydrological Institute,Russian Federation
"ANOKHIN, Yurij",Institute of Global Climate and Ecology,Russian Federation
"ANTLE, John",Montana State University,USA
"ARAÚJO, Miguel",Environmental Change Institute,Portugal
"ARBLASTER, Julie",National Center for Atmospheric Research (NCAR),USA
"ARNELL, Nigel",University of Southampton,United Kingdom
"ASANUMA, Jun",University of Tsukuba,Japan
"ATLHOPHENG, Julius",University of Botswana,Botswana
"ATRI, Shiv D.",India Meteorological Department,India
"ATTAHER, Samar",Central Laboratory for Agricultural Climate,Egypt
"BAETHGEN, Walter",International Fertilizer Development Center (IFDC),USA
"BAO, Manzhu",Huazhong Agricultural University,China
"BARLOW, Chris",Mekong River Commission,Laos
"BARRY, Roger G.",University of Colorado,USA
"BATES, Bryson C.",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"BECKEN, Susanne",Landcare Research,New Zealand
"BECKER, Alfred",Potsdam Institute for Climate Impact Research,Germany
"BEGGS, Paul",Macquarie University,Australia
"BENISTON, Martin",University of Geneva,Switzerland
"BERKHOUT, Frans","Vrije Universiteit,Amsterdam",The Netherlands
"BETTS, Richard A.",Met Office,United Kingdom
"BHADWAL, Suruchi",Energy and Resources Institute,India
"BIAGINI, Bonizella",National Environmental Trust,USA
"BINDI, Marco",University of Florence,Italy
"BLACK, Richard",University of Sussex,United Kingdom
"BOKO, Michel",Universite de Bourgogne,France
"BOND, William J.",University of Cape Town,South Africa
"BOUNOUA, Lahouari",National Aeronautics and Space Administration (NASA),USA
"BRANDER, Keith",International Council for the Exploration of the Sea,Denmark
