Chapter,Role,Name,Country
Freshwater resources and their management,Coordinating Lead Author,Zbigniew Kundzewicz,Poland
Freshwater resources and their management,Coordinating Lead Author,Luis Jose Mata,Germany
,,,
Freshwater resources and their management,Lead Author,Nigel Arnell,United Kingdom
Freshwater resources and their management,Lead Author,Petra Doll,Germany
Freshwater resources and their management,Lead Author,Pavel Kabat,The Netherlands
Freshwater resources and their management,Lead Author,Blanca Elena Jimenez Cisneros,Mexico
Freshwater resources and their management,Lead Author,Kathleen Miller,USA
Freshwater resources and their management,Lead Author,Taikan Oki,Japan
Freshwater resources and their management,Lead Author,Zekai Sen,Turkey
Freshwater resources and their management,Lead Author,Igor Shiklomanov,Russian Federation
,,,
Freshwater resources and their management,Contributing Author,Jun Asanuma,Japan
Freshwater resources and their management,Contributing Author,Richard A. Betts,United Kingdom
Freshwater resources and their management,Contributing Author,Stewart J. Cohen,Canada
Freshwater resources and their management,Contributing Author,Chris Milly,USA
Freshwater resources and their management,Contributing Author,Mark Nearing,USA
Freshwater resources and their management,Contributing Author,Christel Prudhomme,United Kingdom
Freshwater resources and their management,Contributing Author,Roger Pulwarty,USA
Freshwater resources and their management,Contributing Author,Roland Schulze,South Africa
Freshwater resources and their management,Contributing Author,Renoj Thayyen,India
Freshwater resources and their management,Contributing Author,Nick van de Giesen,The Netherlands
Freshwater resources and their management,Contributing Author,Henk Van Schaik,The Netherlands
Freshwater resources and their management,Contributing Author,Thomas J. Wilbanks,USA
Freshwater resources and their management,Contributing Author,Robert Wilby,United Kingdom
,,,
Freshwater resources and their management,Review Editor,Alfred Becker,Germany
Freshwater resources and their management,Review Editor,James P. Bruce,Canada
