Chapter,Role,Name,Country
,,,
Summary For Policy Makers,Lead Author,Neil Adger,United Kingdom
Summary For Policy Makers,Lead Author,Pramod Aggarwal,India
Summary For Policy Makers,Lead Author,Shardul Agrawala,France
Summary For Policy Makers,Lead Author,Joseph M. Alcamo,Germany
Summary For Policy Makers,Lead Author,Abdelkader Allali,Morocco
Summary For Policy Makers,Lead Author,Oleg A. Anisimov,Russian Federation
Summary For Policy Makers,Lead Author,Nigel Arnell,United Kingdom
Summary For Policy Makers,Lead Author,Michel Boko,France
Summary For Policy Makers,Lead Author,Osvaldo F. Canziani,Argentina
Summary For Policy Makers,Lead Author,Timothy Carter,Finland
Summary For Policy Makers,Lead Author,Gino Casassa,Chile
Summary For Policy Makers,Lead Author,Ulisses Confalonieri,Brazil
Summary For Policy Makers,Lead Author,Rex Victor Cruz,Philippines
Summary For Policy Makers,Lead Author,Edmundo De Alba Alcaraz,Mexico
Summary For Policy Makers,Lead Author,William Easterling,USA
Summary For Policy Makers,Lead Author,Christopher B. Field,USA
Summary For Policy Makers,Lead Author,Andreas Fischlin,Switzerland
Summary For Policy Makers,Lead Author,B. Blair Fitzharris,New Zealand
Summary For Policy Makers,Lead Author,Carlos Gay Garcia,Mexico
Summary For Policy Makers,Lead Author,Clair Hanson,United Kingdom
Summary For Policy Makers,Lead Author,Hideo Harasawa,Japan
Summary For Policy Makers,Lead Author,Kevin Hennessy,Australia
Summary For Policy Makers,Lead Author,Saleemul Huq,United Kingdom
Summary For Policy Makers,Lead Author,Roger N. Jones,Australia
Summary For Policy Makers,Lead Author,Lucka Kajfez-Bogataj,Slovenia
Summary For Policy Makers,Lead Author,David J. Karoly,Australia
Summary For Policy Makers,Lead Author,Richard J.T. Klein,Sweden
Summary For Policy Makers,Lead Author,Zbigniew Kundzewicz,Poland
Summary For Policy Makers,Lead Author,Murari Lal,India
Summary For Policy Makers,Lead Author,Rodel Lasco,Philippines
Summary For Policy Makers,Lead Author,Geoff Love,Australia
Summary For Policy Makers,Lead Author,Xianfu Lu,China
Summary For Policy Makers,Lead Author,Graciela Odilia Magrin,Argentina
Summary For Policy Makers,Lead Author,Luis Jose Mata,Germany
Summary For Policy Makers,Lead Author,Roger McLean,Australia
Summary For Policy Makers,Lead Author,Bettina Menne,Germany
Summary For Policy Makers,Lead Author,Guy Midgley,South Africa
Summary For Policy Makers,Lead Author,Nobuo Mimura,Japan
Summary For Policy Makers,Lead Author,M. Monirul Qader Mirza,Canada
Summary For Policy Makers,Lead Author,José Moreno,Spain
Summary For Policy Makers,Lead Author,Linda Mortsch,Canada
Summary For Policy Makers,Lead Author,Isabelle Niang-Diop,Senegal
Summary For Policy Makers,Lead Author,Robert J. Nicholls,United Kingdom
Summary For Policy Makers,Lead Author,Belá Nováky,Hungary
Summary For Policy Makers,Lead Author,Leonard Nurse,Barbados
Summary For Policy Makers,Lead Author,Anthony Nyong,Nigeria
Summary For Policy Makers,Lead Author,Michael Oppenheimer,USA
Summary For Policy Makers,Lead Author,Jean P. Palutikof,United Kingdom
Summary For Policy Makers,Lead Author,Martin Parry,United Kingdom
Summary For Policy Makers,Lead Author,Anand Patwardhan,India
Summary For Policy Makers,Lead Author,Patricia Romero Lankao,USA
Summary For Policy Makers,Lead Author,Cynthia Rosenzweig,USA
Summary For Policy Makers,Lead Author,Stephen Schneider,USA
Summary For Policy Makers,Lead Author,Serguei M. Semenov,Russian Federation
Summary For Policy Makers,Lead Author,Joel B. Smith,USA
Summary For Policy Makers,Lead Author,John M.R. Stone,Canada
Summary For Policy Makers,Lead Author,Jean-Pascal van Ypersele,Belgium
Summary For Policy Makers,Lead Author,David Vaughan,United Kingdom
Summary For Policy Makers,Lead Author,Coleen Vogel,South Africa
Summary For Policy Makers,Lead Author,Thomas J. Wilbanks,USA
Summary For Policy Makers,Lead Author,Poh Poh Wong,Singapore
Summary For Policy Makers,Lead Author,Shaohong Wu,China
Summary For Policy Makers,Lead Author,Gary Yohe,USA
,,,
,,,
