Name,Institution,Country
"ACHARD, Frédéric",European Commission Joint Research Centre,Italy
"ADEGBULUGBE, Anthony O.",Centre for Energy Research and Development,Nigeria
"AHMED, Mohammed Abdelrafie",University of Khartoum,Sudan
"AHUJA, Dilip",National Institute of Advanced Studies,India
"AKUMU, Grace",Climate Network Africa,Kenya
"ALFSEN, Knut H.",Statistics Norway,Norway
"ALHARTHI, Awwad",Saudi Aramco,Saudi Arabia
"AMANN, Markus",International Institute for Applied Systems Analysis (IIASA),Austria
"AMBROSI, Philippe",World Bank,France
"ANAYA, Carlos A.",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"ANDRASKO, Kenneth",U.S. Environmental Protection Agency (EPA),USA
"APPS, Michael J.",Natural Resources Canada,Canada
"ASMUSSEN, Arne",Joanneum Research Graz,Austria
"AWERBUCH, Shimon",N/A,USA
"BABIKER, Mustafa H.",Saudi Aramco,Saudi Arabia
"BARKER, Terry",University of Cambridge,United Kingdom
"BASHMAKOV, Igor Alexeyevich",Center for Energy Efficiency (CENEF),Russian Federation
"BEALE, Roger",Allen Consulting Group,Australia
"BENÍTEZ-PONCE, Pablo",British Columbia Ministry of Environment,Canada
"BERNSTEIN, Lenny S.",L. S. Bernstein & Associates L.L.C.,USA
"BERTOLDI, Paolo",European Commission Joint Research Centre,Italy
"BEUTHE, Michel",Facultés Universitaires Catholique de Mons,Belgium
"BIROL, Fatih",International Energy Agency,France
"BLOK, Kornelis",Ecofys,The Netherlands
"BOARDMAN, Brenda",University of Oxford,United Kingdom
"BOER, Rizaldi",Bogor Agricultural University,Indonesia
"BOGNER, Jean E.",Landfills + Inc,USA
"BOSCH, Peter",Ecofys,The Netherlands
"BOSE, Ranjan K.",Tata Energy Research Institute (TERI),India
"BOUILLE, Daniel H.",Fundacion Bariloche,Argentina
"BRADLEY, Richard",International Energy Agency,USA
"BRINKMAN, Sander",Brinkman Climate Change Consultancy,The Netherlands
"BROWN, Marilyn A.",Georgia Institute of Technology,USA
"BURCH, Sarah",University of British Columbia,Canada
"BURGER, Nicholas",University of California,USA
"CAI, Zucong",Institute of Soil Science Chinese Academy of Sciences,China
"CALVO BUENDIA, Eduardo",Universidad Nacional Mayor de San Marcos,Peru
"CERON, Jean-Paul",Université de Limoges,France
"CHEN, Wenjun",Canada Centre for Remote Sensing,Canada
"CIFUENTES, Luis A.",Pontificia Universidad Catolica de Chile,Chile
"CLAPP, Christa",U.S. Environmental Protection Agency (EPA),USA
"CLARKE, Leon",Pacific Northwest National Laboratory,USA
"COCKLIN, Christopher R",James Cook University,Australia
"CODIGNOTTO, Jorge O.",Universidad de Buenos Aires,Argentina
"CORFEE-MORLOT, Jan",Organization for Economic Cooperation and Development (OECD),France
"CRABBÉ, Philippe J.",University of Ottawa,Canada
"DADI, Zhou",Energy Research Institute,China
"DAVE, Rutu",Netherlands Environmental Assessment Agency,The Netherlands
"DAVIDSON, Ogunlade R.",University of Sierra Leone,Sierra Leone
"DE LA CHESNAYE, Francisco",U.S. Environmental Protection Agency (EPA),USA
"DE LA RUE DU CAN, Stephane",Lawrence Berkeley National Laboratory,USA
"DELHOTAL, K. Casey",Research Triangle Institute (RTI) International,USA
"DEN ELZEN, Michel",Netherlands Environmental Assessment Agency,The Netherlands
"DIAZ, Luis F.",CalRecovery Inc.,USA
"DIAZ MOREJON, Cristobal Felix",Ministery of Science Technology and the Environment,Cuba
"DREXHAGE, John",International Institute for Sustainable Development,Canada
"DUAN, Maosheng",Tsinghua University,China
"DUTSCHKE, Michael",Biocarbon Consult,Germany
"EDENHOFER, Ottmar",Potsdam Institute for Climate Impact Research,Germany
"EDMONDS, James",Pacific Northwest National Laboratory,USA
"EICKHOUT, Bas",Netherlands Environmental Assessment Agency,The Netherlands
"ELGIZOULI, Ismail",High Council for Environment and Natural Resources (HCENR),Sudan
"ELSIDDIG, Elnour Abdalla",University of Khartoum,Sudan
"FAAIJ, Andre P.C.",University of Utrecht,The Netherlands
"FENHANN, Jørgen",Risoe National Laboratory,Denmark
"FISHER, Brian S.",CRA International,Australia
"FLANNERY, Brian",Exxon Mobil Corporation,USA
"FORD-ROBERTSON, Justin",Ford-Robertson Initiatives (FRI) Ltd,New Zealand
"FRUMHOFF, Peter C.",Union of Concerned Scientists,USA
"GAO, Qingxian",Chinese Research Academy of Environmental Science,China
"GARG, Amit",Government of India,India
"GASCA, Jorge",Mexican Petroleum Institute,Mexico
"GEHL, Stephen",Electric Power Research Institute (EPRI),USA
"GENG, Luis J.",Consultant,Peru
"GIELEN, Dolf",International Energy Agency,France
"GOLAY, Michael",Massachusetts Institute of Technology,USA
"GOLLIER, Christian",University of Toulouse,France
"GREENE, David L.",Oak Ridge National Laboratory,USA
"GREGORY, Robert",Golder Associates (UK) Ltd.,United Kingdom
"GRUBB, Michael",Carbon Trust,United Kingdom
"GRUBLER, Amulf",International Institute for Applied Systems Analysis (IIASA),Austria
"GULLISON, Raymond E.",Hardner & Gullison Associates LLC,Canada
"GUPTA, Joyeeta","Vrije Universiteit,Amsterdam",The Netherlands
"GUPTA, Sujata",Asian Development Bank,India
"GWARY, Daniel M.",University of Maiduguri,Nigeria
"HA DUONG, Minh",Centre international de recherche sur l'environnement et le développement (CIRED),France
"HAITES, Erik",Margaree Consultants Inc.,Canada
"HALSNAES, Kirsten",Risoe National Laboratory,Denmark
"HANAOKA, Tatsuya",National Institute for Environmental Studies,Japan
"HARE, William L.",Potsdam Institute for Climate Impact Research,Germany
"HARNISCH, Jochen",Ecofys,Germany
"HARRIS, Jeffrey",Alliance to Save Energy,USA
"HARVEY, Danny",University of Toronto,Canada
"HASHIMOTO, Seiji",National Institute for Environmental Studies,Japan
"HATA, Hiroshi",Railway Technical Research Institute,Japan
"HAVES, Philip",Lawrence Berkeley National Laboratory,USA
"HAWKINS, David",Natural Resources Defence Council (NRDC),USA
"HAYAMI, Hitoshi",Keio University,Japan
"HEGGEDAL, Tom-Reiel",Statistics Norway,Norway
"HEIJ, BertJan",N/A,The Netherlands
"HELLER, Thomas C.",Stanford University,USA
"HIGUCHI, Niro",Instituto Nacional de Pesquisas da Amazonia,Brazil
"HOHMEYER, Olav",University of Flensburg,Germany
"HÖHNE, Niklas",Ecofys,Germany
"HOOGWIJK, Monique",Ecofys,The Netherlands
"HOURCADE, Jean-Charles",Centre international de recherche sur l'environnement et le développement (CIRED),France
"HOWDEN, Mark",Commonwealth Scientific and Industrial Research Organization (CSIRO),Australia
"IBITOYE, Francis I.",Centre for Energy Research and Development,Nigeria
"IVANOVA BONCHEVA, Antonina",Autonomous University of Southern Baja California,Mexico
"JANZEN, H. Henry",Agriculture and Agri-Food Canada (AAFC),Canada
"JEPMA, Catrinus J.",University of Groningen,The Netherlands
"JIANG, Kejun",Energy Research Institute,China
"JOBBAGY, Esteban",Universidad Nacional de San Luis,Argentina
"JOCHEM, Eberhard",Fraunhofer Institute for Systems and Innovation Research,Germany
"JOOSEN, Suzanne",Ecofys,The Netherlands
"KAHN RIBEIRO, Suzana",Federal University of Rio de Janeiro,Brazil
"KAINUMA, Mikiko",National Institute for Environmental Studies,Japan
"KANOAN, Gorashi Mohammed",University of Nizwa,Oman
"KARJALAINEN, Timo",Finnish Forest Research Institute,Finland
"KHESHGI, Haroon",Exxon Mobil Corporation,USA
"KJELDSEN, Peter",Risoe National Laboratory,Denmark
"KOBAYASHI, Shigeki",Toyota Central R&D Labs Inc,Japan
"KOLSTAD, Charles",University of California Santa Barbara,USA
"KONAR, Manaswita",Global Change Programme Jadavpur University,India
"KONSTANTINAVICIUTE, Inga",Lithuanian Energy Institute,Lithuania
"KRANKINA, Olga N.",Oregon State University,USA
"KRUGER, Joseph A.",National Commission on Energy Policy,USA
"KUIJPERS, Lambert",Technical University Eindhoven,The Netherlands
"KUMAR, Pushpam",University of Liverpool,United Kingdom
"KURZ, Werner A.",Natural Resources Canada,Canada
"KVERNDOKK, Snorre",Frischsenteret,Norway
"LANG, Siwei",China Academy of Building Research,China
"LARSEN, Hans",Risoe National Laboratory,Denmark
"LATHAM, John",National Oceanographic and Atmospheric Administration (NOAA),USA
"LEBRE LA ROVERE, Emilio",Federal University of Rio de Janeiro,Brazil
"LECOCQ, Franck",Institut National de la Recherche Agronomique (INRA),France
"LEE, David S.",Manchester Metropolitan University,United Kingdom
"LEE, Hoesung",Council on Energy and Environment Korea,South Korea
"LEFEVRE, Nicolas",International Energy Agency,France
"LEVERMORE, Geoffrey J.",University of Manchester,United Kingdom
"LEVINE, Mark D.",Lawrence Berkeley National Laboratory,USA
"LLANES-REGUEIRO, Juan F.",Havana University Centre for Environmental Studies,Cuba
"MALONE, Elizabeth L.",University of Maryland,USA
"MARECKOVA, Katarina",Federal Ministry for Environment,Austria
"MARKANDYA, Anil",World Bank,Italy
"MARTINO, Daniel L.",Carbosur,Uruguay
"MARTINOT, Eric",Tsinghua University,China
"MASERA, Omar",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"MASTRANDREA, Michael D.",Stanford University,USA
"MATSUHASI, Ryuji",University of Tokyo,Japan
"MATSUMOTO, Mitsuo",Forestry and Forest Products Research Institute,Japan
"MATSUOKA, Yuzuru",Kyoto University,Japan
"MATYSEK, Anna",CRA International,Australia
"MCALLISTER, Tim",Agriculture and Agri-Food Canada (AAFC),Canada
"MCCARL, Bruce",Texas A&M University,USA
"MCFARLAND, Mack",DuPont Fluoroproducts,USA
"METZ, Bert",Netherlands Environmental Assessment Agency,The Netherlands
"MEYER, Leo",Netherlands Environmental Assessment Agency,The Netherlands
"MICHAELOWA, Axel",University of Zurich,Switzerland
"MINER, Reid",National Council for Air and Stream Improvement,USA
"MIRASGEDIS, Sevastian",National Observatory of Athens,Greece
"MOEZZI, Mithra",HELIO International,USA
"MONGAMELI MEHLWANA, Anthony",Council for Scientific and Industrial Research (CSIR),South Africa
"MONNI, Suvi",Benviroc Ltd,Finland
"MOOMAW, William",Tufts University,USA
"MOREIRA, Jose Roberto",University of Sao Paulo,Brazil
"MUNASINGHE, Mohan",Munasinghe Institute for Development,Sri Lanka
"MURASE, Shinya",Faculty of Law Sophia University,Japan
"MUROMACHI, Yasunori",Tokyo Institute of Technology,Japan
"NABUURS, Gert-Jan",ALTERRA Research Institute of the Green Environment,The Netherlands
"NAJAM, Adil",Boston University,USA
"NAKICENOVIC, Nebojsa",International Institute for Applied Systems Analysis (IIASA),Austria
"NEWTON, Peter J.",Department for Business Enterprise and Regulatory Reform (BERR),United Kingdom
"NIKITINA, Elena",Russian Federation Academy of Sciences,Russian Federation
"NIMIR, Hassan Bashir",University of Khartoum,Sudan
"NOVIKOVA, Aleksandra",Central European University,Hungary
"O'MARA, Frank P.",University College Dublin,Ireland
"O'NEILL, Brian C.",International Institute for Applied Systems Analysis (IIASA),Austria
"ODINGO, Richard",University of Nairobi,Kenya
"OGLE, Stephen",Colorado State University,USA
"OKAZAKI, Teruo",Nippon Steel Corporation,Japan
"OLIVIER, Jos G.J.",Netherlands Environmental Assessment Agency,The Netherlands
"OPSCHOOR, Hans","Vrije Universiteit,Amsterdam",The Netherlands
"OYHANTÇABAL, Walter",Ministry of Livestock Agriculture and Fisheries,Uruguay
"PAN, Genxing",Nanjing Agricultural University,China
"PAN, Jiahua",USDA Forest Service,China
"PERSHING, Jonathan",World Resources Institute,USA
"PETSCHEL-HELD, Gerhard",N/A,Germany
"PICHS-MADRUGA, Ramon",Centro de Investigaciones de Economia Mundial (CIEM),Cuba
"PINTER, László",N/A,Canada
"PIPATTI, Riitta",Statistics Finland,Finland
"PITCHER, Hugh M.",University of Maryland,USA
"PIZER, William A.",Resources for the Future,USA
"PLOTKIN, Steven",Argonne National Laboratory,USA
"POPP, David",Syracuse University,USA
"PRICE, Lynn K.",Lawrence Berkeley National Laboratory,USA
"RANA, Ashish",Reliance Industries Ltd.,India
"RAO, Shilpa",International Institute for Applied Systems Analysis (IIASA),India
"RAVINDRANATH, Nijavalli H.",Indian Institute of Science,India
"RAYNER, Steve",University of Oxford,United Kingdom
"READ, Peter",Massey University,New Zealand
"RIAHI, Keywan",International Institute for Applied Systems Analysis (IIASA),Austria
"RICE, Charles W.",Kansas State University,USA
"RICHELS, Richard G.",Electric Power Research Institute (EPRI),USA
"RILLING, Jacques",CSTB Building Research Center,France
"ROBINSON, John B.",University of British Columbia,Canada
"ROGNER, Hans-Holger",International Atomic Energy Agency (IAEA),Austria
"ROMANENKOV, Vladimir",Russian Academy of Agricultural Sciences,Russian Federation
"ROSE, Steven K.",U.S. Environmental Protection Agency (EPA),USA
"ROY, Joyashree",Jadavpur University,India
"RYPDAL, Kirstin",Center for International Climate and Environment (CICERO),Norway
"SAIJO, Tatsuyoshi",Osaka University,Japan
"SANDERS, Johan",Wageningen University,The Netherlands
"SANZ SANCHEZ, María José",Fundación CEAM,Spain
"SARI, Agus",PT Ecosecurities,Indonesia
"SATHAYE, Jayant",Lawrence Berkeley National Laboratory,USA
"SCHAEFFER, Roberto",Federal University of Rio de Janeiro,Brazil
"SCHLAMADINGER, Bernhard",Joanneum Research Graz,Austria
"SCHLEICHER, Stefan P.",University of Graz,Austria
"SCHNEIDER, Uwe A.",University of Hamburg,Germany
"SCHOCK, Robert",Lawrence Livermore National Laboratory,USA
"SCHOLES, Robert (Bob) J.",Council for Scientific and Industrial Research (CSIR),South Africa
"SEKI, Shigetaka",Ministry of Economy Trade and Industry,Japan
"SHEINBAUM PARDO, Claudia",Universidad Nacional Autonoma de Mexico (UNAM),Mexico
"SHUKLA, Priyadarshi R.",Indian Institute of Management,India
"SILVEIRA SOARES FILHO, Britaldo",Centro de Sensoriamento Remoto,Brazil
"SIMS, Ralph E. H.",Massey University,New Zealand
"SIROTENKO, Oleg D.",Russian Academy of Agricultural Sciences,Russian Federation
"SKJOLSVIK, Kjell Olav",Marintek,Norway
"SMITH, Michael H.",University of Leeds,United Kingdom
"SMITH, Peter",University of Aberdeen,United Kingdom
"SOHNGEN, Brent",Ohio State University,USA
"SOKONA, Youba",Sahara and Sahel Observatory (OSS) Tunis,Tunisia
"SPERLING, Daniel",University of California,USA
"STRENGERS, Bart",Netherlands Environmental Assessment Agency,The Netherlands
"SUGIYAMA, Taishi",Central Research Institute of Electric Power Industry,Japan
"SUTAMIHARDJA, R.T.M.",Ministry of Environment Indonesia,Indonesia
"SWART, Rob J.",Netherlands Environmental Assessment Agency,The Netherlands
"TANAKA, Kanako",International Energy Agency,France
"TIRPAK, Dennis A.",UNFCCC Secretariat,USA
"TORRES-MARTÍNEZ, Julio",Cuban Observatory for Science and Technology,Cuba
"TOTH, Ferenc L.",International Atomic Energy Agency (IAEA),Turkey
"TOWPRAYOON, Sirintornthep",King Mongkut's University of Technology,Thailand
"TRINES, Eveline",Treeness Consult,The Netherlands
"TURNER, Clive R.",Eskom,South Africa
"UCHIYAMA, Yohji",University of Tsukuba,Japan
"ÜRGE-VORSATZ, Diana",Central European University,Hungary
"VAN KOOTEN, G. Cornelis",University of Victoria,Canada
"VAN VUUREN, Detlef P.",Netherlands Environmental Assessment Agency,The Netherlands
"VERBRUGGEN, Aviel",University of Antwerp,Belgium
"VILLAVICENCIO, Arturo",N/A,Ecuador
"VUORI, Seppo",Technical Research Centre of Finland,Finland
"WA GITHENDU, Mukiri",Ministry of Research Technical Training and Technology,Kenya
"WAMUKONYA, Njeri",United Nations Environment Programme (UNEP),Kenya
"WARREN, Rachel",University of East Anglia,United Kingdom
"WATTENBACH, Martin",University of Aberdeen,United Kingdom
"WEYANT, John P.",Stanford University,USA
"WINKLER, Harald",University of Cape Town,South Africa
"WIT, Ron",Stichting Natuur en Milieu,The Netherlands
"WORRELL, Ernst",Lawrence Berkeley National Laboratory,USA
"WYATT, Andrew B.",University of Sydney,Australia
"XU, Huaging",Chinese Academy of Sciences,China
"YAMAGUCHI, Mitsutsune",University of Tokyo,Japan
"YAMAJI, Kenji",University of Tokyo,Japan
"YAMBA, Francis D.",University of Zambia,Zambia
"YANG, Hongwei",Energy Research Institute,China
"YOSHINO, Hiroshi",Tohoku Gakuin University,Japan
"ZHANG, Tianzhu",Tsinghua University,China
"ZHANG, Xiaoquan",Cooperative Institute for Research in Environmental Sciences (CIRES),USA
"ZHANG, Xiliang",Tsinghua University,China
"ZHOU, Fengqi",Energy Research Institute,China
"ZHOU, Peter P.",Energy Environment Computer and Geophysical Applications Group (EECG Consultants),Botswana
"ZOU, Ji",Renmin University of China,China
