Chapter,Role,Name,Country
,,,
Technical Summary,Lead Author,Igor Alexeyevich Bashmakov,Russian Federation
Technical Summary,Lead Author,Jean E. Bogner,USA
Technical Summary,Lead Author,Peter Bosch,The Netherlands
Technical Summary,Lead Author,Jean-Paul Ceron,France
Technical Summary,Lead Author,Jorge O. Codignotto,Argentina
Technical Summary,Lead Author,Rutu Dave,The Netherlands
Technical Summary,Lead Author,Ogunlade R. Davidson,Sierra Leone
Technical Summary,Lead Author,Brian S. Fisher,Australia
Technical Summary,Lead Author,Sujata Gupta,India
Technical Summary,Lead Author,Kirsten Halsnaes,Denmark
Technical Summary,Lead Author,BertJan Heij,The Netherlands
Technical Summary,Lead Author,Suzana Kahn Ribeiro,Brazil
Technical Summary,Lead Author,Shigeki Kobayashi,Japan
Technical Summary,Lead Author,Mark D. Levine,USA
Technical Summary,Lead Author,Daniel L. Martino,Uruguay
Technical Summary,Lead Author,Omar Masera,Mexico
Technical Summary,Lead Author,Bert Metz,The Netherlands
Technical Summary,Lead Author,Leo Meyer,The Netherlands
Technical Summary,Lead Author,Gert-Jan Nabuurs,The Netherlands
Technical Summary,Lead Author,Adil Najam,USA
Technical Summary,Lead Author,Nebojsa Nakicenovic,Austria
Technical Summary,Lead Author,Hans-Holger Rogner,Austria
Technical Summary,Lead Author,Joyashree Roy,India
Technical Summary,Lead Author,Jayant Sathaye,USA
Technical Summary,Lead Author,Robert Schock,USA
Technical Summary,Lead Author,Priyadarshi R. Shukla,India
Technical Summary,Lead Author,Peter Smith,United Kingdom
Technical Summary,Lead Author,Dennis A. Tirpak,USA
Technical Summary,Lead Author,Diana Ürge-Vorsatz,Hungary
Technical Summary,Lead Author,Seppo Vuori,Finland
Technical Summary,Lead Author,Zhou Dadi,China
,,,
Technical Summary,Review Editor,Mukiri Wa Githendu,Kenya
