Name,Institution,Country
"ABDULLA, Amjad",Ministry of the Environment,Republic of Maldives
"ABERLE, Armin",National University of Singapore,Singapore / Germany
"ADEDOYIN, Akintayo",University of Botswana,Botswana
"AHENKORAH, Alfred K. Ofosu",Energy Commission,Ghana
"AKAI, Makoto",National Institute of Advanced Industrial Science and Technology (AIST),Japan
"ANGERER, Gerhard",Fraunhofer Institute for Systems and Innovation Research (ISI),Germany
"ARENT, Douglas J.",National Renewable Energy Laboratory (NREL),United States of America
"ARROWSMITH, Greg",European Renewable Energy Centres (EUREC) Agency,Belgium / United Kingdom
"ARVIZU, Dan E.",National Renewable Energy Laboratory (NREL),United States of America
"ATHIENITIS, Andreas",Concordia University,Canada
,,
"BAIN, Richard",National Renewable Energy Laboratory (NREL),United States of America
"BAKER, Erin",University of Massachusetts,United States of America
"BALAYA, Palani",National University of Singapore,Singapore / India
"BAUER, Christian",Paul Scherrer Institute (PSI),Switzerland / Austria
"BAZILIAN, Morgan",United Nations Industrial Development Organization (UNIDO),Austria / United States of America
"BEEREPOOT, Milou",International Energy Agency,France
"BERNDES, Göran",Chalmers University of Technology,Sweden
"BERTANI, Ruggero",Enel Green Power S.p.A.,Italy
"BHARATHAN, Desikan",National Renewable Energy Laboratory (NREL),United States of America
"BHUYAN, Gouri S.",Powertech Labs Inc.,Canada
,,
"BIRD, Lori",National Renewable Energy Laboratory (NREL),United States of America
"BLACKWELL, David P.",Southern Methodist University,United States of America
"BOERMANS, Thomas",Ecofys,Germany
"BOWEN, Alex",Grantham Research Institute on Climate Change and the Environment,United Kingdom
"BRANCHE, Emmanuel",Electricité de France (EDF),France
"BRECHA, Robert",Potsdam Institute for Climate Impact Research (PIK),Germany / United States of America
"BREUKERS, Sylvia",Energy Research Centre of the Netherlands (ECN),The Netherlands
"BROMLEY, Christopher J.",GNS Science,New Zealand
"BRUCKNER, Thomas",University of Leipzig,Germany
"BURGHERR, Peter",Paul Scherrer Institute (PSI),Switzerland
,,
"BURKHARDT, John",National Renewable Energy Laboratory (NREL),United States of America
"BUSCH, Sebastian",Vienna University of Technology,Austria / Germany
"CABEZA , Luisa F.",University of Lleida,Spain
"CACERES RODRIGUEZ, J. Rodolfo",Comisión Ejecutiva Hidroeléctrica del Río Lempa,El Salvador
"CALVO, Eduardo",Universidad Nacional Mayor de San Marcos,Peru
"CHIANG, Ranyee",U.S. Department of Energy,United States of America
"CHRISTENSEN, John M.",Risø National Laboratory for Sustainable Energy,Denmark
"CHUM, Helena L.",National Renewable Energy Laboratory (NREL),"United States of America / Brazil, USA"
"CLARKE, Leon",Joint Global Change Research Institute,United States of America
"CLEMENS, Elisabeth",United Nations Development Program (UNDP),Norway
"CONNOR, Peter",University of Exeter,United Kingdom
,,
"COWLIN, Shannon",National Renewable Energy Laboratory (NREL),United States of America
"CREUTZIG, Felix",Technische Universität Berlin,Germany
"DARGHOUTH, Naïm R.",University of California,United States of America
"DAWE, David",Food and Agriculture Organization of the United Nations (FAO),Thailand / United States of America
"DE JAGER, David",Ecofys,The Netherlands
"DEMAYO, Trevor N.",Chevron Energy Technology Co.,United States of America / Canada
"DEMKINE, Volodymyr",United Nations Environment Programme (UNEP),Kenya / Ukraine
"DENNY, Eleanor",Trinity College Dublin,Ireland
"DENTON, Fatima",International Development Research Centre (IDRC),Senegal / Gambia
"DEVERNAY, Jean-Michel E.",Electricité de France (EDF),France
"DHAMIJA, Parveen",Ministry of New & Renewable Energy,India
,,
"DIAZ MOREJON, Cristobal","Ministry of Science, Technology and the Environment",Cuba
"DONG, Hongmin",Chinese Academy of Agricultural Sciences,People’s Republic of China
"DROEGE, Peter",University of Liechtenstein,"Liechtenstein, Germany"
"EDENHOFER, Ottmar",Potsdam Institute for Climate Impact Research (PIK),Germany
"EDMONDS, James A.",Joint Global Change Research Institute,United States of America
"ELGIZOULI, Ismail A. R.",Higher Council for Environment & Natural Resources,Sudan
"ELLIOTT, Dennis",National Renewable Energy Laboratory (NREL),United States of America
"ERICSSON, Karin",Lund University,Sweden
"ESTEFEN, Segen F.",Universidade Federal do Rio de Janeiro (UFRJ),Brazil
"FAAIJ, André P. C.",Utrecht University,The Netherlands
"FIFITA, Solomone",Secretariat of the Pacific Community,Republic of Fiji / Tonga
,,
"FISCHEDICK, Manfred","Wuppertal Institute for Climate, Environment and Energy",Germany
"FLYNN, Damian",University College Dublin,Ireland
"FREITAS, Marcos A. V.",Universidade Federal do Rio de Janeiro (UFRJ),Brazil
"FUJINO, Junichi",National Institute for Environmental Studies,Japan
"GABRIELLE, Benoît X.",AgroParisTech,France
"GIRARDIN, L. Osvaldo",Bariloche Foundation,Argentina
"GOLDSTEIN, Barry A.",Government of South Australia,Australia
"GOSS ENG, Alison M.",U.S. Department of Energy,United States of America
"GREACEN, Chris",Consultant,United States of America
"GRISOLI, Renata",University of São Paulo,Brazil
"GUTIRREZ-NEGRIN, Luis",Asociación Geotérmica Mexicana,Mexico
,,
"GWINNER, Don",National Renewable Energy Laboratory (NREL),United States of America
"HAGELÜKEN, Christian",Umicore Precious Metals Refining,Germany
"HALL, Douglas G.",Idaho National Laboratory,United States of America
"HAMILTON, Kirsty S.",Chatham House,United Kingdom
"HAND, M. Maureen",National Renewable Energy Laboratory (NREL),United States of America
"HANSEN, Gerrit",IPCC WGIII TSU,Germany
"HANSON, Howard",Florida Atlantic University,United States of America
"HARNISCH, Jochen",KfW Entwicklungsbank,Germany
"HEATH, Garvin",National Renewable Energy Laboratory (NREL),United States of America
"HEPBURN, Cameron",New College,United Kingdom
"HIRIART, Gerardo L.","Energías Alternas, Estudios y Proyectos",Mexico
,,
"HOEN, Ben",Lawrence Berkeley National Laboratory,United States of America
"HOHMEYER, Olav",University of Flensburg,Germany
"HOLLANDS, Terry K. G.",University of Waterloo,Canada
"HOLTTINEN, Hannele K.",VTT Technical Research Centre of Finland,Finland
"HUCKERBY, John",Power Projects Ltd.,New Zealand
"HUENGES, Ernst",Deutsches GeoForschungsZentrum,Germany
"HULD, Thomas",European Commission Joint Research Center (JRC),Italy / Denmark
"HULTMAN, Nathan",University of Maryland,United States of America
"HUNT, Suzanne",Hunt Green LLC,United States of America
"INFIELD, David",University of Strathclyde,United Kingdom
"IVANOVA BONCHEVA, Antonina",Universidad Autónoma de Baja California Sur (UABCS),"Mexico / Bulgaria, Mexico"
,,
"JACCARD, Marc",Simon Fraser University,Canada
"JÄGER-WALDAU, Arnulf A.",European Commission Joint Research Centre (JRC),Italy / Germany
"JAKOB, Michael",Potsdam Institute for Climate Impact Research (PIK),Germany
"JAMES, Ted",National Renewable Energy Laboratory (NREL),United States of America
"JANNUZZI, Gilberto de Martino",Universidade Estadual de Campinas (UNICAMP),Brazil
"JENSEN, Peter Hjuler",Risø National Laboratory for Sustainable Energy,Denmark
"JONKMAN, Jason",National Renewable Energy Laboratory (NREL),United States of America
"JUNGINGER, Martin",Utrecht University,The Netherlands
"KADNER, Susanne",IPCC WGIII TSU,Germany
"KAHN RIBEIRO, Suzana",Universidade Federal do Rio de Janeiro (UFRJ),Brazil
,,
"KALKUHL, Matthias",Potsdam Institute for Climate Impact Research (PIK),Germany
"KAMIMOTO, Masayuki",National Institute of Advanced Industrial Science and Technology (AIST),Japan
"KAMMEN, Daniel",University of California,United States of America
"KAZMERSKI, Lawrence",National Renewable Energy Laboratory (NREL),United States of America
"KEANE, Andrew",University College Dublin,Ireland
"KHENNAS, Smail",United Nations Development Programme (UNDP),Senegal / Algeria
"KILLINGTVEIT, Ånund",Norwegian University of Science and Technology (NTNU),Norway
"KJAER, Christian",European Wind Energy Association (EWEA),Belgium / Denmark
