Name,Role,Institution
Ottmar Edenhofer,Co-Chair Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Ramón Pichs Madruga,Co-Chair Working Group III,Centro de Investigaciones de la Economía Mundial (CIEM)
Youba Sokona,Co-Chair Working Group III,"African Climate Policy Centre, United Nations Economic Commission for Africa (UNECA)"
,,
Kristin Seyboth,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Patrick Matschoss,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Susanne Kadner,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Timm Zwickel,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Patrick Eickemeier,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Gerrit Hansen,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Steffen Schlömer,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
Christoph von Stechow,Technical Support Unit Working Group III,Potsdam Institute for Climate Impact Research (PIK)
