Chapter,Role,Name (Country)
Summary for Policymakers,Coordinating Lead Authors,Ottmar Edenhofer (Germany)
Summary for Policymakers,Coordinating Lead Authors,Ramon Pichs-Madruga (Cuba)
Summary for Policymakers,Coordinating Lead Authors,Youba Sokona (Ethiopia/Mali)
Summary for Policymakers,Coordinating Lead Authors,Kristin Seyboth (Germany/USA)
,,
Summary for Policymakers,Lead Author,Dan Arvizu (USA)
Summary for Policymakers,Lead Author,Thomas Bruckner (Germany)
Summary for Policymakers,Lead Author,John Christensen (Denmark)
Summary for Policymakers,Lead Author,Helena Chum (USA/Brazil)
Summary for Policymakers,Lead Author,Jean-Michel Devernay (France)
Summary for Policymakers,Lead Author,Andre Faaij (The Netherlands)
Summary for Policymakers,Lead Author,Manfred Fischedick (Germany)
Summary for Policymakers,Lead Author,Barry Goldstein (Australia)
Summary for Policymakers,Lead Author,Gerrit Hansen (Germany)
Summary for Policymakers,Lead Author,John Huckerby (New Zealand)
Summary for Policymakers,Lead Author,Arnulf Jäger-Waldau (Italy/Germany)
Summary for Policymakers,Lead Author,Susanne Kadner (Germany)
Summary for Policymakers,Lead Author,Daniel Kammen (USA)
Summary for Policymakers,Lead Author,Volker Krey (Austria/Germany)
Summary for Policymakers,Lead Author,Arun Kumar (India)
Summary for Policymakers,Lead Author,Anthony Lewis (Ireland)
Summary for Policymakers,Lead Author,Oswaldo Lucon (Brazil)
Summary for Policymakers,Lead Author,Patrick Matschoss (Germany)
Summary for Policymakers,Lead Author,Lourdes Maurice (USA)
Summary for Policymakers,Lead Author,Catherine Mitchell (United Kingdom)
Summary for Policymakers,Lead Author,William Moomaw (USA)
Summary for Policymakers,Lead Author,José Moreira (Brazil)
Summary for Policymakers,Lead Author,Alain Nadai (France)
Summary for Policymakers,Lead Author,Lars J. Nilsson (Sweden)
Summary for Policymakers,Lead Author,John Nyboer (Canada)
Summary for Policymakers,Lead Author,Atiq Rahman (Bangladesh)
Summary for Policymakers,Lead Author,Jayant Sathaye (USA)
Summary for Policymakers,Lead Author,Janet Sawin (USA)
Summary for Policymakers,Lead Author,Roberto Schaeffer (Brazil)
Summary for Policymakers,Lead Author,Tormod Schei (Norway)
Summary for Policymakers,Lead Author,Steffen Schlömer (Germany)
Summary for Policymakers,Lead Author,Ralph Sims (New Zealand)
Summary for Policymakers,Lead Author,Christoph von Stechow (Germany)
Summary for Policymakers,Lead Author,Aviel Verbruggen (Belgium)
Summary for Policymakers,Lead Author,Kevin Urama (Kenya/Nigeria)
Summary for Policymakers,Lead Author,Ryan Wiser (USA)
Summary for Policymakers,Lead Author,Francis Yamba (Zambia)
Summary for Policymakers,Lead Author,Timm Zwickel (Germany)
,,
Summary for Policymakers,Special Advisor,Jeffrey Logan (USA)
