Chapter,Role,Name (Country)
Summary for Policymakers,Drafting Author,Simon K. Allen (Switzerland)
Summary for Policymakers,Drafting Author,Vicente Barros (Argentina)
Summary for Policymakers,Drafting Author,Ian Burton (Canada)
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
Summary for Policymakers,Drafting Author,
