Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Annex I: Glossary,Glossary,Glossary Editor,Julian Allwood, University of Cambridge,United Kingdom,United Kingdom
Annex I: Glossary,Glossary,Glossary Editor,Valentina Bosetti,Fondazione Eni Enrico Mattei (FEEM),Italy,Italy
Annex I: Glossary,Glossary,Glossary Editor,Navroz K. Dubash,Centre for Policy Research,India,India
Annex I: Glossary,Glossary,Glossary Editor,Luis Gómez-Echeverri,IIASA,Colombia,Austria
Annex I: Glossary,Glossary,Glossary Editor,Christoph von Stechow,IPCC WGIII,Germany,Germany
,,,,,,
Annex I: Glossary,Glossary,Glossary Contributor,Giovanni Baiocchi,University of Maryland,Italy,United States
Annex I: Glossary,Glossary,Glossary Contributor,John Barrett,University of Leeds,United Kingdom,United Kingdom
Annex I: Glossary,Glossary,Glossary Contributor,John Broome,University of Oxford,United Kingdom,United Kingdom
Annex I: Glossary,Glossary,Glossary Contributor,Steffen Brunner,IPCC WGIII,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Martha Micheline Cariño Olvera,Universidad Autonoma de Baja California Sur,Mexico,Mexico
Annex I: Glossary,Glossary,Glossary Contributor,Harry Clark,New Zealand Agricultural Greenhouse Gas Research Centre,New Zealand,New Zealand
Annex I: Glossary,Glossary,Glossary Contributor,Leon Clarke,Pacific Northwest National Laboratory,United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Esteve Corbera,Universitat Autonoma de Barcelona,Spain,Spain
Annex I: Glossary,Glossary,Glossary Contributor,Felix Creutzig,MCC,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Marcio DAgosto,Universidade Federal do Rio de Janeiro,Brazil,Brazil
Annex I: Glossary,Glossary,Glossary Contributor,Gian Carlo Delgado,,Mexico,Mexico
Annex I: Glossary,Glossary,Glossary Contributor,Manfred Fischedick,"Wuppertal Institute for Climate, Environment, Energy",Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Marc Fleurbaey,Princeton University,France,United States
Annex I: Glossary,Glossary,Glossary Contributor,Don Fullerton,University of Illinois,United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Richard Harper,Murdoch University,Australia,Australia
Annex I: Glossary,Glossary,Glossary Contributor,Edgar Hertwich,Norwegian University of Science & Technology,Austria,Norway
Annex I: Glossary,Glossary,Glossary Contributor,Damon Robert Honnery,Monash University,Australia,Australia
Annex I: Glossary,Glossary,Glossary Contributor,Michael Jakob,Mercator Research Institute on Global Commons and Climate Change (MCC),Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Charles Kolstad,Stanford University,United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Elmar Kriegler,Potsdam Institute for Climate Impact Research,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Howard Kunreuther,"Wharton School, University of Pennsylvania",United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Oswaldo Lucon,Sao Paulo State Environment Secretariat,Brazil,Brazil
Annex I: Glossary,Glossary,Glossary Contributor,Andreas Loeschel,Centre for European Economic Research (ZEW) and University of Heidelberg,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Axel Michaelowa,University of Zurich,Germany,Switzerland
Annex I: Glossary,Glossary,Glossary Contributor,Jan Minx,IPCC WGIII,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Luis Mundaca,Lund University,Chile,Sweden
Annex I: Glossary,Glossary,Glossary Contributor,Jin Murakami,"City University of Hong Kong, HKSAR",Japan,China
Annex I: Glossary,Glossary,Glossary Contributor,Jos Olivier,PBL Netherlands Environmental Assessment Agency ,Netherlands,Netherlands
Annex I: Glossary,Glossary,Glossary Contributor,Michael Rauscher,Universität Rostock,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Keywan Riahi,International Institute for Applied Systems Analysis (IIASA),Austria,Austria
Annex I: Glossary,Glossary,Glossary Contributor,H.-Holger Rogner,International Institute for Applied Systems Analysis (IIASA),Germany,Austria
Annex I: Glossary,Glossary,Glossary Contributor,Steffen Schloemer,IPCC WGIII,Germany,Germany
Annex I: Glossary,Glossary,Glossary Contributor,Ralph Sims,Massey University,New Zealand,New Zealand
Annex I: Glossary,Glossary,Glossary Contributor,Pete Smith,University of Aberdeen,United Kingdom,United Kingdom
Annex I: Glossary,Glossary,Glossary Contributor,David Stern,Australian National University,Australia,Australia
Annex I: Glossary,Glossary,Glossary Contributor,Neil Strachan,University College London,United Kingdom,United Kingdom
Annex I: Glossary,Glossary,Glossary Contributor,Kevin Urama,African Technology Policy Studies (ATPS) Network,Nigeria,Kenya
Annex I: Glossary,Glossary,Glossary Contributor,Diana Ürge-Vorsatz,Central European University,Hungary,Hungary
Annex I: Glossary,Glossary,Glossary Contributor,David Victor,"University of California, San Diego",United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Elke Weber,Columbia University,United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Jonathan Wiener,Duke University,United States,United States
Annex I: Glossary,Glossary,Glossary Contributor,Mitsutsune Yamaguchi,The University of Tokyo,Japan,Japan
Annex I: Glossary,Glossary,Glossary Contributor,Azni Zain Ahmed,Universiti Teknologi MARA,Malaysia,Malaysia
Annex I: Glossary,Glossary,Glossary Contributor,Heleen de Coninck,University of Nijmegen,Netherlands,Netherlands
,,,,,,
,,,,,,
