#,Chapter,Role,Name (Country)
II: Metrics and Methodology,Metrics & Methodology,Coordinating Lead Author,Volker Krey (Germany/Austria)
II: Metrics and Methodology,Metrics & Methodology,Coordinating Lead Author,Omar Masera (Mexico)
,,,
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Geoffrey Blanford (USA/Germany)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Thomas Bruckner (Germany)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Roger Cooke (USA)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Karen Fisher-Vanden (USA)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Helmut Haberl (Austria)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Edgar Hertwich (Austria/Norway)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Elmar Kriegler (Germany)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Daniel Mueller (Switzerland/Norway)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Sergey Paltsev (Belarus/USA)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Lynn Price (USA)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Steffen Schloemer (Germany)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Diana Ürge-Vorsatz (Hungary)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Timm Zwickel (Germany)
II: Metrics and Methodology,Metrics & Methodology,Lead Author,Detlef P. van Vuuren (Netherlands)
,,,
,,,
II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Kornelis Blok (Netherlands)
II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Greet Georgette Alice Janssens-Maenhout (Belgium)
II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Alexander Radebach (Germany)
II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Jan Steckel (Germany)
II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Stephane de la Rue de Can (France)
II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Dominique van der Mensbrugghe (Italy)
