Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Annex II: Metrics and Methodology,Metrics & Methodology,Coordinating Lead Author,Volker Krey,International Institute for Applied Systems Analysis (IIASA),Germany,Austria
Annex II: Metrics and Methodology,Metrics & Methodology,Coordinating Lead Author,Omar Masera,UNAM,Mexico,Mexico
,,,,,,
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Geoffrey Blanford,Ifo Institute,United States,Germany
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Thomas Bruckner,University of Leipzig,Germany,Germany
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Roger Cooke,Resources for the Future / Delft University of Technology,United States,United States
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Karen Fisher-Vanden,Pennsylvania State University,United States,United States
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Helmut Haberl,Alpen Adria University,Austria,Austria
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Edgar Hertwich,Norwegian University of Science & Technology,Austria,Norway
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Elmar Kriegler,Potsdam Institute for Climate Impact Research,Germany,Germany
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Daniel Mueller,Norwegian University of Science and Technology,Switzerland,Norway
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Sergey Paltsev,Massachusetts Institute of Technology,Belarus,United States
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Lynn Price,Lawrence Berkeley National Laboratory,United States,United States
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Steffen Schloemer,IPCC WGIII,Germany,Germany
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Diana Ürge-Vorsatz,Central European University,Hungary,Hungary
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Timm Zwickel,IPCC WGIII,Germany,Germany
Annex II: Metrics and Methodology,Metrics & Methodology,Lead Author,Detlef P. van Vuuren,"PBL Netherlands Environmental Assessment Agency / Utrecht University, Department of Geosciences",Netherlands,Netherlands
,,,,,,
,,,,,,
Annex II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Kornelis Blok,,Netherlands,
Annex II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Greet Georgette Alice Janssens-Maenhout,,Belgium,
Annex II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Alexander Radebach,,Germany,
Annex II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Jan Steckel,,Germany,
Annex II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Stephane de la Rue de Can,,France,
Annex II: Metrics and Methodology,Metrics & Methodology,Contributing Author,Dominique van der Mensbrugghe,,Italy,
