#,Chapter,Role,Name (Country)
ANNEX III,Technology-specific Cost and Performance Parameters,Editor,Steffen Schlömer (Germany)
,,,
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Thomas Bruckner (Germany)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Lew Fulton (USA)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Edgar Hertwich (Austria/Norway)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Alan McKinnon (UK/Germany)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Daniel Perczyk (Argentina)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Joyashree Roy (India)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Roberto Schaeffer (Brazil)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Steffen Schlömer (Germany)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Ralph Sims (New Zealand)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Pete Smith (UK)
ANNEX III,Technology-specific Cost and Performance Parameters,Lead Author,Ryan Wiser (USA)
,,,
ANNEX III,Technology-specific Cost and Performance Parameters,Contributing Author,Gesine Hänsel (Germany)
ANNEX III,Technology-specific Cost and Performance Parameters,Contributing Author,David de Jager (Netherlands)
ANNEX III,Technology-specific Cost and Performance Parameters,Contributing Author,Maarten Neelis (China)
