Chapter,Title,Role,Name,Institution,Citizenship,Affiliation Country
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Annex III Edito,Steffen Schloemer,IPCC WGIII,Germany,Germany
,,,,,,
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Thomas Bruckner,University of Leipzig,Germany,Germany
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Lew Fulton,University of California,United States,United States
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Edgar Hertwich,Norwegian University of Science & Technology,Austria,Norway
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Alan McKinnon,Kühne Logistics University,United Kingdom,Germany
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Daniel Perczyk,Instituto Torcuato di Tella,Argentina,Argentina
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Joyashree Roy,Jadavpur University,India,India
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Roberto Schaeffer,Federal University of Rio de Janeiro,Brazil,Brazil
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Steffen Schloemer,IPCC WGIII,Germany,Germany
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Ralph Sims,Massey University,New Zealand,New Zealand
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Pete Smith,University of Aberdeen,United Kingdom,United Kingdom
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Lead Author,Ryan Wiser,Lawrence Berkeley National Laboratory,United States,United States
,,,,,,
,,,,,,
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Contributing Author,Gesine Haensel,,Germany,
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Contributing Author,Maarten Neelis,,Netherlands,
Annex III: Technology-specific cost and performance parameters ,Technology-specific cost and performance parameters,Contributing Author,David deJager,,Netherlands,
