Name,Institution,Country
"ABANDA, Fonbeyn Henry",Oxford Brookes University,UK
"ABDEL-AZIZ, Amr",Integral Consult,Egypt
"ACOSTA MORENO, Roberto","Ministry of Science, Technology and Environment",Cuba
"ACQUAYE, Adolf",University of Kent,UK
"ADEGBULUGBE, Anthony",Obafemi Awolowo University,Nigeria
"AGHION, Philippe",Harvard University,USA
"AGRAWALA, Shardul",OECD,France
"AHAMMAD, Helal",The Australian Bureau of Agricultural and Resource Economics (ABARE),Australia
"AHMED, Essam Hassan Mohamed",Egyptian Environmental Affairs Agency,Egypt
"AKBARI, Hashem",Concordia University,Canada
"AKIMOTO, Keigo",Research Institute of Innovative Technology for the Earth,Japan
"ALLCOTT, Hunt",New York University,USA
"ALLWOOD, Julian",University of Cambridge,UK
"AMEKDUZI, Adjo A.",Georgia Institute of Technology,USA
"ANDRES, Robert",Oak Ridge National Laboratory,USA
"ANGELSEN, Arild",Norwegian University of Life Sciences (UMB),Norway
"AOKI, Kazumasu",University of Toyama,Japan
"ASANO, Kenji","Center, Central Research Institute of Electric Power Industry",Japan
"ASAYAMA, Yumiko",National Institute for Environmental Studies,Japan
"ATTZS, Marlene",University of The West Indies,Trinidad and Tobago
"BABIKER, Mustafa H.",Saudi Aramco,Saudi Arabia
"BAER, Paul",Georgia Institute of Technology,USA
"BAIOCCHI, Giovanni",University of Maryland,USA
"BARRETO, Leonardo",Austrian Energy Agency,Austria
"BARRETT, John",University of Leeds,UK
"BARUA, Dipal Chandra",Bright Green Energy Foundation,Bangladesh
"BASHMAKOV, Igor Alexeyevich",Center for Energy Efficiency (CENEF),Russian Federation
"BENTO, Antonio",Cornell University,USA
"BERGESEN, Joe",University of Pennsylvania,USA
"BERNDES, Göran",Chalmers University of Technology,Sweden
"BERTOLDI, Paolo",European Commission,Italy
"BETSILL, Michele Merrill",Colorado State University,USA
"BETZ, Gregor",Karlsruher Institut für Technologie,Germany
"BIGIO, Anthony",George Washington University,USA
"BIRJANDI FERIZ, Maliheh",Tufts University,USA
"BLANCO, Gabriel",Universidad Nacional del Centro de la Provincia de Buenos Aires,Argentina
"BLANCO, Hilda",University of Southern California,USA
"BLANFORD, Geoffrey",Ifo Institute for Economic Research,Germany
"BLOK, Kornelis",Ecofys Netherlands,Netherlands
"BODANSKY, Daniel",Arizona State University,USA
"BOLWIG, Simon","Technical University of Denmark, Risø National Laboratory for Sustainable Energy",Denmark
"BORENSTEIN, Severin","University of California, Berkeley",USA
"BOSETTI, Valentina",Fondazione Eni Enrico Mattei (FEEM),Italy
"BÖTTCHER, Hannes",International Institute for Applied Systems Analysis (IIASA),Austria
"BOUILLE, Daniel",Fundación Bariloche,Argentina
"BRAATHEN, Nils Axel",OECD Environmental Directorate,France
"BRENNAN, Andrew",La Trobe University,Australia
"BREWER, Thomas",Georgetown University,USA
"BRIGHT, Ryan M.",Norwegian University of Science and Technology (NTNU),Norway
"BROOME, John",University of Oxford,UK
"BROWN, Donald A.",Penn State University,USA
"BROWN, Marilyn",Georgia Institute of Technology,USA
"BRUCKNER, Thomas",University of Leipzig,Germany
"BRUNNER, Steffen",Potsdam Institute for Climate Impact Research,Germany
"BRUVOLL, Annegrete",Vista Analysis AS,Norway
"BULKELEY, Harriet",Durham University,UK
"BURTRAW, Dallas",Resources for the Future,USA
"BUSTAMANTE, Mercedes",University of Brasília,Brazil
"BUTZLAFF, Iris",University of Göttingen,Germany
"CABEZA, Luisa F.",University of Lleida,Spain
"CALVIN, Katherine",Pacific Northwest National Laboratory,USA
"CALVIN, Katherine",Joint Global Change Research Institute,USA
"CANEY, Simon",University of Oxford,UK
"CARIÑO OLVERA, Martha Micheline",Universidad Autonoma de Baja California Sur,Mexico
"CARLSON, Ann",UCLA School of Law,USA
"CARRARO, Carlo",Fondazione Eni Enrico Mattei (FEEM),Italy
"CERON, Jean-Paul",Centre International de Recherche sur l’Environnement et le Développement (CIRED),France
"CERVERO, Robert","University of California, Berkeley",USA
"CHAN, Gabriel",Harvard University,USA
"CHÁVEZ, Abél",Potsdam Institute for Climate Impact Research,Germany
"CHEN, Wenying",Tsinghua Univeristy,China
"CHEN, Ying",Chinese Academy of Social Sciences (CASS),China
"CHERUBINI, Francesco",Norwegian University of Science and Technology (NTNU),Norway
"CHIMANIKIRE, Donald",University of Zimbabwe,Zimbabwe
"CHINGAMBO, Lloyd",Africa Carbon Credit Exchange,Zambia
"CHRISTENSEN, Peter",School of Forestry &Environmental Studies,USA
"CHROBOG, Siri-Lena",Potsam-Institute for Climate Impact Research,Germany
"CHUM, Helena",National Renewable Energy Laboratory (NREL),USA
"CLARK, Harry",New Zealand Agricultural Greenhouse Gas Research Centre,New Zealand
"CLARKE, Leon",Pacific Northwest National Laboratory,USA
"CLIFT, Roland",University of Surrey (D3),UK
"CONTE GRAND, Mariana",Universidad del CEMA,Argentina
"COOKE, Roger",Resources for the Future / Delft University of Technology,USA
"CORBERA, Esteve",Universitat Autonoma de Barcelona,Spain
"CORBERA, Esteve",Universitat Autonoma de Barcelona,Spain
"COTTIER, Thomas",University of Bern,Switzerland
"CREUTZIG, Felix",MCC,Germany
"CRIST, Philippe LeRouic",OECD,France
"CRUZ-NÚÑEZ, Xochitl",National Autonomous University of Mexico,Mexico
"CULLEN, Heidi",Climate Central,USA
"CZAJKOWSKA, Anna",Bloomberg New Energy Finance,UK
"DADHICH, Pradeep Kumar",Deloitte Touche Tohmatsu India Private Ltd.,India
"DAENZER, Kathryn",Pennsylvania State University,USA
"D’AGOSTO, Marcio",Universidade Federal do Rio de Janeiro,Brazil
"DARGHOUTH, Naim",Lawrence Berkeley National Laboratory,USA
"DASGUPTA, Shyamsree",Jadavpur University,India
"DE CONINCK, Heleen C.",University of Nijmegen,Netherlands
"DE LA RUE DE CAN, Stephane",Ernest Orlando Lawrence Berkeley National Laboratory,USA
"DE LA VEGA NAVARRO, Angel",Universidad Nacional Autónoma de México,Mexico
"DE SIQUEIRA PINTO, Alexandre",Universidade de Brasilia,Brazil
"DEAKIN, Elizabeth",University of California,USA
"DEJAGER, David",Ecofys Netherlands,Netherlands
"DELGADO, Gian Carlo",Universidad Nacional Autónoma de México,Mexico
"DELUCCHI, Mark",Institute of Transportation Studies,USA
"DEMKINE, Volodymyr",UNEP,Kenya
"DEN ELZEN, Michel",Netherlands Environmental Assessment Agency,Netherlands
"DEWAR, David",University of Cape Town,South Africa
"DHAKAL, Shobhakar",Asian Institute of Technology,Thailand
"DHAR, Subash",UNEP Risø Centre,Denmark
"DIAZ MOREJON, Cristobal Felix","Ministry of Science, Technology and the Environment",Cuba
"DIMITRIU, Delia","Manchester University, Centre for Air, Transport and the Environment",UK
"DONG, Hongmin","Institute of Environment and Sustainable Development in Agriculture, Chines",China
"DOOLEY, James",US Department of Energy,USA
"DUBASH, Navroz K.",Centre for Policy Research,India
"DUTT, Varun","Indian Institute of Technology, Mandi",India
"EDENHOFER, Ottmar","Co-Chair IPCC WGIII, Potsdam Institute for Climate Impact Research",Germany
"EDMONDS, James A.",Pacific Northwest National Laboratory,USA
"EICKEMEIER, Patrick",Potsdam Institute for Climate Impact Research,Germany
"ELGIZOULI, Ismail",Higher Council for Environment & Natural ,Resources
Sudan,"EL-HAGGAR, Salah M.The American University In Cairo (AUC)",Egypt
"ELSIDDIG, Elnour Abdalla","Faculty of Forestry, University of Khartoum",Sudan
"ENGELS, Anita",Universität Hamburg,Germany
"ENTING, Katrin",KFW German Development Bank,Germany
"EOM, Jiyong",Sogang University,Republic of Korea
"ESSANDOH-YEDDU, Joseph Kow",Energy Commission,Ghana
"EYRE, Nicholas",Oxford University,UK
"FAAIJ, Andre",Academic Director of the Energy Academy Europe in Groningen,Netherlands
"FAAIJ, Andre",Energy Academy Europe in Groningen,Netherlands
"FARAHANI, Ellie",Potsdam Institute for Climate Impact Research,Germany
"FARBER, Dan",University of California at Berkeley,USA
"FARGIONE, Joe",The Nature Conservancy,USA
"FIFITA, Solomone",Secretariat of the Pacific Community,Fiji
"FIGUEROA MEZA, Maria Josefina",Technical University of Denmark,Denmark
"FINUS, Michael",University of Bath,UK
"FISCHEDICK, Manfred","Wuppertal Institute for Climate, Environment, Energy",Germany
"FISHER-VANDEN, Karen",Pennsylvania State University,USA
"FLACHSLAND, Christian",MCC Institute,Germany
"FLEITER, Tobias",Fraunhofer Institute for Systems and Innovation Research (ISI),Germany
"FLEURBAEY, Marc",Princeton University,USA
"FRAGKIAS, Michail",Boise State University,USA
"FRANCISCO, Josefa",Miriam College,Philippines
"FRANKEL, Paul",CalCEF Innovations,USA
"FROSSARD PEREIRA DE LUCENA, André",Cidade Universitária,Brazil
"FUGLESTVEDT, Jan Sigurd",Center for International Climate and Environmental Research - Oslo (CICERO),Norway
"FULLERTON, Don",University of Illinois,USA
"FULTON, Lew",University of California,USA
"FUNGTAMMASAN, Bundit",King Mongkut’s University of Technology Thonburi,Thailand
"GADGIL, Ashok",Lawrence Berkeley National Laboratory,USA
"GÁMEZ VÁZQUEZ, Alba Eritrea",Universidad Autonoma de Baja California Sur,Mexico
"GARG, Amit",Indian Institute of Management Ahmedabad,India
"GARRIDO VÁZQUEZ, Raúl Jorge","Ministry of Science, Technology and Environment",Cuba
"GENG, Yong","Institution of Applied Ecology,Chinese Academy of Sciences",China
"GERLAGH, Reyer",Tilburg University,Netherlands
"GIBON, Thomas",Norwegian University of Science and Technology,Norway
"GOLLIER, Christian",University Toulouse I,France
"GOMES, Marcos",Pontifical Catholic University of Rio de Janeiro,Brazil
"GÓMEZ-ECHEVERRI, Luis",International Institute for Applied Systems Analysis (IIASA),Austria
"GOULDER, Lawrence",Stanford University,USA
"GRAHAM, Peter",Global Buildings Performance Network,France
"GRUEBLER, Arnulf",International Institute for Applied Systems Analysis (IIASA),Austria
"GRUNEWALD, Nicole",University of Göttingen,Germany
"GUAN, Dabo",Cambridge Centre for Climate Change Mitigation Research,UK
"GUDYNAS, Eduardo",CLAES,Uruguay
"GUJBA, Haruna",UN Economic Commission for Africa (UNECA),Ethiopia
"GÜNERALP, Burak",Texas A&M University,USA
"GUPTA, Joyeeta",University of Amsterdam,Netherlands
"GUPTA, Shreekant",University of Delhi,India
