Name,Institution,Country
"AAMAAS, Borgar",Center for International Climate and Environmental Research — Oslo (CICERO),Norway
"ABANADES, Juan Carlos",CSIC-INCAR,Spain
"ABBESS, Jo",Energy Institute,UK
"ABDELHAMED, Beelal","Central Laboratory for Agricultural Climate (CLAC), Agriculture Research Center (ARC)",Egypt
"ABDELSALAM, Abdelsalam",Freelance,Sudan
"ABE, Satoshi","Tohoku Electoric Power CO.,INC",Japan
"ABY, Drame",Enda Tiers Monde,Senegal
"ACCUARDI, Zak",Massachusetts Institute of Technology,USA
"ACHTEN, Wouter",University of Leuven,Belgium
"ACKERMAN, Frank",Synapse Energy Economics,USA
"ACOSTA MORENO, Roberto","CITMA, Ministry of Science, Technology and Environment",Cuba
"ACQUAYE, Adolf",University of Kent,UK
"ADLER (NEE ROMAN), Carolina",Swiss Federal Institute of Technology (ETH) Zurich,Switzerland
"AHMED, Atiq Kainan",Asian Disaster Preparedness Center (ADPC),Thailand
"AHMED, Essam Hassan Mohamed","Egyptian Environmental Affairs Agency, EEAA",Egypt
"AKIMOTO, Keigo",Research Institute of Innovative Technology for the Earth (RITE),Japan
"ALBER, Gotelind",GenderCC-Women for Climate Justice,Germany
"ALDRED, Rachel",University of Westminster,UK
"ALDY, Joseph",Harvard University,USA
"ALFSEN, Knut Halvor",CICERO,Norway
"ALI BABIKER, Imad-eldin",Agricultural Research corporation (ARC),Sudan
"ALLEN, Geoffrey",University of Massachusetts,USA
"ALVARO FUENTES, Jorge",Spanish National Research Council (CSIC),Spain
"AMANO, Masahiro",Waseda University,Japan
"AMBULKAR, Archis",Brinjac Engineering Inc.,USA
"AMON, Barbara",University of Natural Resources and Life Sciences Vienna,Austria
"ANDERSON, Patrick",Forest Peoples Programme,Indonesia
"ANDERSSON, Jon",Product and Production Development,Sweden
"ANDO, Takashi","The Chugoku Electric Power Co., Inc.",Japan
"ANGER-KRAAVI, Annela",University of Cambridge,UK
"ANTHONY, Richard",Irvine Valley College,USA
"ANTONINI, Yasmine",Federal University of Ouro Preto,Brazil
"ARAKI, Makoto","Forestry and Forest Products Research Institute, Japan",Japan
"ARIKAN, Yunus",ICLEI - Local Governments for Sustainability,Germany
"ARLER, Finn",Aalborg University,Denmark
"ARROYO CURRÁS, Tabaré",Potsdam Institute for Climate Impact Research,Germany
"ASHEIM, Geir B.",University of Oslo,Norway
"ATTFIELD, Robin",Cardiff University,UK
"ATZL, Andreas",Karlsruhe Institute of Technology,Germany
"AVZARADEL, Ana Carolina",ICF International,Brazil
"AYYUB, Bilal",University of Maryland,USA
"BABIKER, Mustafa",Aramco,Saudi Arabia
"BAILEY, Ian",Plymouth University,UK
"BAKER, D. James",William J. Clinton Foundation,USA
"BAKER, Erin","University of Massachusetts, Amherst",USA
"BAKER, Keith",Glasgow Caledonian University,UK
"BANISTER, David",University of Oxford,UK
"BANISTER, Mat","Australian Government Department of Sustainability, Environment, Water, Population & Communities",Australia
"BANKS, Ian",McKinsey and Company,UK
"BARANZINI, Andrea",Geneva School of Business Administration,Switzerland
"BARDHAN, Suchandra",Jadavpur University,India
"BARKER, Timothy",Stimulate Systems,UK
"BARKER, Terry","University of Cambridge, UK",UK
"BARRETT, Scott",Columbia University,USA
"BASTIEN, Girod",ETH Zurich,Switzerland
"BATISHA, Ayman",Environment and Climate Research Institute,Egypt
"BAUER, Nico",Potsdam Institute for Climate Impact Research,Germany
"BAVISHI, Raj",Legal Response Initiative,UK
"BAXTER, Van",Oak Ridge National Laboratory,USA
"BAZILIAN, Morgan",NREL,USA
"BECK, Brendan",South African Centre for Carbon Capture and Storage,South Africa
"BELLAMY, Owen",Committee on Climate Change,UK
"BENCHAAR, Chaouki",Dairy and Swine Research and Development Center,Canada
"BENDIK-KEYMER, Jeremy",Case Western Reserve University,USA
"BERMÚDEZ INSUA, César",Xunta de Galicia,Spain
"BERNHARDT, Karl-Heinz",Leibniz-Sozietät der Wissenschaften zu Berlin e. V.,Germany
"BERNIER, Pierre",Natural Resources Canada,Canada
"BERNOUX, Martial",IRD - Institute of Research for Development,France
"BESSEDE, Jean-Luc",T&D Europe,France
"BETSILL, Michele",Colorado State University,USA
"BETTS, Richard",Met Office Hadley Centre,UK
"BHANDARI, Medani","Syracuse University, USA",Nepal
"BHARAT, Alka",M. A.National Institute of Technology,India
"BHATTACHARYA, Sankar",Monash University,Australia
"BHUYAN, Gouri S.",Consultant,Canada
"BIELICKI, Jeffrey",University of Minnesota,USA
"BISHOP, Justin",University of Oxford,UK
"BLOK, Kornelis",Ecofys,Netherlands
"BOCCHIOLA, Daniele",Politecnico di Milano,Italy
"BODLE, Ralph",Ecologic Institute,Germany
"BOGNER, Jean",University of Illinois at Chicago,USA
"BÖHM, Gisela",University of Bergen,Norway
"BØHN, Nils",The Norwgian Forest Owners Federation,Norwegian
"BONDUELLE, Antoine",E&E Consultant,France
"BONNER, Mark",Global Carbon Capture and Storage Institute,Australia
"BORKEN-KLEEFELD, Jens",International Institute for Applied Systems Analysis (IIASA),Austria
"BOSETTI, Valentina",Fondazione Eni Enrico Mattei (FEEM),Italy
"BOUCHER, Douglas",Union of Concerned Scientists,USA
"BOUCHER, Olivier",CNRS,France
"BOUDGHENE STAMBOULI, Amine",University of Sciences and Technology of Oran,Algeria
"BOWEN, Alexander","Grantham Research Institute, LSE",UK
"BOYKOFF, Maxwell",University of Colorado,USA
"BOYLE, Godfrey",The Open University,UK
"BRADLEY, Tom",National Renewable Energy Centre,UK
"BRANCHE, Emmanuel",EDF,France
"BRECHA, Robert",University of Dayton,USA
"BREWER, Thomas",ICTSD,USA
"BRIENO RANKIN, Veronica","GeoSeq International, LLC",USA
"BROWN, Donald",Widener University School of Law,USA
"BROWN, Sally",University of Washington,USA
"BRUCKNER, Thomas",University of Leipzig,Germany
"BRUNNER, Steffen",IPCC WG III TSU,Germany
"BRUNSTING, Suzanne",ECN,Netherlands
"BRUVOLL, Annegrete",Vista Analysis AS,Norway
"BUCHS, Milena",University of Southampton,UK
"BULKELEY, Harriet",Durham University,UK
"BUSBY, Joshua",University of Texas,USA
"BUSCH, Jonah",Conservation International,USA
"BYDEKERKE, Lieven",VITO - Flemish Institute for Technological Research,Belgium
"BYRNE, John",University of Delaware,USA
"BYUN, Young Hwa",Korea Meteorological Administration,Republic of Korea
"CAM, Wynn Chi-Nguyen",International Initiative for a Sustainable Built Environment,Singapore
"CAMPBELL, Ian D.",Agriculture and Agri-Food Canada,Canada
"CAMPBELL, Nick",Arkema SA,France
"CAMPBELL, Tim",Urban Age Institute,USA
"CANEILL, Jean-Yves",EDF,France
"CAO, Jing",Tsinghua University,China
"CAPARROS, Alejandro",Consejo Superior de Investigaciones Científicas (CSIC),Spain
"CARLOS MARIA, Correa",South Centre,Switzerland
"CARTER, Peter",Climate Emergency Institute,Canada
"CASERINI, Stefano",Politecnico di Milano,Italy
"CASTELLANOS CASTRO, Marlena",Country Friends’ Economic Society,Cuba
"CHALVATZIS, Konstantinos",University of East Anglia,UK
"CHAN, Hoy Yen",National University of Malaysia,Malaysia
"CHAPMAN, Ralph",Victoria University of Wellington,New Zealand
"CHARLESWORTH, Mark",Keele University,UK
"CHATMAN, Daniel","University of California, Berkeley",USA
"CHEN, Yi",National Center for Climate Change Strategy and International Cooperation of China,China
