#,Chapter,Role,Name (Country)
Summary,,Coordinating Lead Author,Ottmar Edenhofer (Germany)
Summary,,Coordinating Lead Author,Ramon Pichs Madruga (Cuba)
Summary,,Coordinating Lead Author,Youba Sokona (Mali/Switzerland)
Summary,,Coordinating Lead Author,Jan Minx (Germany)
Summary,,Coordinating Lead Author,Susanne Kadner (Germany)
Summary,,Coordinating Lead Author,Steffen Brunner (Germany)
,,,
Summary,,Lead Author,Shardul Agrawala (France)
Summary,,Lead Author,Giovanni Baiocchi (Italy/USA)
Summary,,Lead Author,Igor Alexeyevich Bashmakov (Russian Federation)
Summary,,Lead Author,Gabriel Blanco (Argentina)
Summary,,Lead Author,Thomas Bruckner (Germany)
Summary,,Lead Author,Mercedes Bustamante (Brazil)
Summary,,Lead Author,Leon Clarke (USA)
Summary,,Lead Author,Mariana Conte Grand (Argentina)
Summary,,Lead Author,Felix Creutzig (Germany)
Summary,,Lead Author,Xochitl Cruz-Núñez (Mexico)
Summary,,Lead Author,Shobhakar Dhakal (Nepal/Thailand)
Summary,,Lead Author,Navroz K. Dubash (India)
Summary,,Lead Author,Patrick Eickemeier (Germany)
Summary,,Lead Author,Ellie Farahani (Canada/Germany)
Summary,,Lead Author,Manfred Fischedick (Germany)
Summary,,Lead Author,Marc Fleurbaey (France/USA)
Summary,,Lead Author,Reyer Gerlagh (Netherlands)
Summary,,Lead Author,Sujata Gupta (India/Philippines)
Summary,,Lead Author,Shreekant Gupta (India)
Summary,,Lead Author,Luis Gómez-Echeverri (Colombia/Austria)
Summary,,Lead Author,Jochen Harnisch (Germany)
Summary,,Lead Author,Kejun Jiang (China)
Summary,,Lead Author,Frank Jotzo (Australia/Germany)
Summary,,Lead Author,Sivan Kartha (USA)
Summary,,Lead Author,Stephan Klasen (Germany)
Summary,,Lead Author,Charles Kolstad (USA)
Summary,,Lead Author,Volker Krey (Germany/Austria)
Summary,,Lead Author,Howard Kunreuther (USA)
Summary,,Lead Author,Oswaldo Lucon (Brazil)
Summary,,Lead Author,Omar Masera (Mexico)
Summary,,Lead Author,Yacob Mulugetta (UK)
Summary,,Lead Author,Richard B. Norgaard (USA)
Summary,,Lead Author,Anthony Patt (USA/Switzerland)
Summary,,Lead Author,Nijavalli H. Ravindranath (India)
Summary,,Lead Author,Keywan Riahi (Austria)
Summary,,Lead Author,Joyashree Roy (India)
Summary,,Lead Author,Ambuj Sagar (USA/India)
Summary,,Lead Author,Roberto Schaeffer (Brazil)
Summary,,Lead Author,Steffen Schloemer (Germany)
Summary,,Lead Author,Karen Seto (USA)
Summary,,Lead Author,Kristin Seyboth (USA)
Summary,,Lead Author,Ralph Sims (New Zealand)
Summary,,Lead Author,Pete Smith (UK)
Summary,,Lead Author,Eswaran Somanathan (India)
Summary,,Lead Author,Robert Stavins (USA)
Summary,,Lead Author,Thomas Sterner (Sweden)
Summary,,Lead Author,Taishi Sugiyama (Japan)
Summary,,Lead Author,Sangwon Suh (South Korea/USA)
Summary,,Lead Author,Kevin Urama (Nigeria/Kenya)
Summary,,Lead Author,Diana Ürge-Vorsatz (Hungary)
Summary,,Lead Author,Anthony Venables (UK)
Summary,,Lead Author,David Victor (USA)
Summary,,Lead Author,Elke Weber (USA)
Summary,,Lead Author,Dadi Zhou (China)
Summary,,Lead Author,Ji Zou (China)
Summary,,Lead Author,Timm Zwickel (Germany)
Summary,,Lead Author,Christoph von Stechow (Germany)
,,,
Summary,,Review Editor,Tomás Hernández-Tejeda (Mexico)
Summary,,Review Editor,Roberta Quadrelli (Italy/France)
,,,
Summary,,Contributing Author,Adolf Acquaye (Ghana)
Summary,,Contributing Author,Kornelis Blok (Netherlands)
Summary,,Contributing Author,Gabriel Chan (USA)
Summary,,Contributing Author,Jan Fuglestvedt (Norway)
Summary,,Contributing Author,Edgar Hertwich (Austria)
Summary,,Contributing Author,Elmar Kriegler (Germany)
Summary,,Contributing Author,Oliver Lah (Germany)
Summary,,Contributing Author,Sevastianos Mirasgedis (Greece)
Summary,,Contributing Author,Carmenza Robledo Abad (Colombia)
Summary,,Contributing Author,Claudia Sheinbaum (Mexico)
Summary,,Contributing Author,Steven J. Smith (USA)
Summary,,Contributing Author,Detlef P. van Vuuren (Netherlands)
